statistic,estimate,se_model_scaled,se_boot_independent,se_boot_joint,se_boot_joint_direct,se_boot_joint_robust,ratio_joint_to_independent,lo_normal,hi_normal,lo_percentile,hi_percentile,lo_basic,hi_basic,boot_mean_dev,draws_used,draws_total,se_model_unscaled,resid_var_scale,k,Q,p_Q,tau,mean_re,lo_hksj,hi_hksj,se_hksj,weight_share_llama3,members,weights
"Chinchilla + Llama 3 drift: design FE slope, inverse-variance (17 budgets)",-0.057584,0.0126068,0.00889399,0.00947569,0.00980293,0.00975478,1.0654,-0.0761563,-0.0390116,-0.0768082,-0.0396273,-0.0755406,-0.0383597,-0.000312041,999,999,0.00889399,2.00918,17,,,,,,,,,,
"Chinchilla + Llama 3 drift: design FE slope, unweighted (17 budgets)",-0.0499614,,0.0133461,0.0142598,0.0158916,0.0140328,1.06847,-0.0779107,-0.0220121,-0.0769048,-0.021019,-0.0789038,-0.023018,0.00105896,999,999,,,17,,,,,,,,,,
"Chinchilla drift: own slope, inverse-variance (9 budgets)",-0.0574257,,0.0203508,0.0219205,0.024369,0.0214304,1.07713,-0.10039,-0.0144615,-0.0987161,-0.0128837,-0.101968,-0.0161353,0.000924608,999,999,0.0203508,,9,,,,,,,,,,
"Llama 3 drift: own slope, inverse-variance (8 budgets)",-0.0576213,,0.00988831,0.0105726,0.0106965,0.0110978,1.0692,-0.0783436,-0.0368991,-0.0792638,-0.0383302,-0.0769125,-0.0359788,-0.000604006,999,999,0.00988831,,8,,,,,,,,,,
"Top-budget mean: Chinchilla + Llama 3, budgets >= 6e20 (primary)",0.593781,0.0102968,0.0102968,0.0118992,0.0122383,0.0121346,1.15562,0.570458,0.617103,0.569467,0.614547,0.573015,0.618095,-0.00108209,999,999,,,5,2.45889,0.652012,0,0.593781,0.565192,0.622369,0.0102968,0.846414,Chinchilla 6e+20: 0.550 (0.047); Chinchilla 1e+21: 0.609 (0.039); Chinchilla 3e+21: 0.569 (0.054); Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017),Chinchilla 6e+20 0.047; Chinchilla 1e+21 0.071; Chinchilla 3e+21 0.036; Llama 3 6e+20 0.463; Llama 3 1e+21 0.383
"Top-budget mean: Chinchilla (132 runs, five highest-loss runs dropped) + Llama 3, budgets >= 6e20",0.597869,0.0103897,0.0103897,0.0119191,0.0120672,0.0124905,1.14721,0.574507,0.62123,0.573794,0.619123,0.576615,0.621943,-0.00131036,999,999,,,5,2.66749,0.614916,0,0.597869,0.569022,0.626715,0.0103897,0.861756,Chinchilla 6e+20: 0.665 (0.063); Chinchilla 1e+21: 0.611 (0.040); Chinchilla 3e+21: 0.575 (0.049); Llama 3 6e+20: 0.585 (0.015); Llama 3 1e+21: 0.609 (0.017),Chinchilla 6e+20 0.027; Chinchilla 1e+21 0.067; Chinchilla 3e+21 0.044; Llama 3 6e+20 0.471; Llama 3 1e+21 0.390
