dataset,run_set,tech_E,tech_alpha,tech_beta,a_tech,a_std_obs,a_std_obs_se,a_kaplan_obs,a_kaplan_obs_se,a_kaplan_pred,delta_obs,delta_pred,a_std_synth,a_kaplan_synth,delta_synth,a_std_synth_E18,a_kaplan_synth_E18,delta_synth_E18,min_loss_std,Cm_min,Cm_max
rw,"Kaplan setup (untuned, long warmup)",2.1676050633930366,0.3566240061760423,0.4645496789716358,0.5657142786889137,0.6999018783817379,0.006038776885753603,0.836633151221371,0.00583202136393955,0.8504964439829797,0.13673127283963316,0.2847821652940661,0.5672648310369671,0.7755962358220356,0.2083314047850685,0.6361410713876313,0.8239536015712086,0.18781253018357724,3.1038716094361436,1.25e+16,1.28e+19
rw,"Tuned (short warmup, const LR)",3.024616494443682,0.6295991363667319,0.5406604045422592,0.4620004243864612,0.5019618103853584,0.004295440115292342,0.6197983010856589,0.005327177832149931,0.6609047681676493,0.11783649070030056,0.1989043437811881,0.4636610803607344,0.6340678356942725,0.1704067553335381,0.8074784880313978,0.9691404601953907,0.16166197216399292,3.097912693934919,1.25e+16,1.28e+19
owt2,"Kaplan setup (untuned, long warmup)",1.8740085379716112,0.3343766618461433,0.5068469497087716,0.6025115590513649,0.6955374594503798,0.016631590583471023,0.8616217470182804,0.020036747523168735,0.8722084022112324,0.1660842875679006,0.2696968431598675,0.6032987855240355,0.8175984616853234,0.21429967616128787,0.6106995701165319,0.8225178340121371,0.2118182638956052,2.7690140331130118,1.25e+16,1.28e+19
owt2,"Tuned (short warmup, const LR)",2.626614786152833,0.5387277662735267,0.5278541830410023,0.494902603011652,0.5013921847717935,0.01186562249081897,0.6305529211444653,0.017179333029610604,0.7188022267655163,0.12916073637267178,0.2238996237538643,0.5001769464856191,0.6586116254789391,0.1584346789933201,0.738280611115087,0.8592280710620842,0.12094745994699718,2.7564467480097177,1.25e+16,1.28e+19
