anchor,n_budgets,C_top,Mstar_top,Mstar_top_lo,Mstar_top_hi,e_hat,e_lo,e_hi,a_hat,resid_sd,se_hc2_lnMstar,leverage_top,ci_method,B
Chinchilla (Epoch extraction),9,2.907351132953245e+21,20.51356855583068,11.355784612719843,36.780361078737904,0.004508570390483746,-0.1643626574366155,0.17179364323128368,0.49774571480475815,0.30436531845291676,0.24426866263455424,0.39735714004362377,"wild bootstrap-t, HC2 residuals and SEs, Webb weights",9999
Meta Llama 3 (digitized),10,1.00000000000001e+22,22.325762235636912,12.179136448588116,40.202717997075915,0.0735582541891916,-0.09461318961302115,0.2361872407870739,0.4632208729054042,0.2658259597339836,0.23507860161771016,0.3950810186020035,"wild bootstrap-t, HC2 residuals and SEs, Webb weights",9999
