set,tau,level,year,n,share_gt1,share_gt1_cw,share_lt1,share_lt1_cw
S1,4.4,models below 15B,all,59,0.6101694915254238,0.740853088136996,0.0,0.0
S1,4.4,models below 15B,2023,16,0.125,0.07922634842383404,0.0,0.0
S1,4.4,models below 15B,2024,33,0.7272727272727273,0.5631071057862941,0.0,0.0
S1,4.4,models below 15B,2025,10,1.0,1.0,0.0,0.0
S1,4.4,decisions (49),all,49,0.40816326530612246,0.09538322723299875,0.0,0.0
S1,4.4,decisions (49),2023,16,0.125,0.01013779009171165,0.0,0.0
S1,4.4,decisions (49),2024,27,0.5555555555555556,0.02640820063796071,0.0,0.0
S1,4.4,decisions (49),2025,6,0.5,0.42637120327361794,0.0,0.0
S1,4.4,decisions (56),all,56,0.42857142857142855,0.0998080447428053,0.0,0.0
S1,4.4,decisions (56),2023,19,0.10526315789473684,0.01013779009171165,0.0,0.0
S1,4.4,decisions (56),2024,30,0.6,0.03196704678340683,0.0,0.0
S1,4.4,decisions (56),2025,7,0.5714285714285714,0.42760337877536403,0.0,0.0
S1,8.0,models,all,77,0.37662337662337664,0.07960723079159537,0.0,0.0
S1,8.0,models,2023,24,0.041666666666666664,0.007520465894132805,0.0,0.0
S1,8.0,models,2024,40,0.525,0.04896777252211685,0.0,0.0
S1,8.0,models,2025,13,0.5384615384615384,0.2444271180974783,0.0,0.0
S1,8.0,models below 15B,all,59,0.4915254237288136,0.44586908511693385,0.0,0.0
S1,8.0,models below 15B,2023,16,0.0625,0.05877208403883306,0.0,0.0
S1,8.0,models below 15B,2024,33,0.6363636363636364,0.4431945923174315,0.0,0.0
S1,8.0,models below 15B,2025,10,0.7,0.5024517723973557,0.0,0.0
S1,8.0,decisions (49),all,49,0.30612244897959184,0.013934123218742222,0.0,0.0
S1,8.0,decisions (49),2023,16,0.0625,0.007520465894132804,0.0,0.0
S1,8.0,decisions (49),2024,27,0.48148148148148145,0.015146288082421602,0.0,0.0
S1,8.0,decisions (49),2025,6,0.16666666666666666,0.012328080303949846,0.0,0.0
S1,8.0,decisions (56),all,56,0.32142857142857145,0.014995378942665104,0.0,0.0
S1,8.0,decisions (56),2023,19,0.05263157894736842,0.007520465894132805,0.0,0.0
S1,8.0,decisions (56),2024,30,0.5,0.016088739371540046,0.0,0.0
S1,8.0,decisions (56),2025,7,0.2857142857142857,0.01444963548067242,0.0,0.0
S1,10.0,models,all,77,0.3246753246753247,0.057691550983924526,0.0,0.0
S1,10.0,models,2023,24,0.041666666666666664,0.007520465894132805,0.0,0.0
S1,10.0,models,2024,40,0.45,0.02937485628003496,0.0,0.0
S1,10.0,models,2025,13,0.46153846153846156,0.20128000979841176,0.0,0.0
S1,10.0,models below 15B,all,59,0.423728813559322,0.3231223947924979,0.0,0.0
S1,10.0,models below 15B,2023,16,0.0625,0.05877208403883306,0.0,0.0
S1,10.0,models below 15B,2024,33,0.5454545454545454,0.26586419563056823,0.0,0.0
S1,10.0,models below 15B,2025,10,0.6,0.4137572723458481,0.0,0.0
S1,10.0,decisions (49),all,49,0.2653061224489796,0.00724041160069786,0.0,0.0
S1,10.0,decisions (49),2023,16,0.0625,0.007520465894132804,0.0,0.0
S1,10.0,decisions (49),2024,27,0.4074074074074074,0.005975782090828535,0.0,0.0
S1,10.0,decisions (49),2025,6,0.16666666666666666,0.012328080303949846,0.0,0.0
S1,10.0,decisions (56),all,56,0.2857142857142857,0.00830166732462074,0.0,0.0
S1,10.0,decisions (56),2023,19,0.05263157894736842,0.007520465894132805,0.0,0.0
S1,10.0,decisions (56),2024,30,0.43333333333333335,0.006913463594373316,0.0,0.0
S1,10.0,decisions (56),2025,7,0.2857142857142857,0.01444963548067242,0.0,0.0
S2(a),1.0,models,all,77,0.8701298701298701,0.48465869666740674,0.0,0.0
S2(a),1.0,models,2023,24,0.7083333333333334,0.1973461477169958,0.0,0.0
S2(a),1.0,models,2024,40,0.925,0.39682083140205643,0.0,0.0
S2(a),1.0,models,2025,13,1.0,1.0,0.0,0.0
S2(a),1.0,models below 15B,all,59,1.0,1.0,0.0,0.0
S2(a),1.0,models below 15B,2023,16,1.0,1.0,0.0,0.0
S2(a),1.0,models below 15B,2024,33,1.0,1.0,0.0,0.0
S2(a),1.0,models below 15B,2025,10,1.0,1.0,0.0,0.0
S2(a),1.0,decisions (49),all,49,0.8163265306122449,0.3997397997565773,0.0,0.0
S2(a),1.0,decisions (49),2023,16,0.625,0.13748086488482095,0.0,0.0
S2(a),1.0,decisions (49),2024,27,0.8888888888888888,0.2884881721187098,0.0,0.0
S2(a),1.0,decisions (49),2025,6,1.0,1.0,0.0,0.0
S2(a),1.0,decisions (56),all,56,0.8214285714285714,0.4064668322935845,0.0,0.0
S2(a),1.0,decisions (56),2023,19,0.631578947368421,0.16606612496324935,0.0,0.0
S2(a),1.0,decisions (56),2024,30,0.9,0.293663209528872,0.0,0.0
S2(a),1.0,decisions (56),2025,7,1.0,1.0,0.0,0.0
S2(a),1.3,models,all,77,0.8571428571428571,0.4781493701090291,0.0,0.0
S2(a),1.3,models,2023,24,0.6666666666666666,0.12795983020040147,0.0,0.0
