n_models,n_families,n_dev,n_res,theta_ray_fe,theta_c_mertens,fam_p9010,fam_sd,res_p9010,res_sd,dev_p9010,dev_range,fam_ce_own,res_ce_own,dev_ce_own,fam_ce_bench,res_ce_bench,dev_ce_bench,famc_p9010,famc_ce_bench,fam_ce_own_lo,fam_ce_own_hi,res_ce_own_lo,res_ce_own_hi,dev_ce_own_lo,dev_ce_own_hi,fam_ce_bench_lo,fam_ce_bench_hi,res_ce_bench_lo,res_ce_bench_hi,dev_ce_bench_lo,dev_ce_bench_hi,famc_ce_bench_lo,famc_ce_bench_hi,fam_p9010_lo,fam_p9010_hi,res_p9010_lo,res_p9010_hi,theta_ray_fe_lo,theta_ray_fe_hi,theta_c_mertens_lo,theta_c_mertens_hi,output,sample,theta_bench,B_ok,fam_ce_bench_loss_Hoffmann,res_ce_bench_loss_Hoffmann,fam_ce_own_loss_Hoffmann,res_ce_own_loss_Hoffmann,famc_ce_bench_loss_Hoffmann,fam_ce_bench_loss_Besiroglu,res_ce_bench_loss_Besiroglu,fam_ce_own_loss_Besiroglu,res_ce_own_loss_Besiroglu,famc_ce_bench_loss_Besiroglu
128,38,22,125,0.3394947163058021,0.4250490292887507,1.0415401306111622,0.4911452247867219,1.0229944116010696,0.395185131686737,0.8216075145234072,2.3361610335391383,21.49698381829692,11.098034519212092,6.910010507533065,23.68805685005598,22.39002055839351,12.141783321712714,0.9847360977133341,19.932632863659077,7.7651789288592425,3348.3200191930064,4.350764809798716,18.802711181415415,3.4268413492249796,40.5292951196698,9.106408787871828,197.1127506414856,6.262983814675793,34.605396054786496,4.806879507070312,120.35514969369449,7.620653725250325,160.5186701320618,0.7269384428090536,1.738803546001906,0.6037551607033312,1.166272924857441,0.18268450757782706,0.4071930846667671,0.36755158284836115,0.49211620858516963,y_hellaswag,All dense base models,0.3290836262499107,300,1.6322142186699526,1.6180369512684765,1.6078741074853307,1.4514567247085426,1.589178242743134,1.758241791531274,1.740663072338546,1.728076297952193,1.5359156815212616,1.704952877624327
121,36,20,118,0.3581670069548793,0.42987519336607194,0.9563690661626119,0.4678897288466416,1.0442501592436817,0.40232918348347163,0.7988917192086404,1.9026233949434719,14.442515697907815,11.349728364957178,6.413640970674884,18.286410004436856,23.883935225289946,11.331939535693675,0.94458818143735,17.643352799490554,5.479637743379477,127173.03815953039,4.094722766425881,18.346971259036533,3.1188123741368603,52.39862878909944,6.896244274664426,208.6472966537104,6.557263766835504,36.993659155274855,4.388778547289665,194.40408642396085,7.393552628311022,137.89584339345222,0.6354343780225131,1.7575180006503321,0.6185727830431111,1.1882370504634439,0.14556656110055538,0.4284408077392536,0.35586384735383186,0.5179692203386349,y_hellaswag,"Drop distilled (Gemma-2 2B/9B) and synthetic-data (Phi, SmolLM)",0.3290836262499107,300,1.5681134668346344,1.6342962754295025,1.5118639548384174,1.4565042304560556,1.5594474951609982,1.6789489962082813,1.760825338885621,1.6097718174128877,1.5420693628278594,1.6682664403852825
107,32,19,104,0.3581789573007285,0.43352756465464126,0.6393144698371991,0.26510947367761284,0.9212750504473086,0.3714784309277345,0.5785742598715196,0.889897425582511,5.95899814330827,8.373457123751978,3.7983743720360272,6.977643630749957,16.43669814979522,5.801621733069027,0.7267114081024459,9.100123230130851,3.879951370940367,73508.50723090277,4.069262907079899,13.225215599026733,2.2960991451930677,6.553582916417391,4.728714010436086,167.85180505092265,5.346870062463597,28.608398961309057,2.943708926817093,10.91288416978113,5.239674428994877,11.614971772273924,0.5112732404334851,1.6859198518629201,0.5517076762032276,1.10364772365602,0.14121402147725204,0.42772928019007644,0.3624375337789704,0.5022702605651744,y_hellaswag,Also drop code-specialised families,0.3290836262499107,300,1.3508468671309375,1.5424393525296256,1.3182470833441415,1.3895227548082743,1.4075392619632083,1.4139474739238176,1.6473267075469713,1.3747172761134556,1.4606761091480214,1.4825116977466206
128,38,22,125,0.3518572823456122,0.4525449184208912,1.1895038693282203,0.5380086383053095,1.117467353762218,0.41434327482701394,0.8689553253401776,2.8511191770129365,29.389663491454474,11.814126696757043,6.821999783004258,21.5160774465813,17.866964928499527,9.410418380473558,0.9790201352926147,12.500561491319868,9.16364083094362,5006.471208162341,5.121423061953225,16.12112603224711,3.0688561938026866,54.80329113089742,8.335572434133441,98.73976508019673,6.907478999551756,21.345241281385086,3.438434085462729,130.48397601111,5.837308786619274,68.64230090272171,0.8218970371984965,1.7801027277719077,0.749088935664854,1.1864078244657308,0.19171364401615887,0.42338316399941167,0.3863182874088138,0.5250382107199023,y_core,All dense base models,0.3876119972856491,300,1.6080950966479757,1.5624907734591307,1.687627237862948,1.465574066139644,1.4784433555820116,1.728349866878317,1.672016869860342,1.8271706040176896,1.5531350103421118,1.5688540152040817
121,36,20,118,0.3790934158707516,0.4593498120329095,0.9644014506517316,0.47496180928697657,1.1154071334544762,0.41840564552933424,0.8290338730443025,1.8835362981682202,12.730081563585294,11.33879808191024,6.0787467397253785,12.03788578650163,17.77225105975183,8.489448834553158,0.9378020197857033,11.239506825905911,4.360054057815101,84896.14331714011,4.560488648286225,15.969501392816374,2.6185202509128636,37.3192139000732,4.925812955335603,118.45915899824966,6.178790134898666,22.874382055279497,3.1860787850372296,88.98078706436986,5.281842493797159,50.69876025978915,0.6180407041866447,1.8506784064247173,0.7058622424323988,1.2132323313304612,0.15794419495170603,0.44821855717044673,0.38854344075644526,0.5514115888732415,y_core,"Drop distilled (Gemma-2 2B/9B) and synthetic-data (Phi, SmolLM)",0.3876119972856491,300,1.4698369939337739,1.5612057051397064,1.4826132178171252,1.4562870076265377,1.4543055956623518,1.5583395892508018,1.6704330613277467,1.573951698246261,1.5418044682339107,1.5393884922015157
107,32,19,104,0.3797699719608888,0.45759501212021086,0.7134785568367548,0.279954429346427,1.0328035888946652,0.396260882545161,0.49022087828388194,0.8978955392895287,6.545072023117801,9.554626157797447,2.9191677589831553,6.300966130839029,14.36119055538352,3.5421029389369236,0.74802663220186,6.888363497309336,3.1072513774162425,23612.393834535356,3.4924907930794444,13.769486755444136,2.035090122072326,6.452302878005553,3.4033744674474318,81.83247503126422,3.567473860340903,20.73393917016146,2.320420319665315,7.980421954868181,3.47491529529726,8.839152438283548,0.47473229095626673,1.7072693296871486,0.4929873162709291,1.1751509961612212,0.15492519655416104,0.4462781140748273,0.3784226195921416,0.5312915684891192,y_core,Also drop code-specialised families,0.3876119972856491,300,1.3296833359905325,1.5105429589174577,1.337530067724303,1.4181986924552377,1.3481566726338092,1.3884629453310897,1.6081518560401062,1.3979046285474794,1.4954507075440349,1.4107046338427371
128,38,22,125,0.45520319011472316,0.6465757452414922,2.648384506612498,1.1256259114370695,1.4212064459049043,0.5774289174099073,1.8109685485850306,4.204999533241491,336.30790460957735,9.007440634428669,16.458805604707422,,,,,,21.910764606222983,6856.089123363425,3.9750750051548676,19.251908716143983,7.537408781138531,133.59553217886437,,,,,,,,,1.8472234701438521,3.3291121356169966,0.9786779835473711,1.6931262000934895,0.37010843515305436,0.6455348999449336,0.5420144176992169,0.7457151278755759,y_pc1,All dense base models,,300,,,2.4611546227148198,1.4053105222033782,,,,2.8217414675952615,1.4798082054622252,
121,36,20,118,0.44276038450132876,0.6511745288691072,2.6671869572351454,1.120282552902532,1.439358475027075,0.5887682099656625,1.695014180912537,3.202752646111925,413.2267147883121,9.1193955691136,13.504332623152465,,,,,,8.93959832407583,15528.713330210261,3.7330159173995816,19.055211632974277,5.4070257110013475,53.65452649651516,,,,,,,,,1.606249922635696,3.5174282755447703,0.9606391456680003,1.7185604408419497,0.3556560993562466,0.7734076187997387,0.5538207147526495,0.7727996477012862,y_pc1,"Drop distilled (Gemma-2 2B/9B) and synthetic-data (Phi, SmolLM)",,300,,,2.5408905782862714,1.408000293114258,,,,2.9272943198789037,1.4830710160929381,
107,32,19,104,0.44215448178715167,0.6417917849947509,2.5424967844073123,1.0591930425419724,1.1854556271715566,0.5470829770821547,1.668488282379549,2.5653889366447338,314.26777883133457,6.341422733344895,13.46016466538708,,,,,,7.231784044324901,13909.380381565881,3.2784379132861012,18.149562175804846,5.99887991482554,50.444557448046375,,,,,,,,,1.4889956877653632,3.339209364596683,0.7723332792432716,1.6389898746896066,0.3485619353345338,0.7684709362527576,0.5290015875417172,0.7287854258715968,y_pc1,Also drop code-specialised families,,300,,,2.435465700982971,1.3310013683720596,,,,2.7878446171600166,1.3900482954902014,
