count,share_min,share_max,free_E,free_a,free_sigma_star,free_gamma,E14_a,E14_sigma_star,E14_gamma,free_objective
non-embedding (Step Law),0.0,0.0,1.4267534643563242,0.5628232637679461,0.7864927144128544,0.13359096121845357,0.5734536802687342,0.7896046238883175,0.13035300498800964,0.00011440721272686443
+ head,0.1111111111111111,0.2266552306117367,1.5809349923625788,0.4646801130314419,0.752488866454628,0.16364099822383332,0.5495536000265554,0.782201048005002,0.13785437874181738,0.00011806706140203997
+ head + input embedding,0.2,0.3695500169166573,1.64968769884434,0.4049718165207823,0.7258867251099389,0.18199252328357035,0.5314444841031307,0.7761088312962391,0.14366907393732986,0.00012258047364197913
