corpus,conv,sample,tag,d,L,D,N,M,restricted,bpb,eN_local,eD_local,lnw_local,n_eff,eN_chin_r,eD_chin_r,lnw_chin_r,eN_chin_f,eD_chin_f,lnw_chin_f,lnw_kappa_r,lnw_kappa_f,delta,delta_lo,delta_hi,scheme
edu,P,main,main,128,2,25001984.0,393856.0,63.48001299967501,True,1.7264753631592713,0.07386242312327149,0.05048361879651605,0.3805553124709604,2.7008036241786146,0.05363558338605189,0.08322718711198891,-0.43936134566714,0.07224346426592607,0.08631499439387127,-0.1779614674052557,0.15138668592662077,-0.04497535015527051,-0.8199166581381004,,,
edu,P,main,main,128,2,50003968.0,393856.0,126.96002599935002,False,1.6718797625963011,0.08634716526872453,0.0416446652228435,0.7292027011431087,3.8774930591428687,0.056470362407378565,0.06590428504630419,-0.1544875214972663,0.07609197674183925,0.06432565267340283,0.167984324234352,0.6319551553484466,0.3894031215498104,-0.883690222640375,-0.9696354310479661,-0.8036368840830538,
edu,P,main,main,128,2,100007936.0,393856.0,253.92005199870005,False,1.6348598394255076,0.08901371182541526,0.041464773437119254,0.7639461893858196,4.264388407491958,0.0588080353061367,0.05161912264664719,0.13038630267260568,0.07907239261109758,0.04729637618582221,0.5139301158739576,1.1125236247702706,0.8237815932548879,-0.633559886713214,-0.6882962068028903,-0.5864997315495899,
edu,P,main,main,128,2,200015872.0,393856.0,507.8401039974001,False,1.5764559673893401,0.08032692699519331,0.03791656704457092,0.7507167529312206,4.264422628933821,0.06069784157356262,0.04007080489508732,0.4152601268424805,0.08132624982154864,0.03441845602837478,0.8598759075135654,1.593092094192098,1.258160064959967,-0.33545662608874016,-0.41566842678619914,-0.25899166534979484,
edu,P,main,main,128,2,400015360.0,393856.0,1015.6386090347742,False,1.5402482225034726,0.07153790446359098,0.023147774436969908,1.1283288023085112,3.877572073335495,0.062201113201535006,0.03088454134735548,0.7001171180147302,0.08300009891164249,0.02485454273435969,1.205801257455148,2.0736321671548,1.692512869541002,-0.428211684293781,-0.4855460601685489,-0.3771447597155236,
edu,P,main,main,128,2,800014336.0,393856.0,2031.2356191095223,False,1.5274821917235004,0.06966707732930273,0.0032615442494487662,3.061527078588373,2.70088643537178,0.06338178156543808,0.02366965712319708,0.9849825254272462,0.08422672654878902,0.01784592981032712,1.5517368279317676,2.554186437910907,2.126878507289826,-2.076544553161127,-2.5547629669231897,-1.1876604501814443,
edu,P,main,main,192,3,25001984.0,1328448.0,18.82044611456376,True,1.6025944815680413,0.05271916102170008,0.07714854981054427,-0.3807538054055652,4.314201306585225,0.0453470181445157,0.08838075044745478,-0.6673097684632054,0.05559833557312272,0.09326141201453186,-0.517253166815637,-0.43121647170381383,-0.523689301009766,-0.28655596305764025,,,
edu,P,main,main,192,3,50003968.0,1328448.0,37.64089222912752,True,1.5265348613775955,0.058264398200077845,0.05640756613880279,0.0323879403987612,6.193817743271238,0.04790048990087292,0.07021497983519516,-0.38243594429333166,0.05881227550179798,0.06980167281619287,-0.17130737517602945,0.04935199771801198,-0.08931082930468516,-0.41482388469209286,,,
edu,P,main,main,192,3,100007936.0,1328448.0,75.28178445825505,True,1.4798126885882141,0.061682021739921454,0.041000422944362375,0.4084101242352234,6.811832300145841,0.05001883527437082,0.055144761793151274,-0.09756212012345955,0.06132033680746676,0.05149440341160021,0.17463841646357645,0.5299204671398359,0.34506764240039217,-0.5059722443586829,,,
edu,P,main,main,192,3,200015872.0,1328448.0,150.5635689165101,False,1.449241235456077,0.06240400088005261,0.03061580567986348,0.7121129888968069,6.811846593304332,0.0517397608976769,0.04290184583533536,0.18731170404641526,0.0632281610699831,0.037568486739802155,0.5205842081031838,1.0104889365616634,0.7794461141054714,-0.5248012848503916,-0.565204353526618,-0.48761712493369413,
edu,P,main,main,192,3,400015360.0,1328448.0,301.1148046442164,False,1.4252112089644897,0.06302594064761853,0.022621912230322117,1.024627393690141,6.1937444886257715,0.053114110198199914,0.033124524401384095,0.47216869521866484,0.06465129990364235,0.027180468724034193,0.8665095580447667,1.4910290095243655,1.2137989186865066,-0.5524586984714763,-0.576463493735234,-0.5314219579778524,
edu,P,main,main,192,3,800014336.0,1328448.0,602.2172760996291,False,1.4068857232948722,0.0654304919973772,0.015431027422451631,1.444608138110881,4.314018978827302,0.05419690577157075,0.025421358718484388,0.757034102631181,0.06569761769287238,0.019543007228592667,1.2124451285213862,1.9715832802804725,1.6481645564353307,-0.6875740354797001,-0.770926115120986,-0.5984724803248662,
edu,P,main,main,256,4,25001984.0,3148032.0,7.942099699113605,True,1.5386340706784745,0.035212002215128824,0.08135424603084682,-0.8374260303976301,6.240134414377575,0.04001983955290556,0.09169301879199546,-0.8290709254407407,0.04564729482270747,0.09741422369225006,-0.7580278875892028,-0.8446545630100158,-0.8634035293498736,0.008355104956889403,,,
edu,P,main,main,256,4,50003968.0,3148032.0,15.88419939822721,True,1.4662820924525841,0.040789513640654314,0.06199873243160804,-0.41868891042085526,8.95882586421668,0.042362739410082055,0.073000499942374,-0.5441971012708668,0.04841061197178204,0.07309800984295248,-0.4120820959495952,-0.36408609358819005,-0.4290250576447927,-0.12550819085001158,,,
edu,P,main,main,256,4,100007936.0,3148032.0,31.76839879645442,True,1.4166806531138132,0.047052573247918214,0.046219211876069664,0.01787000318585849,9.85204051012542,0.044313929188818574,0.057433188515681036,-0.25932327710099484,0.05057694870381946,0.05403501258132727,-0.06613630430998935,0.11648237583363402,0.005353414060284724,-0.2771932802868533,,,
edu,P,main,main,256,4,200015872.0,3148032.0,63.53679759290884,True,1.3814368088461693,0.053459148944431004,0.035024303807867405,0.4228755760813171,9.843232670781884,0.0459041153452436,0.04474609708395247,0.025550547068880002,0.05223069485358058,0.03948263120030803,0.27980948732961813,0.5970508452554615,0.43973188576536376,-0.3973250290124371,,,
edu,P,main,main,256,4,400015360.0,3148032.0,127.06839066438968,False,1.3536101943744776,0.05926197038080267,0.027093370923367548,0.7826787087645377,8.91553293093467,0.04717732435882018,0.034587966162185436,0.31040753824112954,0.05346761949686872,0.02859813169516308,0.6257348372712008,1.0775909182181636,0.874084690346399,-0.47227117052340817,-0.48243079227045504,-0.4642120264928923,
edu,P,main,main,256,4,800014336.0,3148032.0,254.1315768073514,False,1.3315723872622334,0.06437657028705934,0.020418072147466555,1.1483293532318053,6.172275025438197,0.048182487537425434,0.026568403735958868,0.5952729456536456,0.054378842482677076,0.020579691613201515,0.9716704077478204,1.5581451889742706,1.308450328095223,-0.5530564075781597,-0.5876686343240776,-0.520061829509003,
edu,P,main,main,320,5,25001984.0,6147520.0,4.067003279371193,True,1.5135620573696185,0.024018796026994634,0.08726539753266584,-1.2901173299080493,7.750586858981949,0.03621186403272812,0.0940606955190596,-0.9545534700598237,0.03895594902059084,0.1002066852732682,-0.9448034102618812,-1.1653697749243568,-1.1269291285228893,0.33556385984822557,,,
edu,P,main,main,320,5,50003968.0,6147520.0,8.134006558742387,True,1.4335657163823396,0.03271045896785614,0.06911475696240486,-0.748073394611703,11.127045004139536,0.03838986564256838,0.0749988781251932,-0.6696796458899499,0.04138601516297141,0.07532413823983057,-0.5988576186222737,-0.684801305502531,-0.6925506568178083,0.07839374872175309,,,
edu,P,main,main,320,5,100007936.0,6147520.0,16.268013117484774,True,1.3762549709763587,0.04147000797328252,0.053710533871383255,-0.25863867723139605,12.226102865444755,0.04020876609698802,0.05907990535532879,-0.3848058217200778,0.04329701160925581,0.055756580745769314,-0.2529118269826678,-0.2042328360807071,-0.25817218511273105,-0.12616714448868177,,,
edu,P,main,main,320,5,200015872.0,6147520.0,32.53602623496955,True,1.3332228333734393,0.0496448599526893,0.041810798907210595,0.17174020627913184,12.09304185410476,0.0416945388304554,0.04607645833941121,-0.09993199755020316,0.04475934933139062,0.04078304298265979,0.09303396465693985,0.27633563334112043,0.17620628659234822,-0.271672203829335,,,
edu,P,main,main,320,5,400015360.0,6147520.0,65.06938733017542,True,1.2996484737550718,0.05660538491845304,0.032494912683816705,0.5550205763081072,10.540079149454535,0.042886355536821956,0.03564570736058864,0.18492499362204645,0.045855104739971154,0.029563107436198163,0.4389593145985225,0.7568757063038225,0.6105590911733834,-0.37009558268606074,,,
edu,P,main,main,320,5,800014336.0,6147520.0,130.13610952058715,False,1.274321220208184,0.062386684987320556,0.024269407428157763,0.9441352673678968,6.904219037772058,0.043828652261244876,0.027398749226748828,0.46979040103456254,0.04666342552107111,0.021286345127942106,0.7848948850751419,1.2374299770599295,1.0449247289222074,-0.4743448663333342,-0.4983016406982916,-0.45083716228850096,
edu,P,main,main,384,6,25001984.0,10621824.0,2.353831507658195,True,1.4979380208467081,0.020758843723019088,0.09414888745634248,-1.5119050789222,8.641644531152284,0.033309938640115465,0.09586501941225661,-1.0570853441482058,0.03411620284645685,0.10222642923103434,-1.0974178191551673,-1.4274263966325922,-1.3422560780639166,0.4548197347739942,,,
edu,P,main,main,384,6,50003968.0,10621824.0,4.70766301531639,True,1.4119180915039355,0.02975157990805921,0.07621329405759053,-0.9406536734389846,12.404570857336996,0.035354190895724315,0.07652583985094287,-0.7722115199783319,0.036289994298968495,0.07693909167633407,-0.7514720275155597,-0.9468579272107664,-0.9078776063588356,0.16844215346065272,,,
edu,P,main,main,384,6,100007936.0,10621824.0,9.41532603063278,True,1.3472900962670256,0.03840683458847463,0.06048347362103892,-0.454134736601041,13.58930854667649,0.03706501641555384,0.06034096744330215,-0.4873376958084599,0.03800330533131008,0.05700844268930505,-0.4055262358759539,-0.46628945778894254,-0.47349913465375826,-0.03320295920741895,,,
edu,P,main,main,384,6,200015872.0,10621824.0,18.83065206126556,True,1.2983935914156883,0.046277212537638196,0.047661406186891485,-0.02947230566271123,13.077417988309467,0.038464961464960694,0.047097108417505085,-0.20246387163858517,0.039316664873439676,0.04173035976458632,-0.059580444236346376,0.014279011632885003,-0.03912066294867914,-0.17299156597587395,,,
edu,P,main,main,384,6,400015360.0,10621824.0,37.65976163792584,True,1.2617658709739916,0.05315099314603531,0.03722671498519427,0.3561101420338793,10.657158137424814,0.03958952973185571,0.03645838827777313,0.08239311953366446,0.040302095516371324,0.030267016638562943,0.2863449057052363,0.49481908459558704,0.39523214163235604,-0.27371702250021485,,,
edu,P,main,main,384,6,800014336.0,10621824.0,75.3179807912464,True,1.2334987249639464,0.058810834697223355,0.027621835854575776,0.7557194874114325,6.7005658475126095,0.04047966645606976,0.028037453974551384,0.36725852694618055,0.041029750549736024,0.02180233230520172,0.6322804761818559,0.9753733553516941,0.8295977793811802,-0.3884609604652519,,,
edu,P,main,main,448,7,25001984.0,16865856.0,1.482402316253619,True,1.4811868492481384,0.017012104341982266,0.10051668090796509,-1.7763985821030845,8.499812372716779,0.031001219238594207,0.0973005068956553,-1.143777664805616,0.030436557524426183,0.103762034847216,-1.226455714837376,-1.6489994136238266,-1.5243184184021188,0.6326209172974686,,,
edu,P,main,main,448,7,50003968.0,16865856.0,2.964804632507238,True,1.390142390443975,0.026383231799078144,0.08223639353364437,-1.1368692985709243,12.19537672462548,0.032934049209913205,0.07774318493343788,-0.8589038406357421,0.03240690982964832,0.0781696597558839,-0.8805099231977684,-1.1684309442020009,-1.0899399466970379,0.27796545793518224,,,
edu,P,main,main,448,7,100007936.0,16865856.0,5.929609265014476,True,1.3218500294316158,0.03505536275630288,0.06594964336312824,-0.631962866653283,13.268371456435434,0.034554361082510615,0.06134807442614072,-0.57403001646587,0.03396253929721454,0.05796400783690123,-0.5345641315581625,-0.687862474780177,-0.6555614749919605,0.05793285018741301,,,
edu,P,main,main,448,7,200015872.0,16865856.0,11.859218530028953,True,1.2706841407927567,0.04284846175009343,0.052351217346157976,-0.200305445113479,12.24125120831928,0.035882098480553265,0.04791337599942052,-0.2891561922959954,0.03515661893851424,0.0424544291752212,-0.18861833991855506,-0.2072940053583494,-0.2211830032868814,-0.08885074718251637,,,
edu,P,main,main,448,7,400015360.0,16865856.0,23.71746562996862,True,1.2309174607348308,0.04982022228398882,0.04125608008308465,0.1886224736935876,9.327357481210242,0.03694987656249693,0.037109073477910794,-0.004299201123745765,0.036053461646982726,0.030805580930052187,0.15730701002302752,0.2732460676043526,0.21316980129415392,-0.19292167481733336,,,
edu,P,main,main,512,8,25001984.0,25174528.0,0.9931460879822652,True,1.4707379063974646,0.010827862230384476,0.10685274807051562,-2.2893290521790823,7.959389798852759,0.02910654574521718,0.0984785539476608,-1.2188757094720275,0.027535211606764667,0.10497283716530136,-1.3382360153313138,-1.8409391402420088,-1.6820316467839116,1.0704533427070548,,,
edu,P,main,main,512,8,50003968.0,25174528.0,1.9862921759645304,True,1.3761795714002816,0.021435570839824745,0.08784459879990215,-1.4105175997723822,11.40849784278071,0.030944607325364994,0.07874388555739852,-0.9340018853021537,0.02933990498135479,0.07914160829214517,-0.9922902236917062,-1.360370670820183,-1.2476531750788307,0.47651571447022856,,,
edu,P,main,main,512,8,100007936.0,25174528.0,3.972584351929061,True,1.3050006800060636,0.03105350186310645,0.07085546432146701,-0.8249305049368317,12.259168353529978,0.03248761501147986,0.062177114705981244,-0.6491280611322815,0.03076667240397635,0.05871977023288426,-0.6463444320521003,-0.8798022013983591,-0.8132747033737534,0.17580244380455023,,,
edu,P,main,main,512,8,200015872.0,25174528.0,7.945168703858122,True,1.2505070494992039,0.039557469174627054,0.05656986762417657,-0.35772193896069043,10.792462209826239,0.033753465314719996,0.048586092383351494,-0.3642542369624069,0.031862995949620054,0.04302769487798678,-0.3003986404124928,-0.3992337319765315,-0.37889623166867414,-0.006532298001716452,,,
edu,P,main,main,512,8,400015360.0,25174528.0,15.889686591144827,True,1.2076424941499433,0.04681654976966177,0.04482955471345962,0.04336914263126057,7.6619317955579405,0.034772427867954814,0.037645823402501,-0.07939724579015722,0.03268707806043658,0.03123230962612366,0.045526709529089965,0.0813063409861706,0.05545657291236099,-0.1227663884214178,,,
edu,P,main,main,640,10,25001984.0,49165440.0,0.5085276161466266,True,1.4689505613675473,-0.0033540015537264524,0.11953667334433397,,5.098129327292278,0.026152471172094585,0.10031530252436077,-1.344374564936638,0.023234089359828267,0.10676780023925174,-1.5250358160157904,-2.161696040315414,-1.9455915003255622,,,,
edu,P,main,main,640,10,50003968.0,49165440.0,1.0170552322932531,True,1.3606460480896516,0.010722597057772813,0.09867739852062067,-2.2195025393774377,7.286363037016126,0.02783677124006025,0.08030714484830168,-1.0595007407667643,0.024784658056551324,0.08058518787544279,-1.1790900243761828,-1.6811275708935884,-1.5112130286204812,1.1600017986106734,,,
edu,P,main,main,640,10,100007936.0,49165440.0,2.0341104645865062,True,1.2805162908430647,0.02357604670146688,0.08000121769003779,-1.2218106293599023,7.585418309620886,0.029253769919815847,0.06347431704609115,-0.7746269165968922,0.02601298268651874,0.05984392841926773,-0.833144232736577,-1.2005591014717645,-1.0768345569154039,0.44718371276301006,,,
edu,P,main,main,640,10,200015872.0,49165440.0,4.0682209291730125,True,1.218832422540904,0.03472745604460746,0.06458905940236845,-0.6205144227835303,6.34074939086087,0.030418343727986772,0.049640097822057055,-0.4897530924270175,0.026958306249215726,0.04388137193739221,-0.48719844109696936,-0.719990632049937,-0.6424560852103247,0.13076133035651283,,,
edu,P,main,main,128,2,25001984.0,393856.0,63.48001299967501,True,1.7264753631592713,0.07386242312327149,0.05048361879651605,0.3805553124709604,2.7008036241786146,0.05363558338605189,0.08322718711198891,-0.43936134566714,0.07224346426592607,0.08631499439387127,-0.1779614674052557,0.15138668592662077,-0.04497535015527051,-0.8199166581381004,,,cr2
