model,family,developer,N,D,C,C_epoch,C_method,method_class,Confidence,Training hardware,chip_hours,peak,C_hw,dev_epoch,dev_hw,m4_indep
deepseek-ai/deepseek-llm-7b-base,DeepSeek-LLM,DeepSeek,7000000000.0,2000000000000.0,8.4e+22,8.4e+22,Operation counting,Epoch 6ND (operation counting),Confident,,,,,0.0,,False
deepseek-ai/deepseek-llm-67b-base,DeepSeek-LLM,DeepSeek,67000000000.0,2000000000000.0,8.04e+23,8.04e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,0.0,,False
EleutherAI/gpt-neo-125m,GPT-Neo/J,EleutherAI,125198592.0,300000000000.0,2.253574656e+20,,,Other/unknown,Confident,,,,,,,False
EleutherAI/gpt-neo-1.3B,GPT-Neo/J,EleutherAI,1315575808.0,380000000000.0,2.99951284224e+21,,,Other/unknown,Confident,,,,,,,False
EleutherAI/gpt-neo-2.7B,GPT-Neo/J,EleutherAI,2651307520.0,420000000000.0,6.6812949504e+21,7.9e+21,"Third-party estimation,Operation counting",Other/unknown,Confident,,,,,0.16755093586154565,,False
EleutherAI/gpt-j-6b,GPT-Neo/J,EleutherAI,6050000000.0,402000000000.0,1.45926e+22,1.5e+22,Reported,Developer-reported FLOP,Confident,Google TPU v3,,123000000000000.0,,0.027535650194521043,,True
EleutherAI/gpt-neox-20b,GPT-Neo/J,EleutherAI,20554568208.0,472000000000.0,5.8210537165056e+22,9.31627008e+22,Hardware,Epoch hardware-time,Confident,NVIDIA A100 SXM4 40 GB,207360.0,312000000000000.0,6.98720256e+22,0.47028104628353745,0.1825989738317564,True
EleutherAI/pythia-70m-deduped,Pythia,EleutherAI,70426672.0,300000000000.0,1.267680096e+20,1.26000000001e+20,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,510.0,312000000000000.0,1.718496e+20,-0.006076812992359331,0.3042609557300713,False
EleutherAI/pythia-160m-deduped,Pythia,EleutherAI,162323040.0,300000000000.0,2.92181472e+20,2.87900000001e+20,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 40 GB,1030.0,312000000000000.0,3.470688e+20,-0.01476189106035361,0.17214794250519772,False
EleutherAI/pythia-160m,Pythia,EleutherAI,162323040.0,300000000000.0,2.92181472e+20,2.87900000001e+20,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 40 GB,1030.0,312000000000000.0,3.470688e+20,-0.01476189106035361,0.17214794250519772,False
EleutherAI/pythia-410m-deduped,Pythia,EleutherAI,405334208.0,300000000000.0,7.296015744e+20,7.37700000001e+20,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,2540.0,312000000000000.0,8.558784e+20,0.011038641239081947,0.15962971332352577,False
EleutherAI/pythia-410m,Pythia,EleutherAI,405334208.0,300000000000.0,7.296015744e+20,7.37700000001e+20,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,2540.0,312000000000000.0,8.558784e+20,0.011038641239081947,0.15962971332352577,False
EleutherAI/pythia-1b-deduped,Pythia,EleutherAI,1011782144.0,300000000000.0,1.8212078592e+21,1.799000000001e+21,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,4830.0,312000000000000.0,1.6275168e+21,-0.012268984896668642,-0.11244452223766566,False
EleutherAI/pythia-1.4b-deduped,Pythia,EleutherAI,1414647808.0,300000000000.0,2.5463660544e+21,2.5190000000001e+21,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,7120.0,312000000000000.0,2.3991552e+21,-0.010805268706395931,-0.05955059068955069,False
EleutherAI/pythia-2.8b-deduped,Pythia,EleutherAI,2775209280.0,300000000000.0,4.995376704e+21,5.038000000001e+21,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,14240.0,312000000000000.0,4.7983104e+21,0.008496352457543724,-0.04024896952576983,False
EleutherAI/pythia-6.9b-deduped,Pythia,EleutherAI,6900000000.0,300000000000.0,1.242e+22,1.2420000000001e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,33500.0,312000000000000.0,1.1288159999999999e+22,8.060219158778312e-14,-0.09555368771083837,False
EleutherAI/pythia-12b,Pythia,EleutherAI,11846072896.0,300000000000.0,2.13229312128e+22,2.1590000000001e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,72300.0,312000000000000.0,2.4362208e+22,0.012447168150444487,0.13325000275187487,False
EleutherAI/pythia-12b-deduped,Pythia,EleutherAI,12000000000.0,300000000000.0,2.16e+22,2.1590000000001e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 40 GB,72300.0,312000000000000.0,2.4362208e+22,-0.00046307016335693973,0.1203397644380733,False
google/gemma-2b,Gemma,Google,2506172416.0,3000000000000.0,4.5111103488e+22,4.5115822e+22,Operation counting,Epoch 6ND (operation counting),Confident,Google TPU v5e,,197000000000000.0,,0.00010459210438083009,,False
google/gemma-7b,Gemma,Google,8537680896.0,6000000000000.0,3.07356512256e+23,3.07e+23,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,Google TPU v5e,,197000000000000.0,,-0.0011606039454499755,,False
google/gemma-2-2b,Gemma-2,Google,2614341888.0,2000000000000.0,3.1372102656e+22,3.12e+22,Operation counting,Epoch 6ND (operation counting),Confident,Google TPU v5e,,197000000000000.0,,-0.005500952746893446,,False
google/gemma-2-9b,Gemma-2,Google,9241705984.0,8000000000000.0,4.43601887232e+23,4.32e+23,Operation counting,Epoch 6ND (operation counting),Confident,Google TPU v4,,275000000000000.0,,-0.02650192157832674,,False
google/gemma-2-27b,Gemma-2,Google,27227128320.0,13000000000000.0,2.12371600896e+24,2.106e+24,Operation counting,Epoch 6ND (operation counting),Confident,Google TPU v5p,,459000000000000.0,,-0.00837697496578443,,False
HuggingFaceTB/SmolLM-1.7B,SmolLM,Hugging Face,1711376384.0,1000000000000.0,1.0268258304e+22,1.03e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA H100 PCIe,,756000000000000.0,,0.0030864763296296026,,False
LLM360/Amber,Amber,LLM360,6738415616.0,1259000000000.0,5.0901991563264e+22,4.7898069e+22,"Operation counting,Hardware",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 80 GB,134512.0,312000000000000.0,4.5325163519999996e+22,-0.06082685931881136,-0.11603968541426848,False
codellama/CodeLlama-7b-hf,CodeLlama,Meta,6738546688.0,2520000000000.0,1.0188682592256e+23,1.1e+23,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 80 GB,,312000000000000.0,,0.07661771829302622,,False
codellama/CodeLlama-13b-hf,CodeLlama,Meta,13016028160.0,2520000000000.0,1.968023457792e+23,,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 80 GB,,312000000000000.0,,,,False
codellama/CodeLlama-34b-hf,CodeLlama,Meta,33743970304.0,2520000000000.0,5.1020883099648e+23,5.3e+23,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 80 GB,,312000000000000.0,,0.03805689209668179,,False
codellama/CodeLlama-70b-hf,CodeLlama,Meta,68976910336.0,3020000000000.0,1.24986161528832e+24,1.26e+24,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100 SXM4 80 GB,2705320.0,312000000000000.0,9.115846272e+23,0.008078883547078244,-0.3156036827057463,False
huggyllama/llama-7b,Llama,Meta,6738417664.0,1000000000000.0,4.0430505984e+22,4.00000001e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100,82432.0,312000000000000.0,2.777628672e+22,-0.010705142023502414,-0.3754019376321315,False
huggyllama/llama-13b,Llama,Meta,13015866880.0,1000000000000.0,7.809520128e+22,7.8e+22,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100,,312000000000000.0,,-0.0012197849904839702,,False
huggyllama/llama-30b,Llama,Meta,32528947456.0,1400000000000.0,2.732431586304e+23,2.7300000000001e+23,Operation counting,Epoch 6ND (operation counting),Confident,,,,,-0.0008902945240021594,,False
huggyllama/llama-65b,Llama,Meta,65285665792.0,1400000000000.0,5.483995926528e+23,5.5e+23,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA A100,1024000.0,312000000000000.0,3.4504704e+23,0.0029140733307556135,-0.46332344933283415,False
meta-llama/Llama-2-7b-hf,Llama-2,Meta,6738417664.0,2000000000000.0,8.0861011968e+22,8.4e+22,"Hardware,Operation counting",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 80 GB,184320.0,312000000000000.0,6.21084672e+22,0.03808501964592956,-0.26384945172638397,True
meta-llama/Llama-2-13b-hf,Llama-2,Meta,13015866880.0,2000000000000.0,1.5619040256e+23,1.6e+23,"Hardware,Operation counting",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 80 GB,,312000000000000.0,,0.024098022993805843,,True
meta-llama/Llama-2-70b-hf,Llama-2,Meta,68976653312.0,2000000000000.0,8.27719839744e+23,8.1e+23,"Hardware,Operation counting",Epoch mixed (6ND and hardware),Confident,NVIDIA A100 SXM4 80 GB,1720320.0,312000000000000.0,5.796790272e+23,-0.021640491665758703,-0.35620019035414885,True
meta-llama/Meta-Llama-3-8B,Llama-3,Meta,8030261248.0,15000000000000.0,7.2272351232e+23,7.2e+23,Operation counting,Epoch 6ND (operation counting),Confident,NVIDIA H100 SXM5 80GB,1300000.0,989400000000000.0,1.3891176e+24,-0.0037755197471246974,0.6533972726400019,False
