N,N_emb,D,M,M_emb,lnw_local_ne,sigma_local_ne,neff_ne,se_lnw_local_ne,lnw_chin_full_ne,lnw_chin_M100_ne,lnw_kappa_full_ne,lnw_kappa_M100_ne,lnw_eq3_full_ne,lnw_eq3_M100_ne,lnw_local_emb,sigma_local_emb,neff_emb,se_lnw_local_emb,lnw_chin_full_emb,lnw_chin_M100_emb,lnw_kappa_full_emb,lnw_kappa_M100_emb,lnw_eq3_full_emb,lnw_eq3_M100_emb
99620352.0,208672256.0,2151145215.3915725,21.593431183535394,10.308726500716858,-0.06486169698342549,0.6147077576778243,14.321414522585941,0.10959378207424182,-0.14506176555489644,-0.2960697235895923,-0.16111704990121334,-0.1801811043420231,-0.3385985101845219,-0.27803651155041575,0.34148013746896194,0.560285631395149,22.498153489573497,0.040408848865252596,0.1517026865658186,0.0300927317597882,0.12015478163950807,0.08657485779149536,-0.10073118580350719,-0.02912099301800314
99620352.0,208672256.0,3026409494.6311784,30.379429844126413,14.503171397309178,0.017664975315931256,0.6365922126813758,16.80699839712572,0.08930949958642484,-0.038666209132924824,-0.21983643326511387,-0.015926326170476297,-0.06073554973600711,-0.18570307731047433,-0.15379692498337824,0.45771883177298717,0.571872999100513,25.62531318483073,0.03121053363495138,0.2585012867967435,0.10908654470167488,0.2641129151026966,0.21036509123437502,0.06194085262651872,0.10105426385286276
99620352.0,208672256.0,4257803872.867086,42.74030142823713,20.404264344882943,0.10525247810718204,0.6513738912183997,19.052580405258386,0.06988938761044672,0.06772934728904775,-0.14360314294063456,0.1292643975602608,0.05871000487000794,-0.026796358362484427,-0.028188079602125955,0.5789998820520549,0.5796372260726359,28.71198141140205,0.024448573893146714,0.36529988702766847,0.18808035764356162,0.4080710485658852,0.3341553246772558,0.23007094278396142,0.23261503309140547
99620352.0,208672256.0,5990231610.085299,60.130600723889216,28.706411311742844,0.21236934809651037,0.6550260318809965,20.600905695966638,0.057738547566929484,0.17412490371101932,-0.06736985261615526,0.27445512129099775,0.17815555947602396,0.1360617816306035,0.09827286623642507,0.7110119220073773,0.5835846875441321,31.38052117407071,0.021039984360409634,0.4720984872585934,0.2670741705854485,0.5520291820290737,0.4579455581201363,0.401403584234058,0.3650082280699767
99620352.0,208672256.0,8427554630.012259,84.59671604063654,40.386560204784764,0.3491007854622185,0.6461527966086106,21.39138300526446,0.05287585449857422,0.28052046013299187,0.008863437708325013,0.4196458450217366,0.2976011140820409,0.3012572594585159,0.22517313950182252,0.8572125966150039,0.5842077161399309,33.343469014352166,0.019931879430719394,0.5788970874895192,0.34606798352733614,0.695987315492264,0.5817357915630189,0.5742452587891185,0.49779784300316754
99620352.0,208672256.0,11856582794.271896,119.01767616994464,56.819162362781455,0.516678656707363,0.629983172394917,21.69398324574324,0.04893251563118718,0.3869160165549643,0.08509672803280348,0.5648365687524738,0.41704666868805607,0.46757012818606053,0.3521889496877646,1.0183763573751259,0.5825723268472335,34.54107803271384,0.01930912216718284,0.6856956877204441,0.42506179646922293,0.8399454489554508,0.7055260250058994,0.7473731788285374,0.6306465435638631
99620352.0,208672256.0,16680824002.824652,167.44393758842222,79.9379099194895,0.7065080437660277,0.6155812859183754,21.781597524741073,0.045147413029450925,0.49331157297693684,0.16133001835728375,0.7100272924832125,0.536492223294073,0.6341078647741644,0.47907088198559483,1.1929979838752782,0.5798524030110631,35.09616156287933,0.01897452822786897,0.7924942879513698,0.5040556094111106,0.983903582418641,0.8293162584487802,0.9199373803043609,0.7632985091335144
99620352.0,208672256.0,23467966634.33563,235.57401839270383,112.46328133978496,0.9053339380382937,0.6087339187923948,21.78949774054054,0.0451560243951595,0.5997071293989094,0.23756330868176304,0.8552180162139496,0.6559377779000881,0.8002385638539666,0.6056307216479336,1.3785476057715316,0.57661948401267,35.143463993666664,0.01971852105720109,0.8992928881822948,0.5830494223529974,1.1278617158818296,0.9531064918916607,1.091371950797084,0.8955641950620258
99620352.0,208672256.0,33016681781.249523,331.42506644876664,158.22267135143028,1.1029050374033722,0.6085898372805911,21.732737773539693,0.046409771994062925,0.7061026858208811,0.3137965990062415,1.0004087399446866,0.7753833325061031,0.9655314542364876,0.7317299660746492,1.5729551958200414,0.5724387574607152,34.69360225559262,0.02102348976766987,1.0060914884132197,0.6620432352948842,1.2718198493450181,1.0768967253345414,1.261321314067763,1.0273072376875803
99620352.0,208672256.0,46450606174.34935,466.2762702780788,222.60077628311714,1.2964755980959517,0.6093975699666008,21.51143858841194,0.04343417586811095,0.8124982422428544,0.39002988933072164,1.1455994636754254,0.89482888711212,1.1297073773134652,0.8572700489769327,1.7757654600667814,0.5659132653326872,33.616678633771535,0.021031599111857317,1.1128900886441455,0.7410370482367717,1.4157779828082084,1.2006869587774238,1.4295821551143901,1.1584334609808409
