design,k_valid,sigma_equal_weight,sigma_median_budget,sigma_min,sigma_max,drift_sigma_per_decade_ols
Chinchilla,9,0.689904270717402,0.7116682369812602,0.6000508217455234,0.8688332090183716,-0.06576951173497957
Llama 3,8,0.6691209112226303,0.6687154062285402,0.5858437580704146,0.8074431464448694,-0.056204756223246694
"Marin, Comma",5,0.6902056316935955,0.7010925185054394,0.6220774205177565,0.7376762750751726,-0.046917541402256964
"Marin, DCLM",7,0.6943088899630143,0.6950928551500503,0.6491528920823757,0.7301526965400904,-0.006517428378513557
"Marin, Nemotron-CC",7,0.6912584300896002,0.6939525892064419,0.6519487840551917,0.7536507302500964,-0.021691743219708015
"Porian, RefinedWeb",12,0.47331129412737466,0.4902771448250196,0.3607573909436271,0.5679015603115423,0.04584905892870751
"Porian, OpenWebText2",12,0.4837167222360467,0.5046078464958723,0.3627908579785425,0.5693547567420201,0.04000435219143448
