model,N,D,U,D_eff,w_ref,w_eff,s_ref,s_eff,note
stablelm-3b-4e1t,2795443200.0,4000000000000.0,1000000000000.0,3725710606653.369,5.958112688136584,5.778652605907914,0.8321616168839612,0.8269492789759275,"1T unique tokens, 4 epochs (StableLM README)"
TinyLlama_v1.1,1100000000.0,2000000000000.0,950000000000.0,1963182709218.7673,6.567457328636474,6.515132024740762,0.8477340696772188,0.846511168737246,about 950B unique tokens (TinyLlama README); 2T trained
