set,series,tau,share
S2(a),training compute (models),3.4,0.23118604486418648
S2(a),training compute (models),4.4,0.23050298984615808
S2(a),training compute (models),8.0,0.15746732980646963
S2(a),training compute (models),10.0,0.14904936935564614
S2(a),decisions (49),1.0,0.8163265306122449
S2(a),decisions (49),1.3,0.7959183673469388
S2(a),decisions (49),1.84,0.7551020408163265
S2(a),decisions (49),3.4,0.6326530612244898
S2(a),decisions (49),4.4,0.6122448979591837
S2(a),decisions (49),8.0,0.46938775510204084
S2(a),decisions (49),10.0,0.40816326530612246
S2(a),"training compute (decisions, 49)",1.0,0.3997397997565773
S2(a),"training compute (decisions, 49)",1.3,0.39208320650186596
S2(a),"training compute (decisions, 49)",1.84,0.3163972158965591
S2(a),"training compute (decisions, 49)",3.4,0.13762439151920586
S2(a),"training compute (decisions, 49)",4.4,0.13694133650117749
S2(a),"training compute (decisions, 49)",8.0,0.10303337000107163
S2(a),"training compute (decisions, 49)",10.0,0.09538322723299875
S2(a),decisions (56),1.0,0.8214285714285714
S2(a),decisions (56),1.3,0.8035714285714286
S2(a),decisions (56),1.84,0.7678571428571429
S2(a),decisions (56),3.4,0.625
S2(a),decisions (56),4.4,0.6071428571428571
S2(a),decisions (56),8.0,0.48214285714285715
S2(a),decisions (56),10.0,0.42857142857142855
S2(a),"training compute (decisions, 56)",1.0,0.4064668322935845
S2(a),"training compute (decisions, 56)",1.3,0.39881023903887314
S2(a),"training compute (decisions, 56)",1.84,0.3235494102257157
S2(a),"training compute (decisions, 56)",3.4,0.14166976001542939
S2(a),"training compute (decisions, 56)",4.4,0.140986704997401
S2(a),"training compute (decisions, 56)",8.0,0.10707873849729516
S2(a),"training compute (decisions, 56)",10.0,0.0998080447428053
