estimate,sigma,se,se_fd_draws,se_pathmean_draws,n_points,k,levels,Q
fd_le3e20,0.709815,0.0061817,0.000984834,0.0061817,247,,,
fd_all,0.707807,0.00483939,0.00117362,0.00483939,,,,
hessian_re_le3e20,0.708174,0.0159448,,,,6,5e+18 1e+19 2e+19 5e+19 1e+20 2e+20,23.1509
hessian_re_all,0.702866,0.0132979,,,,8,,
