truth,kappa,corpus,sig_F,sig_P,sig_P6,sig_T,F_minus_T,F_minus_P,F_minus_P6,P_minus_T,q3_slope_P,q3_mean_P
chin,1.0,edu,0.6950091542213757,0.736281460133994,0.7386682096622947,0.6943941188050937,0.0006150354162819394,-0.04127230591261832,-0.04365905544091908,0.04188734132890026,-0.006366232806198403,0.0062230835146707
chin,1.0,web,0.68964488167643,0.7389738221798977,0.7392861288105191,0.6882383054514407,0.0014065762249892977,-0.0493289405034677,-0.04964124713408913,0.050735516728457,-0.003675507569085967,0.0024289292340610317
kappa,0.36,edu,0.6611511642936441,0.7026747378587326,0.704064681191126,0.6595921178742024,0.001559046419441712,-0.04152357356508851,-0.04291351689748191,0.043082619984530224,-0.19444026744268814,-0.8078068007779596
kappa,0.36,web,0.6537592686583339,0.704435217169993,0.7052054985621462,0.6521537133809201,0.0016055552774137949,-0.05067594851165913,-0.05144622990381231,0.052281503789072925,-0.2017544012610172,-0.8164327244699943
kappa,0.6,edu,0.6599959019081492,0.7014284368489425,0.7035507937412506,0.6588386208646241,0.0011572810435250824,-0.04143253494079335,-0.04355489183310146,0.042589815984318435,-0.1253284897574911,-0.5005566186787751
kappa,0.6,web,0.6528405485107321,0.7038998132253617,0.7048291845246617,0.6514906627261026,0.0013498857846295786,-0.051059264714629515,-0.05198863601392956,0.052409150499259094,-0.13042750149817323,-0.5047609720058502
