model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
btlm-3b-8k-base,BTLM,Cerebras,2023-09-20 00:00:00,3000000000.0,3000000000.0,3000000000.0,reported,,627000000000.0,ObsScaling; fix: ObsScaling lists 627T; BTLM trained on 627B tokens (Epoch 6.27e11),,627000000000.0,0.0,209.0,False,False,False,False
h2o-danube-1.8b-base,H2O-Danube1,H2O.ai,2024-01-23 11:25:25,1831201280.0,1831201280.0,1831201280.0,HF safetensors (float tensors),1667361280.0,1000000000000.0,ObsScaling,,,,546.0896139172642,False,False,False,False
h2o-danube2-1.8b-base,H2O-Danube2,H2O.ai,2024-04-05 12:20:26,1831201280.0,1831201280.0,1831201280.0,HF safetensors (float tensors),1667361280.0,3000000000000.0,ObsScaling,,,,1638.2688417517925,False,False,False,False
h2o-danube3-500m-base,H2O-Danube3,H2O.ai,2024-07-04 13:16:04,513590784.0,513590784.0,513590784.0,HF safetensors (float tensors),415286784.0,4000000000000.0,ObsScaling,,,,7788.301746473706,False,False,False,False
h2o-danube3-4b-base,H2O-Danube3,H2O.ai,2024-07-04 13:24:14,3961839360.0,3961839360.0,3961839360.0,HF safetensors (float tensors),3716079360.0,6000000000000.0,ObsScaling,,,,1514.4480769659474,False,False,False,False
OLMo-1B-hf,OLMo-1,AI2,2024-02-01 00:00:00,1176764416.0,1176764416.0,1176764416.0,HF safetensors (float tensors),1073741824.0,3000000000000.0,ObsScaling,,2000000000000.0,0.1760912590556812,2549.3632873412785,False,False,False,False
OLMo-7B-hf,OLMo-1,AI2,2024-02-01 00:00:00,6888095744.0,6888095744.0,6888095744.0,HF safetensors (float tensors),6476005376.0,2500000000000.0,ObsScaling,,2460000000000.0,0.0070049015686585,362.94501309417336,False,False,False,False
OLMo-7B-0424-hf,OLMo-1.7,AI2,2024-04-17 00:00:00,6888095744.0,6888095744.0,6888095744.0,HF safetensors (float tensors),6476005376.0,2050000000000.0,ObsScaling,,2000000000000.0,0.010723865391773,297.61491073722215,False,False,False,False
TinyLlama_v1.1,TinyLlama,TinyLlama,2024-03-09 09:39:41,1100000000.0,1100000000.0,1100000000.0,reported,968928000.0,2000000000000.0,ObsScaling; fix: ObsScaling 3T is TinyLlama v1.0; the v1.1 card states 2T (1.5T + 0.5T stages),,,,1818.1818181818185,False,False,False,False
pythia-70m,Pythia,EleutherAI,2023-04-03 00:00:00,70426672.0,70426672.0,70426672.0,HF safetensors (float tensors),18915376.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,4258.22671274315,False,False,False,False
pythia-160m,Pythia,EleutherAI,2023-04-03 00:00:00,162323040.0,162323040.0,162323040.0,HF safetensors (float tensors),85056096.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,1847.505665246289,False,False,False,False
pythia-410m,Pythia,EleutherAI,2023-04-03 00:00:00,405334208.0,405334208.0,405334208.0,HF safetensors (float tensors),302311616.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,739.8653508168745,False,False,False,False
pythia-1b,Pythia,EleutherAI,2023-04-03 00:00:00,1011782144.0,1011782144.0,1011782144.0,HF safetensors (float tensors),805736960.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,296.4005025967329,False,False,False,False
pythia-1.4b,Pythia,EleutherAI,2023-04-03 00:00:00,1414648192.0,1414648192.0,1414648192.0,HF safetensors (float tensors),1208603008.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,211.99103614306955,False,False,False,False
pythia-2.8b,Pythia,EleutherAI,2023-04-03 00:00:00,2775209280.0,2775209280.0,2775209280.0,HF safetensors (float tensors),2517652800.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,108.061304839684,False,False,False,False
pythia-6.9b,Pythia,EleutherAI,2023-04-03 00:00:00,6857302528.0,6857302528.0,6857302528.0,HF safetensors (float tensors),6444163584.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,43.73333898795722,False,False,False,False
pythia-12b,Pythia,EleutherAI,2023-04-03 00:00:00,11846072896.0,11846072896.0,11846072896.0,HF safetensors (float tensors),11327027776.0,299892736000.0,"Biderman et al. (2023): 299,892,736,000 tokens (Sloth 0.25-0.3T; ObsScaling 0.3T)",,299892736000.0,0.0,25.315793565753182,False,False,False,False
Llama-3.2-1B,Llama-3.2,Meta,2024-09-24 00:00:00,1235814400.0,1235814400.0,1235814400.0,HF safetensors (float tensors),973146112.0,9000000000000.0,card: up to 9T tokens,True,9000000000000.0,0.0,7282.646973526122,False,True,False,False
Llama-3.2-3B,Llama-3.2,Meta,2024-09-24 00:00:00,3212749824.0,3212749824.0,3212749824.0,HF safetensors (float tensors),2818747392.0,9000000000000.0,card: up to 9T tokens,True,9000000000000.0,0.0,2801.3385707059647,False,True,False,False
Llama-4-Scout-17B-16E,Llama-4,Meta,2025-04-05 00:00:00,108641793536.0,17000000000.0,17000000000.0,HF safetensors (float tensors),,40000000000000.0,card: ~40T tokens,True,30000000000000.0,0.1249387366082999,2352.9411764705883,True,False,False,False
Llama-4-Maverick-17B-128E,Llama-4,Meta,2025-04-05 00:00:00,401583781376.0,17000000000.0,17000000000.0,HF safetensors (float tensors),,22000000000000.0,card: ~22T tokens,True,30000000000000.0,-0.1346985738974562,1294.1176470588234,True,True,False,False
Qwen2.5-0.5B,Qwen2.5,Alibaba,2024-09-15 12:15:39,494032768.0,494032768.0,494032768.0,HF safetensors (float tensors),357898112.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,,,,36434.83016899802,False,False,False,False
Qwen2.5-1.5B,Qwen2.5,Alibaba,2024-09-19 00:00:00,1543714304.0,1543714304.0,1543714304.0,HF safetensors (float tensors),1310340608.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,,,,11660.188645890788,False,False,False,False
Qwen2.5-3B,Qwen2.5,Alibaba,2024-09-19 00:00:00,3085938688.0,3085938688.0,3085938688.0,HF safetensors (float tensors),2774773760.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,,,,5832.9091468974775,False,False,False,False
Qwen2.5-7B,Qwen2.5,Alibaba,2024-09-19 00:00:00,7615616512.0,7615616512.0,7615616512.0,HF safetensors (float tensors),6525621760.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,,,,2363.564390569986,False,False,False,False
Qwen2.5-14B,Qwen2.5,Alibaba,2024-09-19 00:00:00,14770033664.0,14770033664.0,14770033664.0,HF safetensors (float tensors),13212898304.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,,,,1218.6837491015756,False,False,False,False
Qwen2.5-32B,Qwen2.5,Alibaba,2024-09-17 00:00:00,32763876352.0,32763876352.0,32763876352.0,HF safetensors (float tensors),31206740992.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,,18000000000000.0,0.0,549.3855429869253,False,False,False,False
Qwen2.5-72B,Qwen2.5,Alibaba,2024-09-19 00:00:00,72706203648.0,72706203648.0,72706203648.0,HF safetensors (float tensors),70214787072.0,18000000000000.0,Qwen2.5 technical report (18T tokens pre-training corpus); Epoch 1.8e13,,18000000000000.0,0.0,247.57172148810363,False,False,False,False
Qwen3-0.6B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,596049920.0,596049920.0,596049920.0,HF safetensors (float tensors),440467456.0,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,True,,,60397.62575590984,False,False,False,False
Qwen3-1.7B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,1720574976.0,1720574976.0,1720574976.0,HF safetensors (float tensors),1409410048.0,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,True,,,20923.23816291514,False,False,False,False
Qwen3-4B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,4022468096.0,4022468096.0,4022468096.0,HF safetensors (float tensors),3633511936.0,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,True,,,8949.729156534248,False,False,False,False
Qwen3-8B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,8190735360.0,8190735360.0,8190735360.0,HF safetensors (float tensors),6946075648.0,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,True,,,4395.209760506778,False,False,False,False
Qwen3-14B-Base,Qwen3,Alibaba,2025-04-29 00:00:00,14768307200.0,14768307200.0,14768307200.0,HF safetensors (float tensors),13212482560.0,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,True,,,2437.6524345322396,False,False,False,False
Qwen3-32B,Qwen3,Alibaba,2025-04-29 00:00:00,32762123264.0,32762123264.0,32762123264.0,HF safetensors (float tensors),31206298624.0,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,,,,1098.8298807714295,False,False,False,False
Qwen3-30B-A3B-Base,Qwen3-MoE,Alibaba,2025-04-29 00:00:00,30532122624.0,3300000000.0,3300000000.0,HF safetensors (float tensors),,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,True,,,10909.09090909091,True,False,False,False
Qwen3-235B-A22B,Qwen3-MoE,Alibaba,2025-04-29 00:00:00,235093634560.0,22000000000.0,22000000000.0,HF safetensors (float tensors),,36000000000000.0,Qwen3 card and technical report: pre-trained on 36T tokens,,36000000000000.0,0.0,1636.3636363636365,True,False,False,False
gemma-3-270m,Gemma-3,Google,2025-08-14 00:00:00,268098176.0,268098176.0,268098176.0,HF safetensors (float tensors),100326016.0,6000000000000.0,"Gemma 3 card: 27B 14T, 12B 12T, 4B 4T, 1B 2T, 270M 6T; distillation for all sizes (Gemma 3 report)",True,6000000000000.0,0.0,22379.861323636906,False,True,False,False
gemma-3-1b-pt,Gemma-3,Google,2025-03-12 00:00:00,999885952.0,999885952.0,999885952.0,HF safetensors (float tensors),697896064.0,2000000000000.0,"Gemma 3 card: 27B 14T, 12B 12T, 4B 4T, 1B 2T, 270M 6T; distillation for all sizes (Gemma 3 report)",True,,,2000.2281220168595,False,True,False,False
gemma-3-4b-pt,Gemma-3,Google,2025-03-12 00:00:00,3883079472.0,3883079472.0,3883079472.0,HF safetensors (float tensors),3211826992.0,4000000000000.0,"Gemma 3 card: 27B 14T, 12B 12T, 4B 4T, 1B 2T, 270M 6T; distillation for all sizes (Gemma 3 report)",True,,,1030.1102588404608,False,True,False,False
gemma-3-12b-pt,Gemma-3,Google,2025-03-12 00:00:00,11770325040.0,11770325040.0,11770325040.0,HF safetensors (float tensors),10763446320.0,12000000000000.0,"Gemma 3 card: 27B 14T, 12B 12T, 4B 4T, 1B 2T, 270M 6T; distillation for all sizes (Gemma 3 report)",True,,,1019.5130516123792,False,True,False,False
gemma-3-27b-pt,Gemma-3,Google,2025-03-12 00:00:00,27015406640.0,27015406640.0,27015406640.0,HF safetensors (float tensors),25605776432.0,14000000000000.0,"Gemma 3 card: 27B 14T, 12B 12T, 4B 4T, 1B 2T, 270M 6T; distillation for all sizes (Gemma 3 report)",True,,,518.2228121368007,False,True,False,False
OLMo-2-0425-1B,OLMo-2,AI2,2025-04-17 22:45:45,1484916736.0,1484916736.0,1484916736.0,HF safetensors (float tensors),1073874944.0,4050000000000.0,card: stage 1 4T + stage 2 50B,True,,,2727.4256541209866,False,False,False,False
OLMo-2-1124-7B,OLMo-2,AI2,2024-12-31 00:00:00,7298617344.0,7298617344.0,7298617344.0,HF safetensors (float tensors),6476533760.0,4050000000000.0,card: stage 1 4T + stage 2 50B (3-run soup),True,,,554.8996212727055,False,False,False,False
OLMo-2-1124-13B,OLMo-2,AI2,2024-12-31 00:00:00,13716198400.0,13716198400.0,13716198400.0,HF safetensors (float tensors),12688593920.0,5150000000000.0,card: stage 1 5T (1.2 epochs) + stage 2 100B x3 / 300B x1 soup (mean 150B),True,,,375.46846799766325,False,False,False,False
OLMo-2-0325-32B,OLMo-2,AI2,2025-03-13 00:00:00,32234279936.0,32234279936.0,32234279936.0,HF safetensors (float tensors),31206675456.0,6150000000000.0,card: stage 1 6T (1.5 epochs) + stage 2 100B x3 / 300B x1 soup (mean 150B),True,6000000000000.0,0.010723865391773,190.79067415839916,False,False,False,False
OLMoE-1B-7B-0924,OLMoE,AI2,2024-09-03 00:00:00,6919161856.0,1300000000.0,1300000000.0,HF safetensors (float tensors),,5130000000000.0,"card: 5,033B pretraining + 100B annealing",True,,,3946.153846153846,True,False,False,False
Olmo-3-1025-7B,Olmo-3,AI2,2025-09-12 19:24:57,7298011136.0,7298011136.0,7298011136.0,HF safetensors (float tensors),6476533760.0,6030000000000.0,card: stage 1 5.93T + stage 2 100B,True,,,826.2525073790187,False,False,False,False
Olmo-3-1125-32B,Olmo-3,AI2,2025-11-20 00:00:00,32233522176.0,32233522176.0,32233522176.0,HF safetensors (float tensors),31206675456.0,5600000000000.0,card: stage 1 5.50T + stage 2 100B,True,5500000000000.0,0.0078253375119565,173.73217762002974,False,False,False,False
SmolLM2-135M,SmolLM2,Hugging Face,2024-10-31 00:46:04,134515008.0,134515008.0,134515008.0,HF safetensors (float tensors),106203456.0,2000000000000.0,card: 2T,True,,,14868.229424630446,False,False,True,False
SmolLM2-360M,SmolLM2,Hugging Face,2024-10-31 00:43:11,361821120.0,361821120.0,361821120.0,HF safetensors (float tensors),314635200.0,4000000000000.0,card: 4T,True,,,11055.186607127853,False,False,True,False
SmolLM2-1.7B,SmolLM2,Hugging Face,2024-10-30 22:50:10,1711376384.0,1711376384.0,1711376384.0,HF safetensors (float tensors),1610713088.0,11000000000000.0,card: 11T,True,,,6427.574964128989,False,False,True,False
SmolLM3-3B-Base,SmolLM3,Hugging Face,2025-06-19 11:33:11,3075098624.0,3075098624.0,3075098624.0,HF safetensors (float tensors),2812430336.0,11200000000000.0,card: 11.2T,True,,,3642.1596083417194,False,False,True,False
Phi-3-mini-4k-instruct,Phi-3,Microsoft,2024-04-23 00:00:00,3821079552.0,3821079552.0,3821079552.0,HF safetensors (float tensors),3624078336.0,4900000000000.0,card (June 2024 update): 4.9T,True,3300000000000.0,0.1716821401506262,1282.360111407594,False,False,True,False
Phi-3-small-8k-instruct,Phi-3,Microsoft,2024-04-23 00:00:00,7392274432.0,7392274432.0,7392274432.0,HF safetensors (float tensors),6981232640.0,4800000000000.0,card: 4.8T,True,4800000000000.0,0.0,649.3265427513825,False,False,True,False
Phi-3-medium-4k-instruct,Phi-3,Microsoft,2024-04-23 00:00:00,13960238080.0,13960238080.0,13960238080.0,HF safetensors (float tensors),13631902720.0,4800000000000.0,card: 4.8T,True,4800000000000.0,0.0,343.8336776560189,False,False,True,False
Phi-3.5-mini-instruct,Phi-3.5,Microsoft,2024-04-23 00:00:00,3821079552.0,3821079552.0,3821079552.0,HF safetensors (float tensors),3624078336.0,3400000000000.0,card: 3.4T,True,,,889.8008936297592,False,False,True,False
Phi-3.5-MoE-instruct,Phi-3.5,Microsoft,2024-04-23 00:00:00,41873153344.0,6600000000.0,6600000000.0,HF safetensors (float tensors),,4900000000000.0,card: 4.9T,True,,,742.4242424242424,True,False,True,False
phi-4,Phi-4,Microsoft,2024-12-12 00:00:00,14659507200.0,14659507200.0,14659507200.0,HF safetensors (float tensors),13631902720.0,9800000000000.0,card: 9.8T,True,,,668.5081473952959,False,False,True,False
Phi-4-mini-instruct,Phi-4,Microsoft,2025-03-03 00:00:00,3836021760.0,3836021760.0,3836021760.0,HF safetensors (float tensors),3221425152.0,5000000000000.0,card: 5T,True,5000000000000.0,0.0,1303.433690636833,False,False,True,False
DeepSeek-V2-Lite,DeepSeek-V2,DeepSeek,2024-05-15 05:31:53,15706484224.0,2400000000.0,2400000000.0,HF safetensors (float tensors),,5700000000000.0,card: 5.7T,True,,,2375.0,True,False,False,False
DeepSeek-V3-Base,DeepSeek-V3,DeepSeek,2024-12-24 00:00:00,684531386000.0,37000000000.0,37000000000.0,HF safetensors (float tensors),,14800000000000.0,card: 14.8T,True,14800000000000.0,0.0,400.0,True,False,False,False
Kimi-K2-Base,Kimi-K2,Moonshot,2025-07-11 00:00:00,1026470731056.0,32000000000.0,32000000000.0,HF safetensors (float tensors),,15500000000000.0,card: 15.5T,True,15500000000000.0,0.0,484.375,True,False,False,False
GLM-4.5-Base,GLM-4.5,Zhipu,2025-07-28 00:00:00,358337791296.0,32000000000.0,32000000000.0,HF safetensors (float tensors),,23000000000000.0,GLM-4.5 report via Epoch (2.31e13),,23100000000000.0,-0.0018841438745514,718.75,True,False,False,False
Falcon3-7B-Base,Falcon3,TII,2024-12-17 00:00:00,7455550464.0,7455550464.0,7455550464.0,HF safetensors (float tensors),6650244096.0,14000000000000.0,card: 14 teratokens,True,14000000000000.0,0.0,1877.7956191968176,False,False,False,False
falcon-11B,Falcon2,TII,2024-05-09 00:00:00,11102822400.0,11102822400.0,11102822400.0,HF safetensors (float tensors),10570145792.0,5500000000000.0,"Epoch 5.5e12; card: over 5,000B tokens",True,5500000000000.0,0.0,495.3695377492483,False,False,False,False
granite-3.0-2b-base,Granite-3.0,IBM,2024-10-21 00:00:00,2533525504.0,2533525504.0,2533525504.0,HF safetensors (float tensors),2432862208.0,12000000000000.0,card: 10T + 2T,True,12000000000000.0,0.0,4736.482810634458,False,False,False,False
granite-3.0-8b-base,Granite-3.0,IBM,2024-10-21 00:00:00,8170835968.0,8170835968.0,8170835968.0,HF safetensors (float tensors),7969509376.0,12000000000000.0,card: 10T + 2T,True,12000000000000.0,0.0,1468.6379762115423,False,False,False,False
Apertus-8B-2509,Apertus,Swiss AI,2025-09-02 00:50:39,8053338176.0,8053338176.0,8053338176.0,HF safetensors (float tensors),6979596352.0,15000000000000.0,card: 15T,True,,,1862.5816614409612,False,False,False,False
Apertus-70B-2509,Apertus,Swiss AI,2025-09-02 00:00:00,70599864480.0,70599864480.0,70599864480.0,HF safetensors (float tensors),68452380832.0,15000000000000.0,card: 15T,True,15000000000000.0,0.0,212.46499707162045,False,False,False,False
marin-8b-base,Marin,Marin,2025-05-19 00:00:00,8030261248.0,8030261248.0,8030261248.0,HF safetensors (float tensors),6979588096.0,12700000000000.0,card: 12.7T,True,,,1581.5176627239912,False,False,False,False
DCLM-7B,DCLM,Apple,2024-07-20 00:00:00,6889674752.0,6889674752.0,6889674752.0,HF safetensors (float tensors),,2500000000000.0,card: 2.5T,True,2500000000000.0,0.0,362.8618316523979,False,False,False,False
neo_7b,MAP-Neo,M-A-P,2024-07-10 00:00:00,7793716224.0,7793716224.0,7793716224.0,HF safetensors (float tensors),7398927360.0,4420000000000.0,card: 3.7T + 720B decay,True,4500000000000.0,-0.0077902444262517,567.1235483772215,False,False,False,False
K2,LLM360-K2,LLM360,2024-04-17 18:50:01,65286184960.0,65286184960.0,65286184960.0,HF safetensors (float tensors),64761372672.0,1400000000000.0,card: 1.4T,True,,,21.444046713064363,False,False,False,False
stablelm-3b-4e1t,StableLM-3B-4E1T,Stability AI,2023-09-29 00:00:00,2795443200.0,2795443200.0,2795443200.0,HF safetensors (float tensors),2537886720.0,4000000000000.0,card: 1T tokens x 4 epochs,True,4000000000000.0,0.0,1430.9001163035614,False,False,False,False
