model,family,lab,date,N_total,N_active,N,N_src,N_nonemb,D,D_src,D_card_verified,epoch_D,D_vs_epoch,M,moe,distilled,synthetic,code
Qwen2-0.5B,Qwen2,Alibaba,2024-06-07 00:00:00,494032768.0,494032768.0,494032768.0,HF safetensors (float tensors),357898112.0,12000000000000.0,ObsScaling; fix: missing in ObsScaling; Qwen2 report and Epoch: 12T,,12000000000000.0,0.0,24289.886779332013,False,False,False,False
DeepSeek-V2,DeepSeek-V2,DeepSeek,2024-05-07 00:00:00,235741434880.0,21000000000.0,21000000000.0,HF safetensors (float tensors),,8100000000000.0,ObsScaling,,8100000000000.0,0.0,385.7142857142857,True,False,False,False
DeepSeek-Coder-V2-Base,DeepSeek-Coder-V2,DeepSeek,2024-06-14 03:45:54,235741434880.0,21000000000.0,21000000000.0,HF safetensors (float tensors),,10200000000000.0,ObsScaling,,,,485.7142857142857,True,False,False,True
Yi-6B,Yi,01.AI,2023-11-02 00:00:00,6061035520.0,6061035520.0,6061035520.0,HF safetensors (float tensors),5536747520.0,3000000000000.0,ObsScaling,,,,494.9649263893441,False,False,False,False
Yi-34B,Yi,01.AI,2023-11-02 00:00:00,34388917248.0,34388917248.0,34388917248.0,HF safetensors (float tensors),33471413248.0,3000000000000.0,ObsScaling,,3100000000000.0,-0.0142404391146102,87.23740786501426,False,False,False,False
Yi-1.5-34B,Yi-1.5,01.AI,2024-05-13 00:00:00,34388917248.0,34388917248.0,34388917248.0,HF safetensors (float tensors),33471413248.0,3600000000000.0,ObsScaling,,,,104.68488943801712,False,False,False,False
Yi-1.5-9B,Yi-1.5,01.AI,2024-05-13 00:00:00,8829407232.0,8829407232.0,8829407232.0,HF safetensors (float tensors),8305119232.0,3600000000000.0,ObsScaling,,,,407.7283905257752,False,False,False,False
Yi-1.5-6B,Yi-1.5,01.AI,2024-05-11 08:25:23,6061035520.0,6061035520.0,6061035520.0,HF safetensors (float tensors),5536747520.0,3600000000000.0,ObsScaling,,,,593.9579116672129,False,False,False,False
gemma-7b,Gemma,Google,2024-02-21 00:00:00,8537680896.0,8537680896.0,8537680896.0,HF safetensors (float tensors),7751248896.0,6000000000000.0,ObsScaling,,6000000000000.0,0.0,702.7669542921273,False,False,False,False
gemma-2b,Gemma,Google,2024-02-21 00:00:00,2506172416.0,2506172416.0,2506172416.0,HF safetensors (float tensors),1981884416.0,3000000000000.0,ObsScaling; fix: ObsScaling/card: 6T total dataset; Gemma report and Epoch: 2B trained on 3T,,3000000000000.0,0.0,1197.044537258206,False,False,False,False
gemma-2-27b,Gemma-2,Google,2024-06-24 00:00:00,27227128320.0,27227128320.0,27227128320.0,HF safetensors (float tensors),26047480320.0,13000000000000.0,ObsScaling,,13000000000000.0,0.0,477.464969761453,False,False,False,False
gemma-2-9b,Gemma-2,Google,2024-06-24 00:00:00,9241705984.0,9241705984.0,9241705984.0,HF safetensors (float tensors),8324201984.0,8000000000000.0,ObsScaling,,8000000000000.0,0.0,865.6410422329228,False,True,False,False
