corpus,conv,sample,bandwidth,path,hx,hz,sigma_mf,sigma_mf_slope,n_levels
edu,P,main,cv x 0.75,P,0.4416745897584614,0.508970459334089,0.6624263420049208,,9
edu,P,main,cv x 0.75,P6,0.4416745897584614,0.508970459334089,0.6585907831484028,0.6366486663037166,9
edu,P,main,cv x 1,P,0.5888994530112819,0.6786272791121187,0.6656266586299756,,9
edu,P,main,cv x 1,P6,0.5888994530112819,0.6786272791121187,0.6651835135722938,0.631242434754341,10
edu,P,main,cv x 1.5,P,0.8833491795169228,1.017940918668178,0.6731101141756011,,10
edu,P,main,cv x 1.5,P6,0.8833491795169228,1.017940918668178,0.6749909559264289,0.6541310411566,10
edu,P,main,cv x 2,P,1.1777989060225638,1.3572545582242375,0.680310673912255,,10
edu,P,main,cv x 2,P6,1.1777989060225638,1.3572545582242375,0.6811722224413265,0.6642504090678845,10
edu,P,main,"extended-grid CV (m_N=0.25, m_D=0.4)",P,0.3680621581320512,0.4524181860747459,0.6603707430950028,,9
edu,P,main,"extended-grid CV (m_N=0.25, m_D=0.4)",P6,0.3680621581320512,0.4524181860747459,0.6556276198838826,0.6359462169167546,9
edu,T,main,cv x 0.75,T,0.3321700736377856,0.508970459334089,0.6058566029390869,0.5839915507658333,9
edu,T,main,cv x 1,T,0.44289343151704746,0.6786272791121187,0.6074178916502819,0.5860240694315996,9
edu,T,main,cv x 1.5,T,0.6643401472755712,1.017940918668178,0.6166266288812094,0.5875339111967682,10
edu,T,main,cv x 2,T,0.8857868630340949,1.3572545582242375,0.6219542910486061,0.586462757973419,10
edu,T,main,"extended-grid CV (m_N=0.2, m_D=0.4)",T,0.22144671575852373,0.4524181860747459,0.6053529506179858,0.5832285958880707,9
