rep,slope|edu|P,mean|edu|P,slope_main|edu|P,mean_main|edu|P,slope|edu|T,mean|edu|T,slope_main|edu|T,mean_main|edu|T,slope|web|P,mean|web|P,slope_main|web|P,mean_main|web|P,slope|web|T,mean|web|T,slope_main|web|T,mean_main|web|T
2,-0.04538748729637545,-0.020045470240523375,-0.0003219245244423298,-0.009560336569393731,0.0986904346120769,0.11171846985270145,-0.10988586275899632,-0.06988339516400928,-0.0023647729654525983,0.02325610500849342,0.008229237660217995,0.012272529682689003,0.11506370814755859,0.13901940484706776,-0.007597246594158017,-0.02214524115716765
3,0.01738056603680397,0.06830961370410317,-0.00875214531642095,-0.006446598269867962,0.1286891076256379,0.1783789026908497,-0.08908986330937801,-0.04912967045804154,-0.014135025584713466,0.02733259027482712,-0.040911761781664086,-0.02841597080147983,0.10521813842003908,0.121049681013963,-0.16215705529158936,-0.1024980385596107
1,-0.05715101921914823,0.006288266845354995,-0.04455629967873029,-0.004058909572115612,0.08027386784104731,0.10412743326549774,-0.16958348982913565,-0.07085646585797871,0.013894883756350963,0.023780860092235657,-0.002052118280933595,-0.032830055039873234,0.12682295898584844,0.1677443750870826,-0.053437504351738704,-0.03729763731200345
0,-0.015092730724943498,0.01657726770036509,-0.05574937540886907,-0.07486967200356145,0.10850946576703292,0.14124335757038795,-0.1590014641380057,-0.1320872275187468,0.00426877264575151,-0.008865155344179317,-0.020068209294838973,-0.056932055364992684,0.11028618600193277,0.09849568377908136,-0.08621000404832187,-0.09816119336334654
5,-0.015712666258898354,0.004167959950170249,-0.01583949919913405,-0.012726230337321868,0.11213156898771513,0.16235103112590799,-0.10678045029932327,-0.020472267828455015,-0.01683392639236318,-0.005364222703465838,-0.03251024515144771,-0.025497703830947346,0.1322196644438518,0.15237791845146564,-0.1178602102758773,-0.06722663958676227
4,-0.058910771074098645,-0.021796739100862994,-0.021200200101087977,-0.04900840735474073,0.09027233206638009,0.10949825309404178,-0.11166117592343332,-0.09608695697182075,-0.02073064198236289,0.01762405922207764,0.006970275904752724,0.033027711028792324,0.11081271033953129,0.15409312487879448,-0.08333355411309068,0.0328073596045935
6,0.024402848254587647,0.02636671281081388,-0.02546429024808863,-0.060146215418350975,0.13806660185791422,0.18295664894221542,-0.10621781568312846,-0.07282296742511314,-0.006100964352637824,0.006269298282600588,0.03571721870693777,0.018229263813400117,0.12622063216173326,0.17919847133187808,0.020632558332375477,0.047573942017724136
7,-0.016320884064664788,0.029544413946113762,-0.06354673905222863,-0.03400227603827344,0.08992832720124605,0.08502188641048335,-0.21611307512182149,-0.161438575071336,-0.035630232646370094,-0.043174850557940896,-0.049904662170747585,-0.05095044615332989,0.08317053710810143,0.08190005105359902,-0.1739033225149171,-0.11136271045684816
9,-0.037307185008478634,0.02306872561350008,0.012410218265518148,0.008701844795622173,0.09269886528199332,0.1644954550523179,-0.06228663851720976,0.0029596622341477863,-0.022975008956270537,-0.004025616301779378,-0.03210372684349853,-0.012472814975035173,0.12350851695039711,0.1517833731265191,-0.13286094934540438,-0.035810014981682604
8,-0.021826813232071772,0.03348584613608023,-0.034912225189683205,0.0011205890430893352,0.13131875002461332,0.19073705812658373,-0.12699255159491527,-0.014003480180656261,-0.008828352950936843,0.029253911800392142,-0.021359352749611354,0.013798715232579412,0.099289489729449,0.12078495965884897,-0.14415171020634673,-0.057922484793852834
10,-0.046110539757505946,-0.03840286996969521,-0.03642582700917582,-0.052332121499485934,0.10697367168099468,0.13645546625012472,-0.12846508450577507,-0.06653850087830693,0.05940120517777137,0.01761485135568334,-0.011402425457461514,-0.026982812159022904,0.11584742787962529,0.09774075475957271,-0.08820522785018482,-0.09861811197072239
11,-0.08482122727140104,-0.0541525312641286,-0.03615925121223348,-0.054372969561980185,0.07940081394166196,0.10103149773834448,-0.15243153381289337,-0.0923094840101752,-0.019949872975703612,0.004210294044971744,0.022232113849655042,0.013791445901946616,0.13793205192134717,0.1870817631531771,0.00014926925216840914,0.010265114884922951
13,-0.08322828206930738,-0.051629018032088164,-0.043660952491703056,-0.051985293347825805,0.06917276554231154,0.07663578295571531,-0.15994284283038615,-0.1227728546900387,-0.010401265691759207,0.020730856499332838,-0.0156268739601032,-0.01601984933720552,0.11577567202385104,0.12852106245296485,-0.08937608890675264,-0.06169411199778885
12,-0.08865712356187962,-0.05568535126788842,0.006402081571592312,0.005575941289343709,0.07524739935898317,0.0924339452178131,-0.06941840064863959,-0.021527207620419448,0.04016388330594275,0.030227167190256067,-0.011308124797497633,-0.05020281054942544,0.15424801496317436,0.19903855073426602,-0.08917301519116194,-0.0313648426944414
14,-0.09039961264624004,-0.013373261792762874,-0.005332730797819972,0.005400659858931506,0.09408381310236225,0.16156790014808467,-0.09393160171353307,0.004888747635218922,-0.016284763328850236,0.005740284636922295,0.024143394128910946,0.006909476998011577,0.14248277978894264,0.19080173200009615,-0.021043213541860364,0.01670821887388781
15,-0.009765886286869857,0.0034884386226519976,-0.01937868419894129,-0.009285004128413255,0.132188556758732,0.1584223032526982,-0.1487743039363534,-0.0770176961327178,-0.001652188863623054,-0.015358880185386706,-0.12301999854845685,-0.05615975814838805,0.10028818070506565,0.09149395664479856,-0.2744462961605187,-0.1241241025288945
17,-0.0014676565325596003,0.022603459289997335,0.01928762433527288,0.020555317113052616,0.1189229615465414,0.14893988571930528,-0.025466252505637228,-0.006325598249115383,-0.005487593111503175,0.02847501808874641,-0.030504446790032606,-0.02932807440406159,0.1148005088257174,0.11199873054972065,-0.12595651634406585,-0.12445413209773766
18,-0.006632960353639513,-0.008175365882968699,-0.0017033184742311902,-0.02093045029748406,0.11272210219973736,0.11961188079647594,-0.006074031833759546,-0.028742392314472176,-0.0038037378220441786,0.031036167261666737,-0.021565609121847375,-0.01426296817553791,0.13193881196084628,0.17237425503854784,-0.10362850014090745,-0.043721981017260436
