check,statistic,value,target,ok,note
R8 P without W_R,plain mean sigma*_b,0.691146,,,"budgets 0.707, 0.732, 0.804, 0.692, 0.777, 0.721, 0.574, 0.627, 0.587; P (with W_R) plain mean 0.6909"
R9 fixed windows,"T4: DL mean over budgets (sigma scale), current windows held fixed",0.668155,,,
R9 fixed windows,"ra1: DL mean over budgets (sigma scale), current windows held fixed",0.678039,,,
R9 fixed windows,"NF_T4: plain mean sigma*_b, own windows",0.659702,,,
R9 fixed windows,"T_ra1: plain mean sigma*_b, own windows",0.674779,,,
R9 fixed windows,"T4: plain mean sigma*_b, current windows",0.664861,,,
R9 fixed windows,"ra1: plain mean sigma*_b, current windows",0.674779,,,
R10 executed count with relative-position attention,mechanical: plain mean sigma*_b,0.649349,,,F/(6T) over profile models 1.09-1.60; count X plain mean 0.6541
R10 executed count with relative-position attention,own isocosts (kappa surface): plain mean sigma*_b,0.663774,,,count X own isocosts plain mean 0.6614
R1 ra1 grid,"T, 137 runs: max |diff| sigma_re vs ra1 (12 of 12 specs)",0,0,True,ra1_modelfree_isoflop_sens.csv
R11 count-free N_F = C_b/(6 D_dig),"RE sigma* (137 runs, ra1's estimator and seed)",0.676048,,,RE 0.6760 (0.0207); FE 0.6816; drift -0.0528; Q 11.3 (boot p 0.124); N_F (T4) primary 0.6596
R11 count-free N_F = C_b/(6 D_dig),"errors-in-x simulation: mean plain-mean sigma*_b, T4 x + N(0, s_u)",0.66685,,,"s_u 0.0375 ln (within-budget s.d. of the T4 coordinate residual); 200 draws, s.d. 0.0074; plain means: T4 0.6597, count-free 0.6700; share of draws >= count-free 0.315"
R12 T4-consistent profile membership,"RE sigma*, N_F (147 runs)",0.668447,,,"RE 0.6684 (0.0270); FE 0.6985; drift -0.0707; Q 23.9 (boot p 0.002); offset -0.0037 dex; 14 runs enter, 4 leave; 137-run value 0.6596"
R12 T4-consistent profile membership,"RE sigma*, T (147 runs)",0.677969,,,"RE 0.6780 (0.0278); FE 0.7086; drift -0.0666; Q 24.2 (boot p 0.002); offset -0.0037 dex; 14 runs enter, 4 leave; 137-run value 0.6735"
R13 five highest-loss runs dropped,"RE sigma*, N_F (132 runs)",0.681247,,,RE 0.6812 (0.0198); FE 0.6836; drift -0.0440; Q 11.0 (boot p 0.182); 137-run value 0.6596
R13 five highest-loss runs dropped,"RE sigma*, T (132 runs)",0.673639,,,RE 0.6736 (0.0252); FE 0.6819; drift -0.0575; Q 16.7 (boot p 0.028); 137-run value 0.6735
R14 rb1 symwin,T: max |diff| drift vs rb1 (32 rows),4.96152e-08,0,True,rb1_sigmaC_driftmc_symwin.csv (%.6g)
"R14 rb1 symwin, Chinchilla + Llama 3 (design FE, OLS)","T: drift, primary windows",-0.0509049,,,symmetric -0.0540 (0.0247); power -0.0500 (0.0162); symmetric+power -0.0531 (0.0245)
"R14 rb1 symwin, Chinchilla + Llama 3 (design FE, OLS)","N_F (T4): drift, primary windows",-0.0499614,,,symmetric -0.0644 (0.0234); power -0.0492 (0.0145); symmetric+power -0.0636 (0.0231)
Grid (ra1's 12 specifications; k >= 8 budgets),"T, 137 runs: min RE sigma*",0.664909,,,max 0.7135; 11 specifications; without h = 0.6: 0.6649-0.7135
Grid (ra1's 12 specifications; k >= 8 budgets),"N_F (T4), 137 runs: min RE sigma*",0.656458,,,max 0.7022; 11 specifications; without h = 0.6: 0.6565-0.7022
Grid (ra1's 12 specifications; k >= 8 budgets),"N_F minus T, 137 runs: median",-0.0119051,,,range -0.0180 to -0.0085; negative in 11 of 11 (specifications with >= 8 budgets in both)
Grid (ra1's 12 specifications; k >= 8 budgets),"T, 132 runs: min RE sigma*",0.670618,,,max 0.7140; 11 specifications; without h = 0.6: 0.6706-0.7140
Grid (ra1's 12 specifications; k >= 8 budgets),"N_F (T4), 132 runs: min RE sigma*",0.595806,,,max 0.6981; 12 specifications; without h = 0.6: 0.6566-0.6981
Grid (ra1's 12 specifications; k >= 8 budgets),"N_F minus T, 132 runs: median",-0.00913402,,,range -0.0238 to +0.0037; negative in 8 of 11 (specifications with >= 8 budgets in both)
