variant,label,budget_C,nwin,nleft,nright,Nstar,Mstar,curv,slope,S,sigma,se_sigma,lo_sigma,hi_sigma,weight,sigma_current,se_current,delta_vs_current
NF_A|corr|slope,"N_F (A), runs moved to exact A-isocosts (budgets in T4) [first-order correction, point estimate]",3e+21,8,3,5,4.48392e+09,,0.125537,-0.0830202,1.51212,0.569456,,,,,0.578771,0.0542605,-0.00931504
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",6e+18,9,4,5,2.44028e+08,,0.261568,-0.239056,1.09417,0.646377,,,,,0.670204,0.0659524,-0.0238277
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",1e+19,14,6,8,3.36431e+08,,0.183442,-0.215037,0.853071,0.700999,,,,,0.703629,0.062629,-0.00263004
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",3e+19,14,3,11,6.39114e+08,,0.137801,-0.173068,0.796229,0.715249,,,,,0.791017,0.0531528,-0.0757677
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",6e+19,14,7,7,9.03548e+08,,0.167729,-0.151459,1.10743,0.643619,,,,,0.672429,0.0447673,-0.0288094
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",1e+20,15,7,8,1.17249e+09,,0.11571,-0.138199,0.837275,0.704902,,,,,0.76411,0.0594352,-0.059208
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",3e+20,10,6,4,1.95095e+09,,0.103806,-0.113805,0.912137,0.686781,,,,,0.711619,0.0731896,-0.0248378
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",6e+20,10,5,5,2.33618e+09,,0.10684,-0.102174,1.04567,0.656669,,,,,0.564433,0.0539698,0.0922357
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",1e+21,14,10,4,2.93303e+09,,0.126224,-0.0945808,1.33456,0.599778,,,,,0.616797,0.0381329,-0.0170182
NF_X|corr|slope,"N_F (X), runs moved to exact X-isocosts (budgets in T4) [first-order correction, point estimate]",3e+21,8,3,5,4.34585e+09,,0.122262,-0.0819788,1.49138,0.572839,,,,,0.578771,0.0542605,-0.00593179
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",6e+18,9,3,6,1.87237e+08,,0.235089,-0.213687,1.10016,0.645129,,,,,0.670204,0.0659524,-0.0250754
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",1e+19,13,4,9,2.58664e+08,,0.178051,-0.195122,0.912512,0.686692,,,,,0.703629,0.062629,-0.0169366
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",3e+19,13,3,10,4.73029e+08,,0.0860706,-0.162253,0.530473,0.790366,,,,,0.791017,0.0531528,-0.000650659
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",6e+19,14,7,7,7.65129e+08,,0.152001,-0.144294,1.05341,0.655006,,,,,0.672429,0.0447673,-0.017423
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",1e+20,14,5,9,1.01365e+09,,0.085237,-0.133157,0.640125,0.75754,,,,,0.76411,0.0594352,-0.00656991
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",3e+20,9,5,4,1.73389e+09,,0.0820357,-0.111257,0.737351,0.730633,,,,,0.711619,0.0731896,0.0190146
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",6e+20,9,5,4,2.07052e+09,,0.156217,-0.0998962,1.5638,0.561199,,,,,0.564433,0.0539698,-0.00323417
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",1e+21,14,10,4,2.72782e+09,,0.118396,-0.0924244,1.281,0.60957,,,,,0.616797,0.0381329,-0.00722699
T|corr|slope,"T, runs moved to exact 6TD isocosts (budgets in T4) [first-order correction, point estimate]",3e+21,8,3,5,4.11642e+09,,0.113972,-0.0784602,1.45261,0.579272,,,,,0.578771,0.0542605,0.00050137
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",6e+18,9,2,7,1.37578e+08,,0.183243,-0.196919,0.930552,0.682465,,,,,0.670204,0.0659524,0.0122611
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",1e+19,13,4,9,1.99805e+08,,0.145709,-0.181503,0.802791,0.713575,,,,,0.703629,0.062629,0.00994554
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",6e+19,14,7,7,6.77927e+08,,0.133861,-0.137959,0.970294,0.673334,,,,,0.672429,0.0447673,0.000905383
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",1e+20,13,5,8,8.64485e+08,,0.105947,-0.127994,0.827746,0.707277,,,,,0.76411,0.0594352,-0.0568327
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",3e+20,9,5,4,1.60028e+09,,0.0777295,-0.108459,0.716669,0.736196,,,,,0.711619,0.0731896,0.024577
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",6e+20,9,5,4,1.95972e+09,,0.148692,-0.0980367,1.51669,0.568716,,,,,0.564433,0.0539698,0.0042827
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",1e+21,14,10,4,2.58881e+09,,0.111826,-0.0911022,1.22748,0.619679,,,,,0.616797,0.0381329,0.00288285
P|corr|slope,"P, runs moved to exact 6PD isocosts (budgets in T4) [first-order correction, point estimate]",3e+21,8,3,5,3.97539e+09,,0.110751,-0.0778006,1.42353,0.584193,,,,,0.578771,0.0542605,0.0054218
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",6e+18,9,3,6,1.90017e+08,,0.197658,-0.230948,0.855852,0.700316,,,,,0.670204,0.0659524,0.0301121
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",1e+19,13,4,9,2.8422e+08,,0.165668,-0.209282,0.791601,0.716435,,,,,0.703629,0.062629,0.0128057
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",3e+19,14,3,11,5.93301e+08,,0.127577,-0.170793,0.746967,0.728076,,,,,0.791017,0.0531528,-0.0629409
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",6e+19,14,7,7,8.42978e+08,,0.14124,-0.150581,0.937963,0.680744,,,,,0.672429,0.0447673,0.00831505
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",1e+20,14,7,7,1.14229e+09,,0.0871082,-0.138035,0.631061,0.76015,,,,,0.76411,0.0594352,-0.00396006
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",3e+20,10,6,4,1.89418e+09,,0.102358,-0.114263,0.89581,0.690653,,,,,0.711619,0.0731896,-0.0209656
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",6e+20,10,5,5,2.25493e+09,,0.101753,-0.102625,0.9915,0.668561,,,,,0.564433,0.0539698,0.104128
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",1e+21,14,10,4,2.83783e+09,,0.117075,-0.0948308,1.23457,0.61832,,,,,0.616797,0.0381329,0.00152326
NF_T4|6ND|slope,"N_F (T4) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",3e+21,8,3,5,4.27845e+09,,0.119157,-0.0811984,1.46748,0.576787,,,,,0.578771,0.0542605,-0.00198366
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",6e+18,9,4,5,2.8611e+08,,0.283428,-0.260512,1.08796,0.647676,,,,,0.670204,0.0659524,-0.0225279
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",1e+19,15,6,9,3.98829e+08,,0.187241,-0.232178,0.806454,0.712643,,,,,0.703629,0.062629,0.00901398
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",3e+19,15,5,10,7.46258e+08,,0.162158,-0.183014,0.88604,0.692991,,,,,0.791017,0.0531528,-0.0980257
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",6e+19,14,8,6,1.01122e+09,,0.175365,-0.158434,1.10687,0.643735,,,,,0.672429,0.0447673,-0.0286934
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",1e+20,15,8,7,1.31461e+09,,0.124865,-0.143447,0.870457,0.696753,,,,,0.76411,0.0594352,-0.0673566
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",3e+20,10,6,4,2.13527e+09,,0.112024,-0.116646,0.960375,0.67559,,,,,0.711619,0.0731896,-0.0360287
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",6e+20,10,5,5,2.51335e+09,,0.110956,-0.104285,1.06396,0.652749,,,,,0.564433,0.0539698,0.0883157
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",1e+21,15,11,4,3.20335e+09,,0.106503,-0.0964996,1.10366,0.644401,,,,,0.616797,0.0381329,0.027604
NF_A|6ND|slope,"N_F (A) if tokens had been set by D = C_b/(6T) (rejected by coords test) [first-order correction, point estimate]",3e+21,8,3,5,4.55819e+09,,0.125786,-0.0840824,1.49599,0.572084,,,,,0.578771,0.0542605,-0.00668683
