variant,label,budget_C,nwin,nleft,nright,Nstar,Mstar,curv,slope,S,sigma,se_sigma,lo_sigma,hi_sigma,weight,sigma_current,se_current,delta_vs_current
NF_A,"N_F, Appendix F as printed (A); runs at nominal budgets",3e+21,8,3,5,4.40756e+09,25.7379,0.124339,-0.0793327,1.56731,0.560646,0.0547458,0.467167,0.673342,0.025692,0.578771,0.0542605,-0.0181249
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",6e+18,9,3,6,2.2558e+08,19.6517,0.247158,-0.222143,1.11261,0.642548,0.0660057,0.555172,0.788854,0.0402652,0.670204,0.0659524,-0.0276562
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",1e+19,14,4,10,3.11995e+08,17.1219,0.175216,-0.202397,0.865703,0.697909,0.0570652,0.589372,0.806406,0.0872852,0.703629,0.062629,-0.00572003
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",3e+19,14,3,11,6.0813e+08,13.52,0.134815,-0.166868,0.807915,0.712272,0.0467664,0.629788,0.80846,0.14346,0.791017,0.0531528,-0.0787445
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",6e+19,15,8,7,8.66811e+08,13.3092,0.150352,-0.147914,1.01648,0.663024,0.0384708,0.602429,0.776599,0.349547,0.672429,0.0447673,-0.00940451
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",1e+20,14,7,7,1.15867e+09,12.4144,0.0939272,-0.13602,0.690541,0.743345,0.0612837,0.651268,0.865328,0.0751552,0.76411,0.0594352,-0.0207649
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",3e+20,10,5,5,1.904e+09,13.7922,0.103077,-0.11298,0.912351,0.68673,0.0572705,0.589279,0.811061,0.100074,0.711619,0.0731896,-0.0248883
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",6e+20,10,6,4,2.17976e+09,21.0466,0.149281,-0.101233,1.47463,0.575601,0.0496374,0.487297,0.674477,0.0607851,0.564433,0.0539698,0.0111681
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",1e+21,14,10,4,2.88974e+09,19.9586,0.124517,-0.09344,1.33259,0.600134,0.0386018,0.534687,0.683471,0.113644,0.616797,0.0381329,-0.016663
NF_X,"N_F, executed FLOPs (X); runs at nominal budgets",3e+21,8,3,5,4.30731e+09,26.9499,0.121659,-0.079098,1.53809,0.565278,0.0547107,0.471434,0.677679,0.0297843,0.578771,0.0542605,-0.0134935
T,"T, total parameters (architecture count)",6e+18,9,3,6,1.82825e+08,29.9178,0.217148,-0.22077,0.983593,0.670333,0.0649178,0.584092,0.813871,0.0594837,0.670204,0.0659524,0.000128439
T,"T, total parameters (architecture count)",1e+19,13,4,9,2.61554e+08,24.3628,0.169584,-0.201421,0.841935,0.703746,0.0616721,0.607947,0.830522,0.077897,0.703629,0.062629,0.000116797
T,"T, total parameters (architecture count)",3e+19,13,3,10,5.10514e+08,19.1847,0.0881479,-0.166912,0.52811,0.791105,0.054153,0.706549,0.914365,0.217182,0.791017,0.0531528,8.82088e-05
T,"T, total parameters (architecture count)",6e+19,14,7,7,7.85153e+08,16.2215,0.144206,-0.148067,0.97392,0.672513,0.0458164,0.591446,0.776969,0.156469,0.672429,0.0447673,8.45089e-05
T,"T, total parameters (architecture count)",1e+20,14,7,7,1.05729e+09,14.9094,0.0841388,-0.136319,0.617218,0.76417,0.0599469,0.679599,0.890609,0.107176,0.76411,0.0594352,6.03114e-05
T,"T, total parameters (architecture count)",3e+20,10,5,5,1.76999e+09,15.9599,0.0917761,-0.113272,0.810228,0.711686,0.0740964,0.570584,0.866955,0.0963157,0.711619,0.0731896,6.72019e-05
