allocation,rule,param,gamma_true,slope_formula,slope_sim,slope_sim_se,diff,slope_formula_sample_moments,misallocation_term,sd_Delta,lnl_slope_formula,lnl_slope_sim,finite_mean,finite_sd,finite_cover_true_gamma,gamma_reverse,brackets_gamma,resid_sd_sim,resid_sd_formula,true_sd_omega_plus_eps
on expansion path (T=0),exog,0.0,0.1782864910313901,0.1782864910313901,0.1781237287117359,0.0002546130321929,-0.0001627623196542,0.1781509140966032,-2.163552488830255e-17,5.848985243277724e-16,-0.1782864910313901,-0.1781237287117359,0.1785878555795477,0.016714404481735,0.9455,0.5420705785786508,True,0.2549044422815166,0.2549509756796392,0.2549509756796392
on expansion path (T=0),funding,0.5,0.1782864910313901,0.2090557218006209,0.209480073233263,0.0002516807860466,0.0004243514326421,0.2094973093690663,-2.119571783259003e-17,5.852365871850823e-16,-0.2090557218006209,-0.209480073233263,0.2091518561346435,0.0165285968099392,0.526,0.5118619808580568,False,0.253309068044206,0.253058217686092,0.2549509756796392
on expansion path (T=0),funding,1.0,0.1782864910313901,0.2371100204431548,0.2369971881650498,0.0002403189201317,-0.000112832278105,0.2370457062349499,-2.205720959510225e-17,5.856168282747457e-16,-0.2371100204431548,-0.2369971881650498,0.2373505051041025,0.0154311740013111,0.0385,0.4806834293113612,False,0.2475959257176871,0.2476358807034326,0.2549509756796392
on expansion path (T=0),funding,2.0,0.1782864910313901,0.2782864910313901,0.2782131064420379,0.0002051019109181,-7.338458935224335e-05,0.2782158986673052,-2.0864191132529424e-17,5.855289573889904e-16,-0.2782864910313901,-0.2782131064420379,0.2784603798796446,0.0131243152178333,0.0,0.4294158689482253,False,0.2292178118240783,0.229128784747792,0.2549509756796392
on expansion path (T=0),funding,4.0,0.1782864910313901,0.3032864910313901,0.3033891142557953,0.0001298629755234,0.0001026232244051,0.3034192371684195,-2.182099688375633e-17,5.858510227150863e-16,-0.3032864910313901,-0.3033891142557953,0.3031591233431792,0.0085057275489523,0.0,0.3589753201586257,False,0.183534767929784,0.1837117307087383,0.2549509756796392
on expansion path (T=0),predet,1.0,0.1782864910313901,0.2253453145608019,0.2253592484101648,0.0002430325444308,1.3933849362879336e-05,0.225401114094714,-2.135865528691936e-17,5.85147614875338e-16,-0.2253453145608019,-0.2253592484101648,0.2251327945406995,0.0156108407290511,0.157,0.4874500660185301,False,0.2504123509258169,0.250293944839921,0.2549509756796392
on expansion path (T=0),predet,2.0,0.1782864910313901,0.2582864910313902,0.2582189584353533,0.0002139428761113,-6.753259603681228e-05,0.2581853030231569,-2.1709568482207117e-17,5.85452910698243e-16,-0.2582864910313902,-0.2582189584353533,0.2580401988115393,0.0141560515169404,0.0,0.4354768581827671,False,0.2387891844313574,0.2387467277262664,0.2549509756796392
on expansion path (T=0),predet,4.0,0.1782864910313901,0.2782864910313901,0.2782722406746418,0.0001497631931239,-1.4250356748291004e-05,0.2782455422888851,-2.138454434925541e-17,5.8596406755185145e-16,-0.2782864910313901,-0.2782722406746418,0.2782908121981465,0.0096624845799797,0.0,0.3588726959621636,False,0.2119150577763371,0.2121320343559642,0.2549509756796392
on expansion path (T=0),target,0.0,0.1782864910313901,0.0,-4.123683397269105e-05,3.5646311484006737e-05,-4.123683397269105e-05,3.6082248300317592e-16,-1.0714180530297507e-17,4.585064891545589e-16,-0.0,4.123683397269105e-05,2.723834376298593e-05,0.0022830761137623,0.0,-30.813651012952608,False,0.0499806676144746,0.05,0.2549509756796392
on expansion path (T=0),target,0.05,0.1782864910313901,0.0068571727319765,0.0068351061243554,4.8982759143783e-05,-2.2066607621033622e-05,0.0068821544806064,-1.1073829733367941e-17,4.582525025524872e-16,-0.0068571727319765,-0.0068351061243554,0.0067890009114126,0.0031007568701082,0.0,0.3578616161799172,True,0.0700224518721,0.0700274671385889,0.2549509756796392
on expansion path (T=0),target,0.1,0.1782864910313901,0.0245912401422607,0.0245501796408783,6.97852082082193e-05,-4.106050138238254e-05,0.0245454153636597,-1.1650501776668896e-17,4.583397304667489e-16,-0.0245912401422607,-0.0245501796408783,0.0245712709220446,0.0045521797562507,0.0,0.2229177738204381,True,0.1053513453542027,0.1054546805749864,0.2549509756796392
on expansion path (T=0),target,0.25,0.1782864910313901,0.089143245515695,0.0892175330001915,9.27901954211618e-05,7.428748449642142e-05,0.0892181333873045,-1.568537603607857e-17,4.600103010290407e-16,-0.089143245515695,-0.0892175330001915,0.0890379845477548,0.0059727774157642,0.0,0.1857230772239582,True,0.1837045434896528,0.1837117307087383,0.2549509756796392
