allocation,rule,param,gamma_true,slope_formula,slope_sim,slope_sim_se,diff,slope_formula_sample_moments,misallocation_term,sd_Delta,lnl_slope_formula,lnl_slope_sim,finite_mean,finite_sd,finite_cover_true_gamma,gamma_reverse,brackets_gamma,resid_sd_sim,resid_sd_formula,true_sd_omega_plus_eps
lifetime-optimal (T>0) + error,exog,0.0,0.1782864910313901,0.1782864910313901,0.1784257710040194,0.0004671741289226,0.0001392799726292,0.1785256271371296,5.561495488743486e-05,0.0254425580550553,-0.1782864910313901,-0.1784257710040194,,,,0.5453836312908382,False,0.2556225855893492,0.2549509756796392,0.2549509756796392
lifetime-optimal (T>0) + error,funding,0.5,0.1782864910313901,0.2090557218006209,0.2099050814200589,0.0004609538757596,0.000849359619438,0.2098465127965514,-4.528866027020869e-05,0.0253546546855749,-0.2090557218006209,-0.2099050814200589,,,,0.513579284735951,False,0.2544051551257336,0.253058217686092,0.2549509756796392
lifetime-optimal (T>0) + error,funding,1.0,0.1782864910313901,0.2371100204431548,0.2370222465303928,0.0004411058951081,-8.777391276204582e-05,0.237130523249693,-3.0341657030779985e-06,0.0253671980861618,-0.2371100204431548,-0.2370222465303928,,,,0.4832925991117467,False,0.2489699868518567,0.2476358807034326,0.2549509756796392
lifetime-optimal (T>0) + error,funding,2.0,0.1782864910313901,0.2782864910313901,0.2783639489779582,0.0003764705652035,7.745794656810467e-05,0.2784280898731975,1.80802622729674e-05,0.0253096886152661,-0.2782864910313901,-0.2783639489779582,,,,0.431107659569491,False,0.2305768521303536,0.229128784747792,0.2549509756796392
lifetime-optimal (T>0) + error,funding,4.0,0.1782864910313901,0.3032864910313901,0.3032290821961647,0.0002394328405921,-5.74088352254809e-05,0.3032022613652863,1.8432930986063536e-05,0.0254678825729191,-0.3032864910313901,-0.3032290821961647,,,,0.359945103446024,False,0.1855436127714423,0.1837117307087383,0.2549509756796392
lifetime-optimal (T>0) + error,predet,1.0,0.1782864910313901,0.2253453145608019,0.2256618489082842,0.00044444803311,0.0003165343474822,0.2255988935011714,-6.465019271521525e-05,0.0254504906992993,-0.2253453145608019,-0.2256618489082842,,,,0.4882647398366184,False,0.2511017704256862,0.250293944839921,0.2549509756796392
lifetime-optimal (T>0) + error,predet,2.0,0.1782864910313901,0.2582864910313902,0.2586197874158787,0.0003920105463127,0.0003332963844885,0.2584930414427021,-5.551589259232096e-06,0.0252647271096044,-0.2582864910313902,-0.2586197874158787,,,,0.4368775960069028,False,0.2398497392744672,0.2387467277262664,0.2549509756796392
lifetime-optimal (T>0) + error,predet,4.0,0.1782864910313901,0.2782864910313901,0.2789451692099708,0.000276292367198,0.0006586781785806,0.2789188641682405,2.3103089277763417e-05,0.0254651127337471,-0.2782864910313901,-0.2789451692099708,,,,0.3610428564956153,False,0.2139763225826442,0.2121320343559642,0.2549509756796392
lifetime-optimal (T>0) + error,target,0.0,0.1782864910313901,0.0,-4.784130202654237e-05,6.498417277161169e-05,-4.784130202654237e-05,0.0018807762175885,-0.0018807762175883,0.0253092521167479,-0.0,4.784130202654237e-05,,,,-26.480726476108615,False,0.0500159033255928,0.05,0.2549509756796392
lifetime-optimal (T>0) + error,target,0.05,0.1782864910313901,0.0068571727319765,0.0067857779670326,8.869266585608885e-05,-7.139476494384591e-05,0.0085751333940834,-0.0017772900937897,0.0254402188491266,-0.0068571727319765,-0.0067857779670326,,,,0.3545562107544363,True,0.0699719114774551,0.0700274671385889,0.2549509756796392
lifetime-optimal (T>0) + error,target,0.1,0.1782864910313901,0.0245912401422607,0.024571688199181,0.0001266045007413,-1.955194307967298e-05,0.0260324364616526,-0.0015473264194647,0.0253637551925049,-0.0245912401422607,-0.024571688199181,,,,0.2202668209413094,True,0.1053404971826477,0.1054546805749864,0.2549509756796392
lifetime-optimal (T>0) + error,target,0.25,0.1782864910313901,0.089143245515695,0.0885722267010066,0.0001689154325769,-0.0005710188146883,0.0895355411764788,-0.0009341924590414,0.0252855572163405,-0.089143245515695,-0.0885722267010066,,,,0.1852121733343842,True,0.1837932431406688,0.1837117307087383,0.2549509756796392
