label,tech,spec,sigma_star,r_max,penalty_r4,shadow_rel_r4,penalty_r16,shadow_rel_r16,gamma_ratio_r16,sigma_CU_r4
"Chinchilla, $\kappa$ free (reference)",kq,D15,0.7005534249155089,83.3752050173351,0.0738288217945764,0.45448408539903856,0.6340953324595457,8.609881566444765,0.8046397613905539,0.4837574211962474
"Equivalent, $\sigma^*=0.60$",q60,D15,0.6,46.50645714293767,0.07715351095669631,0.5053912419237984,0.7676907940413487,13.805500616331418,0.7732012266515006,0.4739359803253668
"Equivalent, $\sigma^*=0.74$",q74,D15,0.74,118.5894689512766,0.07199706144002338,0.4283752787079017,0.5802020217220936,6.949813998982154,0.8186244341878578,0.4889460262735713
"Chinchilla refit, $\kappa=1$",k1,D15,0.7367885708471132,116.87620428371416,0.0721579835780648,0.43059112115854337,0.5842506436093364,7.061396120754675,0.8201678297845213,0.48852509467615013
"Reference, full model ($R^*_N=5.3$)",kq,DN,0.7005534249155089,9.499543723033682,0.4026933550143452,3.758146886134151,inf,,,0.4930651302334533
"Reference, data-only fit ($R^*_D=2.9$)",kq,D3,0.7005534249155089,19.92172023347059,0.39778555279946604,1.8349078883886065,50.76133203607973,117.85389168861454,0.5005921423688667,0.5333198090262349
