row,N_rep_M,d_model,ffw_size,kv_size,n_heads,n_layers,kvh,T,P,P_noWR,W_R,emb,T_err_rel,emb_share,WR_share,F_T4,NF_T4,r_T4,F_A,NF_A,r_A,F_X,NF_X,r_X,F_6T,NF_6T,r_6T,F_6P,NF_6P,r_6P,share_fwd_embeddings,share_fwd_attn_linear,share_fwd_attn_quadratic,share_fwd_softmax,share_fwd_dense,share_fwd_logits,n_profile_runs,n_offprofile_runs,max_abs_log_err,budgets
11,251,1024,4096,64,16,16,1024,250871808,218103808,201326592,16777216,32768000,-0.000510725,0.130617,0.0668757,1.61533e+09,2.69222e+08,1.07315,2.00855e+09,3.34758e+08,1.33438,1.81194e+09,3.0199e+08,1.20376,1.50523e+09,2.50872e+08,1,1.30862e+09,2.18104e+08,0.869383,0.0978857,0.20047,0.20047,0.00234926,0.40094,0.0978857,0,3,0.000275802,
12,278,1024,4096,64,16,18,1024,278134784,245366784,226492416,18874368,32768000,0.000484835,0.117813,0.0678605,1.81725e+09,3.02875e+08,1.08895,2.21046e+09,3.68411e+08,1.32458,2.01386e+09,3.35643e+08,1.20676,1.66881e+09,2.78135e+08,1,1.4722e+09,2.45367e+08,0.882187,0.0889442,0.204928,0.204928,0.00240149,0.409855,0.0889442,4,4,0.0012679,6e+18 1e+19 6e+19
13,306,1024,4096,64,16,20,1024,305397760,272629760,251658240,20971520,32768000,-0.0019681,0.107296,0.0686695,2.01916e+09,3.36527e+08,1.10193,2.41238e+09,4.02063e+08,1.31652,2.21577e+09,3.69295e+08,1.20923,1.83239e+09,3.05398e+08,1,1.63578e+09,2.7263e+08,0.892704,0.0814996,0.208639,0.208639,0.00244499,0.417278,0.0814996,3,4,0.00119122,1e+19 3e+19
14,425,1280,5120,128,10,18,1280,424345600,383385600,353894400,29491200,40960000,-0.00153976,0.0965251,0.0694981,2.69292e+09,4.48819e+08,1.05767,3.18444e+09,5.30739e+08,1.25072,2.93868e+09,4.89779e+08,1.1542,2.54607e+09,4.24346e+08,1,2.30031e+09,3.83386e+08,0.903475,0.0771754,0.222265,0.177812,0.00104187,0.44453,0.0771754,8,0,0.000919055,6e+18 1e+19 3e+19 6e+19 1e+20 3e+20
15,489,1280,5120,128,10,21,1280,488243200,447283200,412876800,34406400,40960000,-0.00154765,0.0838926,0.0704698,3.14173e+09,5.23622e+08,1.07246,3.63325e+09,6.05542e+08,1.24025,3.38749e+09,5.64582e+08,1.15635,2.92946e+09,4.88243e+08,1,2.6837e+09,4.47283e+08,0.916107,0.0676418,0.227277,0.181821,0.00106536,0.454553,0.0676418,0,4,0.000929392,
16,509,1408,5632,128,11,18,1408,508952576,463896576,428212224,35684352,45056000,-9.31709e-05,0.0885269,0.0701133,3.19578e+09,5.3263e+08,1.04652,3.73645e+09,6.22742e+08,1.22357,3.46611e+09,5.77686e+08,1.13505,3.05372e+09,5.08953e+08,1,2.78338e+09,4.63897e+08,0.911473,0.072351,0.229208,0.166697,0.000976739,0.458416,0.072351,0,2,0.000471842,
17,552,1280,5120,128,10,24,1280,552140800,511180800,471859200,39321600,40960000,0.000255072,0.074184,0.0712166,3.59055e+09,5.98426e+08,1.08383,4.08207e+09,6.80346e+08,1.2322,3.83631e+09,6.39386e+08,1.15801,3.31284e+09,5.52141e+08,1,3.06708e+09,5.11181e+08,0.925816,0.0602047,0.231186,0.184949,0.00108368,0.462372,0.0602047,4,4,0.000873269,6e+18 1e+19 3e+19 6e+19
18,587,1408,5632,128,11,21,1408,586268672,541212672,499580928,41631744,45056000,-0.00124587,0.0768521,0.0710114,3.72841e+09,6.21401e+08,1.05993,4.26908e+09,7.11513e+08,1.21363,3.99874e+09,6.66457e+08,1.13678,3.51761e+09,5.86269e+08,1,3.24728e+09,5.41213e+08,0.923148,0.0633242,0.234046,0.170215,0.000997356,0.468093,0.0633242,5,3,0.000684749,1e+19 3e+19 1e+20 3e+20
19,632,1536,6144,128,12,19,1536,631898112,582746112,537919488,44826624,49152000,-0.000161215,0.0777847,0.0709396,3.94895e+09,6.58158e+08,1.04156,4.53877e+09,7.56462e+08,1.19713,4.24386e+09,7.0731e+08,1.11934,3.79139e+09,6.31898e+08,1,3.49648e+09,5.82746e+08,0.922215,0.0649762,0.237033,0.158022,0.000925911,0.474066,0.0649762,7,1,0.000356448,1e+19 3e+19 6e+19 1e+20 6e+20
20,664,1408,5632,128,11,24,1408,663584768,618528768,570949632,47579136,45056000,-0.000625349,0.0678979,0.0717002,4.26104e+09,7.10173e+08,1.07021,4.80171e+09,8.00285e+08,1.206,4.53137e+09,7.55229e+08,1.1381,3.98151e+09,6.63585e+08,1,3.71117e+09,6.18529e+08,0.932102,0.0563,0.237811,0.172953,0.0010134,0.475622,0.0563,2,1,6.46663e-05,3e+19 6e+19
21,724,1536,6144,128,12,22,1536,723910656,674758656,622854144,51904512,49152000,-0.000123403,0.0678979,0.0717002,4.57246e+09,7.62077e+08,1.05272,5.16229e+09,8.60381e+08,1.18852,4.86738e+09,8.11229e+08,1.12062,4.34346e+09,7.23911e+08,1,4.04855e+09,6.74759e+08,0.932102,0.0571282,0.241309,0.160873,0.000942615,0.482619,0.0571282,1,2,0.000391769,6e+19
22,816,1536,6144,128,12,25,1536,815923200,766771200,707788800,58982400,49152000,-9.41176e-05,0.060241,0.0722892,5.19598e+09,8.65997e+08,1.06137,5.7858e+09,9.64301e+08,1.18185,5.49089e+09,9.15149e+08,1.12161,4.89554e+09,8.15923e+08,1,4.60063e+09,7.66771e+08,0.939759,0.0509716,0.244664,0.163109,0.000955718,0.489328,0.0509716,7,3,0.000420536,1e+19 3e+19 6e+19 1e+20 3e+20 6e+20
23,893,1792,7168,128,14,20,1792,892272640,834928640,770703360,64225280,57344000,-0.000814513,0.0642674,0.0719794,5.51018e+09,9.18364e+08,1.02924,6.19831e+09,1.03305e+09,1.15778,5.85425e+09,9.75708e+08,1.09351,5.35364e+09,8.92273e+08,1,5.00957e+09,8.34929e+08,0.935733,0.0555093,0.248682,0.142104,0.000832639,0.497363,0.0555093,0,3,0.0003737,
24,1018,1792,7168,128,14,23,1792,1017511936,960167936,886308864,73859072,57344000,-0.000479434,0.0563571,0.0725879,6.33671e+09,1.05612e+09,1.03794,7.02484e+09,1.17081e+09,1.15066,6.68078e+09,1.11346e+09,1.0943,6.10507e+09,1.01751e+09,1,5.76101e+09,9.60168e+08,0.943643,0.0489782,0.252336,0.144192,0.000844874,0.504671,0.0489782,5,2,4.03499e-05,1e+19 3e+19 6e+19 1e+20
25,1143,1792,7168,128,14,26,1792,1142751232,1085407232,1001914368,83492864,57344000,-0.000217645,0.0501807,0.073063,7.16324e+09,1.19387e+09,1.04474,7.85137e+09,1.30856e+09,1.1451,7.5073e+09,1.25122e+09,1.09492,6.85651e+09,1.14275e+09,1,6.51244e+09,1.08541e+09,0.949819,0.0438222,0.25522,0.14584,0.000854532,0.510441,0.0438222,7,3,0.000222535,1e+19 3e+19 6e+19 1e+20 3e+20 6e+20
26,1266,2048,8192,128,16,22,2048,1265106944,1199570944,1107296256,92274688,65536000,-0.000705415,0.0518027,0.0729383,7.75756e+09,1.29293e+09,1.02199,8.54399e+09,1.424e+09,1.1256,8.15078e+09,1.35846e+09,1.07379,7.59064e+09,1.26511e+09,1,7.19743e+09,1.19957e+09,0.948197,0.0460225,0.259199,0.129599,0.000759371,0.518397,0.0460225,7,3,0.000321435,1e+19 3e+19 6e+19 1e+20 3e+20 6e+20 1e+21
27,1424,2176,8704,128,17,22,2176,1423835136,1354203136,1250033664,104169472,69632000,-0.000115775,0.0489045,0.0731612,8.6836e+09,1.44727e+09,1.01646,9.51918e+09,1.58653e+09,1.11427,9.10139e+09,1.5169e+09,1.06536,8.54301e+09,1.42384e+09,1,8.12522e+09,1.3542e+09,0.951095,0.0438895,0.262635,0.123593,0.000724177,0.525269,0.0438895,0,3,0.00024696,
