dist,sigma_v,sv,g0,g0_se,g_n,g_n_se,g_d,g_d_se,g0_cse,g_n_cse,g_d_cse,nll,n,converged,mean_abs_dev_frontier,max_abs_dev_frontier
halfnormal,estimated,8.2445261190114e-07,-3.306151930601623,0.01699207988863277,-0.0378657309306707,0.03681052612991684,-0.2310574953123806,0.019721469272039754,0.03364896548684988,0.07557477115158162,0.03155711134359077,-4462.847568910816,1730,True,2.7528738363379127e-06,2.9973033737196175e-06
halfnormal,calibrated 0.0017,0.0016967344374613294,-3.3070837150006005,0.017527856608621523,-0.014041053088990167,0.038196429480248144,-0.22947597788574026,0.02020661322321812,,,,-4423.459345313476,1730,True,0.0004269186882364237,0.0015588828813805078
exponential,estimated,0.0006969873203295638,-3.6754772870302004,0.025169774685731627,-0.06280252942953428,0.05268186976408414,-0.2600018280065504,0.0275016383483246,0.02882593727411966,0.07046540583955777,0.023011881110240842,-4584.998329474256,1730,True,0.0004336624473368323,0.0010542711920418224
exponential,calibrated 0.0017,0.0016967344374613294,-3.7025518399581903,0.024966576496785967,-0.05605115494989216,0.05389970648208644,-0.26171842830367703,0.028152579247554887,,,,-4575.7378654900895,1730,True,0.0011032137899076376,0.0022228406160886838
cell-level OLS of ln mean iota,--,,-3.6787230254112586,0.03703295671007857,-0.13371493682513966,0.10807875498063577,-0.26589146275526804,0.028122168508083016,,,,,17,,,
