sigma,gC,start,year_unique,year_effective,mD_today
0.6,epoch,2024.5051334702257,2026.2728444794182,2027.2665888668816,3.512634583726488
0.6,hat,2024.5051334702257,2026.2728444794182,2027.2257307622476,3.512634583726488
0.7,epoch,2024.5051334702257,2025.9643893754198,2026.752522282988,6.233776642021586
0.7,hat,2024.5051334702257,2025.9643893754198,2026.751002644199,6.233776642021586
0.74,epoch,2024.5051334702257,2025.8228876512358,2026.5332242824475,8.872679306282713
0.74,hat,2024.5051334702257,2025.8228876512358,2026.5332242824475,8.872679306282713
