tech,sigma_star,w_label,w,s,data_multiple,M_multiple
k1,0.7367885708471132,1.5,1.5,0.3333333333333333,1.763842139441746,3.111139092870436
k1,0.7367885708471132,2,2.0,0.5,2.6383090302073295,6.96067453887354
k1,0.7367885708471132,3,3.0,0.6666666666666666,4.653560644349374,21.655626670637364
k1,0.7367885708471132,4,4.0,0.75,6.96067453887354,48.45099003612236
k1,0.7367885708471132,5,5.0,0.8,9.512351636998012,90.48483366589876
k1,0.7367885708471132,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,2.9229795167448938,8.543809255310213
k1,0.7367885708471132,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,10.946698757816657,119.83021369438474
kq,0.7005534249155089,1.5,1.5,0.3333333333333333,1.6068754292659542,2.5820486451786446
kq,0.7005534249155089,2,2.0,0.5,2.249722303155858,5.061250441316898
kq,0.7005534249155089,3,3.0,0.6666666666666666,3.61502349161276,13.068394844912111
kq,0.7005534249155089,4,4.0,0.75,5.061250441316898,25.616256029730494
kq,0.7005534249155089,5,5.0,0.8,6.570796513443978,43.175366821087536
kq,0.7005534249155089,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,2.4508713315526616,6.006770283826716
kq,0.7005534249155089,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,7.389170414916572,54.59983942067835
e70,0.7,1.5,1.5,0.3333333333333333,1.6048697909004943,2.5756070457449964
e70,0.7,2,2.0,0.5,2.2449240966187456,5.039684199579491
e70,0.7,3,3.0,0.6666666666666666,3.6028108655280078,12.980246132766673
e70,0.7,4,4.0,0.75,5.039684199579492,25.398416831491183
e70,0.7,5,5.0,0.8,6.538302430059152,42.74939866691741
e70,0.7,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,2.4450926709867775,5.978478169713254
e70,0.7,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,7.35035697753729,54.02774769723112
e60,0.6,1.5,1.5,0.3333333333333333,1.3554030054147672,1.8371173070873834
e60,0.6,2,2.0,0.5,1.681792830507429,2.82842712474619
e60,0.6,3,3.0,0.6666666666666666,2.2795070569547775,5.196152422706631
e60,0.6,4,4.0,0.75,2.82842712474619,7.999999999999998
e60,0.6,5,5.0,0.8,3.3437015248821096,11.180339887498945
e60,0.6,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,1.7767176738413175,3.1567256925401024
e60,0.6,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,3.605060547370043,12.996461550203994
e51,0.51,1.5,1.5,0.3333333333333333,1.2349214343911317,1.5250309491186502
e51,0.51,2,2.0,0.5,1.4343609960371047,2.057391466952555
e51,0.51,3,3.0,0.6666666666666666,1.7713231386608337,3.137585661555267
e51,0.51,4,4.0,0.75,2.057391466952555,4.232859648289185
e51,0.51,5,5.0,0.8,2.310732624927489,5.339485263904284
e51,0.51,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,1.4900629618487637,2.22028763027351
e51,0.51,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,2.434608452336834,5.927318316189955
e65,0.65,1.5,1.5,0.3333333333333333,1.4571803694909806,2.123374629229871
e65,0.65,2,2.0,0.5,1.9033903060212394,3.6228946570556273
e65,0.65,3,3.0,0.6666666666666666,2.77358298941358,7.6927625991643716
e65,0.65,4,4.0,0.75,3.6228946570556273,13.125365696122211
e65,0.65,5,5.0,0.8,4.457009660921358,19.864935117546317
e65,0.65,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,2.0372830890321625,4.15052238485643
e65,0.65,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,4.892274225538071,23.934347097864137
e80,0.8,1.5,1.5,0.3333333333333333,2.2500000000000004,5.062500000000002
e80,0.8,2,2.0,0.5,4.000000000000001,16.000000000000007
e80,0.8,3,3.0,0.6666666666666666,9.000000000000004,81.00000000000006
e80,0.8,4,4.0,0.75,16.00000000000001,256.00000000000034
e80,0.8,5,5.0,0.8,25.000000000000018,625.0000000000009
e80,0.8,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,4.630726448916696,21.443627444696634
e80,0.8,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,30.55625800398987,933.6849032063951
e90,0.8999999999999999,1.5,1.5,0.3333333333333333,6.200270911419908,38.44335937499986
e90,0.8999999999999999,2,2.0,0.5,22.62741699796945,511.9999999999969
e90,0.8999999999999999,3,3.0,0.6666666666666666,140.29611541307838,19682.99999999981
e90,0.8999999999999999,4,4.0,0.75,511.9999999999969,262143.9999999968
e90,0.8999999999999999,5,5.0,0.8,1397.5424859373586,1953124.9999999723
e90,0.8999999999999999,aggregate 2024 (1 + m),2.151912277235458,0.5352970422731679,31.456509827108054,989.5120105029456
e90,0.8999999999999999,aggregate 2025 (1 + m),5.52777152241207,0.8190952726708131,2195.206494213559,4818931.552237384
