sample,spec_key,spec,scale,re_groups,clusters,G,k,slope,se_model,se_cr2,df_cr2,lo_cr2,hi_cr2,p_cr2,t_cr2,p_wild,B_wild,p_wild_enum,n_enum,tau_between,reliable_df
IsoFLOP designs only (excl. Farseer path),fe_weighted,"Design FE, inverse-variance",sigma,design,studies (3; Marin one cluster),3,36,-0.0503645,0.0091446,0.0116773,1.38974,-0.128986,0.0282569,0.0909525,-4.31303,0.2272,9999,0.222222,216,,False
IsoFLOP designs only (excl. Farseer path),fe_weighted,"Design FE, inverse-variance",sigma,design,designs (5),5,36,-0.0503645,0.0091446,0.0103642,1.49742,-0.112873,0.0121441,0.0683149,-4.85948,0.2317,9999,0.232253,7776,,False
IsoFLOP designs only (excl. Farseer path),fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,studies (3; Marin one cluster),3,36,-0.0288152,0.0098455,0.018708,1.84298,-0.116252,0.0586219,0.273507,-1.54026,0.1107,9999,0.111111,216,,False
IsoFLOP designs only (excl. Farseer path),fe_unweighted,"Design FE, unweighted (OLS)",sigma,design,designs (5),5,36,-0.0288152,0.0098455,0.0127803,3.50026,-0.0663891,0.00875873,0.0967496,-2.25466,0.1451,9999,0.141461,7776,,False
IsoFLOP designs only (excl. Farseer path),weighted_studyRE,"3-level RE with study intercepts (Marin's corpora share one), inverse-variance",sigma,study,studies (3; Marin one cluster),3,36,-0.0471372,0.0108265,0.0095088,1.80104,-0.0927018,-0.0015726,0.0471864,-4.95722,0.0906,9999,0.0925926,216,0.00477682,False
IsoFLOP designs only (excl. Farseer path),unweighted_studyRE,"Study RE, unweighted (LMM)",sigma,study,studies (3; Marin one cluster),3,36,-0.0306977,0.00942436,0.0175957,1.84335,-0.112918,0.0515226,0.233674,-1.74462,0.1108,9999,0.111111,216,0.0214392,False
IsoFLOP designs only (excl. Farseer path),fe_weighted_study,"Study FE (Marin's corpora share one intercept), inverse-variance",sigma,study,studies (3; Marin one cluster),3,36,-0.0494539,0.0089081,0.0128624,1.41247,-0.133929,0.0350215,0.103401,-3.84485,0.2954,9999,0.305556,216,,False
budgets <= 3e20 (common window),weighted,"3-level RE (design intercepts), inverse-variance (primary)",sigma,design,studies (4; Marin one cluster),4,37,-0.00765212,0.0143287,0.0120129,2.51335,-0.0504315,0.0351273,0.57734,-0.636989,0.8741,9999,0.87037,1296,0,False
budgets <= 3e20 (common window),weighted,"3-level RE (design intercepts), inverse-variance (primary)",sigma,design,designs (6),6,37,-0.00765212,0.0143287,0.0119209,3.67571,-0.0419339,0.0266296,0.55876,-0.641908,0.8203,9999,0.81893,46656,0,False
budgets <= 3e20 (common window),unweighted,"Design RE, unweighted (LMM)",sigma,design,studies (4; Marin one cluster),4,37,-0.00448557,0.00884738,0.00469844,1.86967,-0.0261136,0.0171424,0.446438,-0.954695,0.306,9999,0.308642,1296,0,False
budgets <= 3e20 (common window),unweighted,"Design RE, unweighted (LMM)",sigma,design,designs (6),6,37,-0.00448557,0.00884738,0.0058326,4.73586,-0.0197338,0.0107626,0.478438,-0.769053,0.4635,9999,0.46262,46656,0,True
