tech,r,penalty_1e25,penalty_1e27,shadow_rel_1e25,shadow_rel_1e27,max_abs_diff,closed_vs_numeric_shadow
k1,4,0.07215798357806746,0.0721579835780699,0.4305911135962151,0.4305911287236273,1.5127412211768387e-08,1.1375699482396584e-07
k1,16,0.5842506436093517,0.584250643609344,7.061396244736419,7.061395996864302,2.4787211660992625e-07,5.105184679443653e-07
kq,4,0.07382882179457151,0.07382882179457395,0.45448408540102625,0.4544840854010381,1.3421486144693517e-12,1.0922428805848483e-07
kq,16,0.634095332459538,0.6340953324595302,8.609881566450543,8.609881566445086,5.4569682106375694e-12,5.955909598842624e-07
e70,4,0.07384841602255499,0.07384841602254966,0.4547461729333612,0.45474617154316316,1.3901980677744064e-09,1.0585236398519271e-07
e70,16,0.6343772668833547,0.6343772668833585,8.612499802884772,8.612499802882427,4.976352663277339e-12,5.985966091692774e-07
e60,4,0.07715089123112073,0.07715089123110785,0.5053288745269914,0.5053288754785672,9.51575818142203e-10,1.4857883190444454e-07
e60,16,0.7670494580895002,0.767049458089454,13.764372104635367,13.764372104616196,1.9170443010807503e-11,1.1625346072463572e-06
