dataset,object,A2_estimate,A3_analytic,A3_design_exact6ND,A3_design_actual,finite_grid_bias,flop_accounting_effect,gap_analytic,gap_design,ln6ND_over_C_min,ln6ND_over_C_max
Meta Llama 3 IsoFLOPs,a,0.4632208729054041,0.5268194506631989,0.5264404894865206,0.5264404894865209,-0.0003789611766783496,3.3306690738754696e-16,-0.06359857775779482,-0.0632196165811168,-2.2204460492503136e-16,2.2204460492503128e-16
Meta Llama 3 IsoFLOPs,lnNstar_ref,20.749802992213134,20.754312866309412,20.752450796383307,20.752450796383307,-0.0018620699261049367,0.0,-0.0045098740962785655,-0.002647804170173629,-2.2204460492503136e-16,2.2204460492503128e-16
Meta Llama 3 IsoFLOPs,gamma,0.13642709824790128,0.1493623972428824,0.14946680913341454,0.14946680908233226,0.00010441189053214672,-5.108227729699877e-11,-0.01293529899498111,-0.013039710834430979,-2.2204460492503136e-16,2.2204460492503128e-16
Meta Llama 3 IsoFLOPs,Lstar_ref,0.7958120938182969,0.7966759919622861,0.7966444854759814,0.7966444854797161,-3.150648630467767e-05,3.734679232536564e-12,-0.000863898143989239,-0.0008323916614192406,-2.2204460492503136e-16,2.2204460492503128e-16
"Marin 2026-03, Comma",a,0.4049294587482617,0.3445042756857398,0.3852241424406377,0.40019473660289695,0.04071986675489786,0.014970594162259265,0.06042518306252187,0.004734722145364745,-0.068880489685669,0.29826064217516196
"Marin 2026-03, Comma",lnNstar_ref,20.709998673096802,20.6214755745943,20.73992508971808,20.66322543605384,0.11844951512378188,-0.07669965366424236,0.0885230985025025,0.04677323704296299,-0.068880489685669,0.29826064217516196
"Marin 2026-03, Comma",gamma,0.05091459466511155,0.2293651854503145,0.2214957219882079,0.1973746133470094,-0.007869463462106596,-0.024121108641198513,-0.17845059078520295,-0.14646001868189784,-0.068880489685669,0.29826064217516196
"Marin 2026-03, Comma",Lstar_ref,3.3993581946637144,3.384420869536311,3.383288474355997,3.3838765541776774,-0.0011323951803139387,0.0005880798216804095,0.014937325127403422,0.015481640486036952,-0.068880489685669,0.29826064217516196
"Marin 2026-03, DCLM",a,0.4235790714857159,0.37117687075037675,0.4073342941794483,0.42089915340192113,0.03615742342907152,0.013564859222472858,0.05240220073533913,0.0026799180837947523,-0.068880489685669,0.29826064217516196
"Marin 2026-03, DCLM",lnNstar_ref,20.81534556712738,20.742201854971242,20.84630621297046,20.78091895997685,0.10410435799921913,-0.06538725299360948,0.07314371215613846,0.03442660715052881,-0.068880489685669,0.29826064217516196
"Marin 2026-03, DCLM",gamma,0.07575911048609366,0.2545593478917503,0.24564381830938287,0.21984902488313604,-0.00891552958236741,-0.025794793426246826,-0.17880023740565662,-0.14408991439704238,-0.068880489685669,0.29826064217516196
"Marin 2026-03, DCLM",Lstar_ref,3.2223931594327695,3.208678519144808,3.204596903130178,3.2067327341363883,-0.004081616014629752,0.002135831006210065,0.013714640287961544,0.01566042529638123,-0.068880489685669,0.29826064217516196
"Marin 2026-03, Nemotron-CC",a,0.4223734822719682,0.38511292695443444,0.4149719298391416,0.42521028106392006,0.029859002884707164,0.010238351224778452,0.03726055531753375,-0.0028367987919518667,-0.068880489685669,0.2982657166558523
"Marin 2026-03, Nemotron-CC",lnNstar_ref,20.74055979456309,20.68935642627805,20.77573526401299,20.706471439490265,0.08637883773494082,-0.06926382452272506,0.051203368285040796,0.03408835507282504,-0.068880489685669,0.2982657166558523
"Marin 2026-03, Nemotron-CC",gamma,0.0746645469363178,0.24618406686433494,0.24012411809688353,0.21181964426870428,-0.006059948767451417,-0.028304473828179244,-0.17151951992801714,-0.13715509733238648,-0.068880489685669,0.2982657166558523
"Marin 2026-03, Nemotron-CC",Lstar_ref,3.20612203384142,3.1903231738300506,3.187132562529329,3.1885588638592175,-0.003190611300721624,0.001426301329888524,0.01579886001136943,0.01756316998220253,-0.068880489685669,0.2982657166558523
(Mis)Fitting FineWeb/C4,a,0.5174199142323614,0.5359612530197957,0.49845912621741095,0.49845912621741095,-0.03750212680238474,0.0,-0.018541338787434247,0.01896078801495049,-2.2204460492503136e-16,2.2204460492503128e-16
(Mis)Fitting FineWeb/C4,lnNstar_ref,18.62404800493061,18.537127223496483,18.574519709006488,18.574519709006488,0.03739248551000429,0.0,0.08692078143412729,0.049528295924123,-2.2204460492503136e-16,2.2204460492503128e-16
(Mis)Fitting FineWeb/C4,gamma,0.16547200601179737,0.3270487769264502,0.3630059852024214,0.36300598710732074,0.03595720827597121,1.9048993493697708e-09,-0.1615767709146528,-0.19753398109552336,-2.2204460492503136e-16,2.2204460492503128e-16
(Mis)Fitting FineWeb/C4,Lstar_ref,3.5216920905577767,3.5128414502602237,3.5034164179487117,3.5034164173796523,-0.009425032311511927,-5.69059466215549e-10,0.008850640297553003,0.018275673178124396,-2.2204460492503136e-16,2.2204460492503128e-16
