scenario,estimator,param,truth,bias_v1,bias_v2,median_bias_v1,median_bias_v2,rmse_v1,rmse_v2,mae_v1,mae_v2,diff_bias,diff_rmse
exog,E1_pooled_huber,alpha,0.3478,0.0570392763013986,0.05606013308236012,0.0554561480942455,0.0538471850497286,0.0974853026904956,0.09608484220230737,0.0662715796933194,0.06566798052169084,-0.0009791432190384836,-0.001400460488188232
exog,E1_pooled_huber,beta,0.3658,0.0574552398876958,0.060016304166858256,0.0512999140882539,0.051595362396199856,0.1406760347027724,0.14410557106403687,0.0741516685364131,0.07496041715139584,0.002561064279162459,0.0034295363612644736
exog,E1_pooled_huber,a,0.5126121076233184,-0.007806167515986,-0.006040673922188401,-0.0067712989170017,-0.005373609685768055,0.1119440996497149,0.11110513954074092,0.0726363136119064,0.07263631361190642,0.0017654935937975987,-0.0008389601089739823
exog,E1_pooled_huber,gamma,0.17828649103139016,0.018241883998174,0.018647737681276418,0.0212066468713682,0.021227754595115028,0.0311399649111421,0.03103301291790749,0.0223210085271869,0.022321008547975044,0.00040585368310241954,-0.0001069519932346101
exog,E1_pooled_huber,sigma_star,0.7370283018867925,-0.0291063393549083,-0.02945204792421181,-0.0286853502002197,-0.02882215176410713,0.0365258437545871,0.03720965073540422,0.0288221517841674,0.02898858469023019,-0.0003457085693035107,0.0006838069808171171
exog,E1_pooled_huber,lnMstar,2.8979598554678856,0.5573218703081727,0.5320515090838902,0.6759874398326808,0.6506259654883155,1.6200000633766911,1.6138308774410826,1.0764519724048691,1.0781511866181894,-0.0252703612242825,-0.0061691859356085565
exog,E1_pooled_huber,sd_omega,0.25,-0.0317621184538216,-0.031522604609443124,-0.0309048245790813,-0.030876502570629558,0.0422840395438416,0.041933088985946464,0.0319894846855193,0.031860122911308436,0.00023951384437847362,-0.0003509505578951355
exog,E1_pooled_huber,tfp_growth,0.15,-0.0805904725907436,-0.08051395250765032,-0.0808166944596682,-0.08067637543883242,0.0812606220523372,0.08117193748913806,0.0808166944596682,0.08067637543883242,7.652008309327885e-05,-8.868456319913176e-05
exog,E1b_pooled_huber_Etrue,alpha,0.3478,0.0986676710426312,0.09842258832612703,0.0964599852864778,0.0963093553152213,0.1045800868264444,0.10442812803251754,0.0964599852864778,0.0963093553152213,-0.00024508271650416913,-0.0001519587939268624
exog,E1b_pooled_huber_Etrue,beta,0.3658,0.10594673325726,0.1063677509130564,0.0993352618736689,0.09940698636356998,0.1174613202123667,0.11800817317300932,0.0993352618736689,0.09940698636356998,0.00042101765579639905,0.0005468529606426215
