convention,year,n_moe,s_agg_units,median_s_units,s_agg_units_dense,median_s_units_dense,moe_compute_share
"MoE added, active parameters",2024,6,0.5574867627993219,0.7736435228416247,0.5384500202871144,0.7736156415553738,0.06286112143134204
"MoE added, active parameters",2025,6,0.8249874560481156,0.8334826564342706,0.814274844512894,0.7446735224229226,0.5336438781832431
"MoE added, total parameters",2024,6,0.5248990803349703,0.752451026900879,0.5384500202871144,0.7736156415553738,0.06286112143134204
"MoE added, total parameters",2025,6,0.7290984667640515,0.6390752802012958,0.814274844512894,0.7446735224229226,0.5336438781832431
