group,value,n,median_w,q25_w,q75_w,share_w_lt1,share_w_gt2,median_M,median_TD,median_w_band_lo,median_w_band_hi,median_N,median_D
year,2019,4,1.6975543495841352,1.3810974857855758,2.118679668149321,0.0,0.25,96.87,2.0926630487524056,1.3509292389312542,3.0589540672360847,2000000000.0,180713333333.33334
year,2020,10,1.589780054677405,1.1320939427002628,2.2034194002624767,0.2,0.4,79.12629610742817,1.7693401640322146,1.1988268821009387,3.2766787677269003,4655000000.0,300000000000.0
year,2021,19,1.1786196085686915,0.4932642627615791,2.0934391804500754,0.47368421052631576,0.3157894736842105,30.785641025641024,0.5358588257060746,0.7831687673293263,2.96026136574459,10000000000.0,400213333333.3333
year,2022,34,1.0641423306821454,0.7925946526060252,1.7433215448966461,0.4117647058823529,0.20588235294117646,23.020094118227767,0.1924269920464361,0.699693791159975,2.9785112393938817,11500000000.0,347586683982.5
year,2023,97,1.8272073441951473,1.1165372253267007,2.3429769400676603,0.17525773195876287,0.4329896907216495,107.14285714285714,2.4816220325854417,1.2338904582836985,4.2263024413094135,9300000000.0,1000000000000.0
year,2024,106,3.4499852856247504,2.5140254831666082,4.982147538981046,0.0,0.8207547169811321,611.8974418390032,7.34995585687425,2.154901285869456,7.858180123534201,7149308672.0,4025000000000.0
year,2025,61,4.675609531649943,3.2637266219478827,5.882961456867785,0.01639344262295082,0.9508196721311475,1303.433690636833,11.02682859494983,2.402183025260251,10.629700257602709,9000000000.0,15000000000000.0
year,2026,4,3.7741699032620355,3.5958796855627697,4.220437461381446,0.0,1.0,686.0119047619048,8.322509709786107,1.5942056046360435,10.490090725434392,36000000000.0,21017476266666.5
open,False,64,1.1192721491603672,0.7797082491567455,1.8935375829554026,0.390625,0.21875,26.56153846153846,0.357816447481102,0.7147055767603878,2.9926063912536907,14500000000.0,481111111111.3334
open,True,271,2.8609703365191614,1.8511889188621753,4.537592821695493,0.06642066420664207,0.7195571955719557,343.8336776560189,5.582911009557485,1.6039577853997349,6.424992848503907,7500000000.0,2600000000000.0
moe,False,301,2.3386847828055566,1.3347328474988829,3.7141636952178314,0.13953488372093023,0.584717607973422,207.83712911547445,4.01605434841667,1.4157419184104272,5.128352389991224,7721324544.0,1500000000000.0
moe,True,34,3.840834801132004,3.090090265254071,5.772593027962528,0.029411764705882353,0.9705882352941176,735.7954545454545,8.522504403396013,1.8840371729428096,10.2103093233811,17448958333.333336,14900000000000.0
size,<4B,105,3.9557654325785716,2.5622611208133192,6.339750237096938,0.009523809523809525,0.8571428571428571,889.8008936297592,8.867296297735715,2.4036288392185723,7.301937018350086,1711376384.0,1695698086419.753
size,4-9B,79,2.7263641600494406,2.0378220411318706,4.047179055730792,0.02531645569620253,0.759493670886076,310.8274993912754,5.179092480148322,1.6975426890146474,6.1166857015058635,7000000000.0,2400000000000.0
size,9-16B,48,1.7319135990867691,1.088713318519328,2.5623765524810453,0.125,0.4166666666666667,89.6236559139785,2.1957407972603074,1.0762060126691246,4.283728203650779,13000000000.0,1000000000000.0
