spec,w,r_obs,life_penalty,train_penalty,ratio_proc,ratio_eff,ratio_proc_vs_w,w_hat_proc,w_true_c,s_hat_proc,s_true_c,N_ratio,epochs,mu_eff
nore,5.38,1.02,4.8186109681269684e-05,-0.015974240860385458,0.9740946207269712,0.9740946207269712,0.989955343657821,5.325959748879077,5.467600000608041,0.8122404135310141,0.8171043968306402,1.0037062744590115,0.9999999998638999,0.026594315091993392
nore,5.38,1.118,0.0015227791588223738,-0.08625763098659167,0.8617385323722899,0.8617385323722899,0.9445230943833756,5.08153424778256,5.896840000636326,0.8032090405695146,0.8304176474362387,1.0215639686897389,0.9999999998700538,0.16044480133328665
nore,5.38,1.2254,0.005044017416130142,-0.15078956932544574,0.7611771225321415,0.7611771225321415,0.9008562372311855,4.846606556303778,6.367252000665751,0.7936700682461336,0.8429463762553389,1.040622461877677,0.9999999998759607,0.3137546707570338
nore,5.38,1.3431,0.010609730375814141,-0.2100456605062726,0.6713577850891623,0.6713577850891623,0.8588859839791406,4.620806593807776,6.882778000696144,0.7835875664348138,0.8547098279359211,1.0609876734995782,0.999999999881664,0.4895187368195797
nore,5.38,1.4721,0.018236192218303637,-0.26446572347972197,0.591283043112014,0.591283043112014,0.8185421312925446,4.40375666635389,7.44779800072777,0.7729211498808914,0.8657321264751966,1.0827800085877157,0.9999999998871288,0.6912374059246575
nore,5.38,1.5,0.020054454043120673,-0.2750471648322985,0.5760063909445375,0.5760063909445375,0.8104773940284823,4.3603683798732344,7.570000000734515,0.7706615788207619,0.8678996037116288,1.087429252873125,0.9999999998882017,0.736091848495285
nore,5.38,1.6136,0.027966188178273343,-0.31448261832093616,0.5199779623512926,0.5199779623512926,0.7797318903654117,4.194957570165915,8.06756800076046,0.7616185662730198,0.8760469078282651,1.1061508471963577,0.9999999998924014,0.9231584267111859
nore,5.38,1.7686,0.03984089329174356,-0.3603882155172423,0.4566838238954599,0.4566838238954599,0.7424480394390635,3.9943704521821615,8.74646800079461,0.7496476573789768,0.8856681348506448,1.1312174021522425,0.9999999998974228,1.1896987536587487
nore,5.38,1.9385,0.05394162077663589,-0.40254694163793936,0.4005569888835368,0.4005569888835368,0.706605608873609,3.801538175740016,9.490630000829483,0.7369485840280066,0.8946329168967077,1.1581627537480002,0.9999999999023058,1.4965236601844767
nore,5.38,2.0,0.059267471272299366,-0.416100512812126,0.3829505853395006,0.3829505853395006,0.6947207645419623,3.737597713235757,9.760000000841444,0.7324484664417594,0.8975409836153907,1.1677989744879216,0.9999999999039446,1.611302967753558
nore,5.38,2.1247,0.07036352592319228,-0.4412524896229266,0.35087592072155954,0.35087592072155954,0.6721547401824186,3.616192502181412,10.306186000865733,0.7234660490566347,0.9029708953519762,1.1871708354086075,0.9999999999069722,1.850010333976603
nore,5.38,2.3288,0.08923225551463032,-0.4767862329094811,0.30696129557466983,0.30696129557466983,0.6390354485390403,3.4380107131400366,11.200144000902954,0.7091341233527831,0.9107154336659082,1.2184602209082631,0.9999999999114763,2.257739703397705
nore,5.38,2.5525,0.11069705842603939,-0.5093945234692732,0.26820572419747857,0.26820572419747857,0.6071993142549189,3.266732310691464,12.17995000094101,0.6938837024609673,0.9178978567298929,1.2522704789500834,0.9999999999158306,2.7284811984986
nore,5.38,2.7977,0.13494210215338298,-0.5393071827069886,0.23404975390490726,0.23404975390490726,0.576594445874264,3.10207811880354,13.253926000981364,0.6776354554263462,0.9245506576748688,1.2888802950438787,0.9999999999199143,3.2725958191192666
nore,5.38,3.0,0.15539206580117004,-0.5603953809359458,0.2108232251951887,0.2108232251951887,0.5540967294559799,2.9810404044731715,14.14000000101129,0.6645466467011116,0.9292786421549872,1.3188138572936623,0.9999999999230372,3.7433104159855226
nore,5.38,3.0665,0.16218981394184984,-0.5667338218629001,0.20398581090391332,0.20398581090391332,0.5471699467531006,2.943774313531681,14.431270001021462,0.6603000456239839,0.930706029342586,1.3286107353584593,0.999999999923949,3.90230176093496
nore,5.38,3.361,0.19268382410815055,-0.5918474966085125,0.17757331264061257,0.17757331264061257,0.5188962846483306,2.7916620114080186,15.721180001062507,0.6417904474418684,0.936391543132741,1.3718005639977997,0.9999999999278245,4.631476853866447
nore,5.38,3.6839,0.2267556926111418,-0.6148374684866078,0.15438074724683823,0.15438074724683823,0.4917079025586257,2.645388515765406,17.135482001105448,0.6219836919830795,0.9416415598968568,1.418900249939395,0.9999999999314894,5.477491642148275
nore,5.38,4.0,0.2606691778232091,-0.6337796881064025,0.1360124342525072,0.1360124342525072,0.46820637221416556,2.5189502825122108,18.520000001145316,0.6030092348616443,0.9460043196577669,1.4648812476701523,0.999999999934628,6.352268970817029
nore,5.38,4.0378,0.2647589549032179,-0.6358470540701222,0.13404933568294033,0.13404933568294033,0.4655738738317754,2.5047874412149516,18.68556400114798,0.6007645265440376,0.9464827500021641,1.4703767651711037,0.9999999999350894,6.459939990790003
nore,5.38,4.4257,0.30712895789085404,-0.6550157706059803,0.11624628312492556,0.11624628312492556,0.440451678578682,2.369630030753309,20.384566001192105,0.5779931942869164,0.9509432773824315,1.526796704123008,0.9999999999385023,7.602425584010605
nore,5.38,4.8509,0.35438324857720693,-0.6724681586826775,0.10067433091103767,0.10067433091103767,0.41630037189430535,2.239696000791363,22.246942001238654,0.5535108337708935,0.9550500019308577,1.5888242091388245,0.999999999941702,8.933018585280339
nore,5.38,5.3169,0.40712359713827495,-0.6883103551123466,0.08707199412248996,0.08707199412248996,0.39308671169939824,2.1148065089427623,24.28802200128463,0.5271435018894841,0.95882744177574,1.6572226729945814,0.9999999999448371,10.484749029558614
nore,5.38,5.8277,0.4660869350974213,-0.7026408757264859,0.0752015414323882,0.0752015414323882,0.3707705208729388,1.9947454022964108,26.52532600132719,0.4986828901328611,0.9623001805915612,1.732919768618861,0.9999999999480049,12.29759976926902
nore,5.38,6.3875,0.5321338586571693,-0.7155395988513709,0.06485596734226033,0.06485596734226033,0.3493211114791383,1.879347579757764,28.977250001376138,0.4679004507889415,0.9654901690135361,1.8169908124262424,0.9999999999508122,14.418781663108387
nore,5.38,7.0011,0.6063244868045772,-0.7270779911439684,0.05584789160815005,0.05584789160815005,0.3287013612518947,1.7684133235351935,31.66481800142163,0.43452133803147136,0.9684192089796599,1.9107542762905463,0.9999999999536396,16.905778914920884
nore,5.38,7.6737,0.6899348347127638,-0.737311826532719,0.0480129284339993,0.0480129284339993,0.3088784668385254,1.6617661515912665,34.61080600146279,0.3982306120253897,0.9711072894414035,2.0157902368236047,0.9999999999564786,19.827723544808233
nore,5.38,8.0,0.7314040999413067,-0.741538455679809,0.04480369221763782,0.04480369221763782,0.30013477092757024,1.614725067590328,36.04000000148785,0.38069952583797373,0.9722530521654074,2.067692354649324,0.9999999999575386,21.31958908972085
nore,5.38,8.4108,0.7844944325731602,-0.7462802157550226,0.04120752213322749,0.04120752213322749,0.2898260143398155,1.5592639571482072,37.839304001511465,0.3586717659857057,0.9735724526021923,2.1339863614152113,0.9999999999589713,23.26741401161937
nore,5.38,9.2188,0.8919316413404554,-0.7540116097920978,0.03530153933595089,0.03530153933595089,0.27150915212406107,1.4607192384274486,41.378344001556336,0.31540574417534223,0.9758327689488399,2.2677177717360157,0.9999999999614562,27.327376619002152
nore,5.38,10.1044,1.014590796287187,-0.7605136588073296,0.03018283048210961,0.03018283048210961,0.25390196448086777,1.3659925689070687,45.25727200160167,0.2679315958504075,0.9779041034562443,2.419865786034794,0.99999999996381,32.131418890376565
nore,5.38,11.0751,1.155424700021043,-0.765775931494866,0.02575154388198484,0.02575154388198484,0.23697613187728092,1.2749315894997713,49.50893800164279,0.21564418966796695,0.9798016269311449,2.5940549811890588,0.9999999999661343,37.832623184956915
nore,5.38,12.1391,1.3181590957639688,-0.7697643202935309,0.021920052640009003,0.021920052640009003,0.22070501614626203,1.1873929868668898,54.16925800167249,0.15781884257321882,0.9815393446967813,2.794853939612713,0.9999999999685439,44.62032840079846
nore,5.38,13.3052,1.5075211295587079,-0.7724156982384319,0.018611880875618016,0.018611880875618016,0.20506548208819764,1.1032522936345033,59.27677600170914,0.09358901334739464,0.9831299866920703,3.028054651886822,0.9999999999706721,52.72912102129466
nore,5.38,14.5834,1.7296854318458825,-0.7736317298898275,0.015758921095209898,0.015758921095209898,0.1900305962238748,1.0223646076844464,64.87529200176056,0.021875373537333192,0.9845858111902933,3.301219030415679,0.9999999999724375,62.45612075587848
nore,5.38,15.9844,1.9927027415054108,-0.7732662772832652,0.013302161650531765,0.013302161650531765,0.1755778327215562,0.9446087400419723,71.01167200176151,-0.05863936846018015,0.9859178079911258,3.624202517484561,0.9999999999748398,74.17575160124626
nore,5.38,16.0,1.9957550281484804,-0.773253206935319,0.013277972039575713,0.013277972039575713,0.17542718449749828,0.9437982525965407,71.08000000176978,-0.05954847579855043,0.9859313449637718,3.6279486891265167,0.9999999999747463,74.31270566163613
nore,5.38,17.5199,2.3072902285783776,-0.7711104834346915,0.011189859596213726,0.011189859596213726,0.16168548851455244,0.8698679282082921,77.73716200180262,-0.1495998042596502,0.9871361395984998,4.01012144136675,0.9999999999765092,88.366626220973
nore,5.38,19.203,2.688039309633835,-0.7668681473528143,0.009376398880731449,0.009376398880731449,0.14833034294664713,0.7980172450529615,85.10914000180722,-0.25310575203626545,0.988250380629169,4.476830966480102,0.9999999999785131,105.65075288712444
nore,5.38,21.0477,3.155040366924034,-0.7601204549388515,0.007822302851667394,0.007822302851667394,0.13549293710181837,0.7289520016077827,93.18892600181033,-0.3718324358728579,0.9892691112248619,5.048912700682683,0.9999999999803625,126.83959135343896
nore,5.38,23.0697,3.7368077464635387,-0.750267487363184,0.0064927854765548495,0.0064927854765548495,0.12315207265862829,0.6625581509034202,102.04528600180728,-0.5093014834040854,0.9902004292488112,5.7612541468805984,0.9999999999821141,153.0171015369219
nore,5.38,25.2858,4.474599927169185,-0.7364396228656953,0.00535775881250636,0.00535775881250636,0.11128981648781985,0.5987392127044708,111.7518040018641,-0.6701762282831905,0.9910515985944771,6.664334984254774,0.9999999999831685,185.64520651167572
nore,5.38,27.7149,5.430309889625598,-0.7173403832890561,0.004390742396372293,0.004390742396372293,0.09988633885067466,0.5373885030166297,122.39126200175836,-0.8608511242546153,0.9918294820753982,7.833883011295611,0.9999999999855148,226.75191749491322
nore,5.38,30.3774,6.699709736613378,-0.6909846502932036,0.0035688300066640945,0.0035688300066640945,0.0889242400958477,0.4784124117156607,134.05301200178175,-1.0902467735187842,0.9925402645933333,9.387082884308944,0.9999999999866088,279.20387581719916
nore,5.38,32.0,7.614545199607873,-0.6716757355248968,0.0031593702911190884,0.0031593702911190884,0.08289529931226725,0.44597671029999775,141.16000000178113,-1.242269555572362,0.9929158401814439,10.506376463336816,0.9999999999872922,315.5187704685884
nore,5.38,33.2956,8.437484207162287,-0.6542121490908821,0.0028720824398083163,0.0028720824398083163,0.0783868854735532,0.4217214438477162,146.8347280017011,-1.371233463672529,0.9931896220083003,11.513213968863923,0.9999999999883354,347.1794206668874
nore,5.38,36.4942,10.906715303901931,-0.6017390081647405,0.0022831018520441337,0.0022831018520441337,0.06825735966967482,0.36722459502285054,160.84459600173452,-1.7231291518961986,0.9937828187899505,14.534216288392042,0.9999999999891488,437.00060829729
nore,5.38,40.0,14.58316504127461,-0.5241916690050905,0.0017868278550614266,0.0017868278550614266,0.05852027287447141,0.31483906806465617,176.20000000158538,-2.1762258926348914,0.9943246311010726,19.032333239968604,0.9999999999909511,558.6510022873034
D3,5.38,1.02,9.929098528482783e-06,-0.0032928504497727884,0.994633366448313,0.9946152045041666,0.9979292741201361,5.368859494766332,5.397827657780803,0.8137407021035251,0.81474028750093,1.0007639883561315,1.0158651833697379,0.005413948501338028
D3,5.38,1.118,0.0003156005605193801,-0.017916106989679936,0.9704483471176629,0.9698863003385427,0.9884640488139717,5.317936582619168,5.479875975278867,0.8119571408075189,0.8175141181093774,1.004478090868784,1.0930749036406477,0.031048690605224527
D3,5.38,1.2254,0.0010515451288228839,-0.03158764708409789,0.9472371912537892,0.9454164146323566,0.9791626997042626,5.267895324408933,5.561326532625056,0.810170867411417,0.8201867856286474,1.0085034154970696,1.1766866418377486,0.05773496685994095
D3,5.38,1.3431,0.002225008689658914,-0.0444170954585098,0.9248236562325582,0.9210833053844442,0.9699643981689017,5.218408462148691,5.642598377518642,0.8083706924719634,0.8227766831706079,1.0128738909152681,1.2671304992667067,0.08567812938767516
D3,5.38,1.4721,0.003847242391965988,-0.056508973509375005,0.9030391986054549,0.8967707976917667,0.9608076641319749,5.169145233030025,5.72416484357781,0.8065444179029528,0.8253020261773307,1.0176272003603086,1.3648545750399363,0.11511213631614559
D3,5.38,1.5,0.004236002142366413,-0.058902437994852064,0.898642587385492,0.8917863243482497,0.9589327140409082,5.159058001540086,5.740945370227594,0.8061661645010622,0.8258126605443807,1.0186511711234665,1.3857995583029887,0.12134484763582454
