fit,alpha,beta,gamma,E,gamma_lo,gamma_hi
"Full model (E estimated), Huber",0.3473104990015325,0.36717243255156723,0.1784826972589673,1.8172180990947069,0.16854492938696497,0.1880130557013039
"E = 0 (Ho specification), Huber",0.37500705876598106,0.06105838985897024,0.052508923296265185,0.0,0.05102840091948275,0.05481154236152289
"E = 0 (Ho specification), least squares",0.061475734768031164,0.3765875234014065,0.05284851964603721,0.0,,
Mean total-loss elasticity gamma*R/L (full model),0.05304290679078975,0.05564295786455411,0.05430679287676752,,,
