conv,spec,sigma_star,se_wild_cluster,lo,hi,kappa
ne,chin_full,0.7715456823245482,0.001330308390442292,0.7669057308997265,0.7720719761411885,1.0
ne,chin_M100,0.8200344023372372,0.0015103322624123135,0.8168347041584334,0.8226091621651342,1.0
ne,kappa_full,0.7100137957247379,0.0008747620717787371,0.7084589202474525,0.7118365089056115,0.47167750693026417
ne,kappa_M100,0.744770859290739,0.0015276950317108452,0.742433331546401,0.748539989705907,0.5834025859161251
emb,chin_full,0.7243633830065584,0.00153971258559066,0.7192840969552958,0.7252750102327429,1.0
emb,chin_M100,0.7703925146797908,0.0016364472901182969,0.766937380770751,0.773335705093186,1.0
emb,kappa_full,0.6678003640383113,0.0010879815967127537,0.6653319113348082,0.6695667945981026,0.524198978410569
emb,kappa_M100,0.6980557030327819,0.0017047733973832827,0.693197002807663,0.699668886715221,0.6023910464148142
