technology,C,sigma_modelfree,sigma_hicks,sigma_modelfree_lnL,sigma_analytic,err,dlnw_dlnM_at_path,one_over_sigma_minus_1
Chinchilla form (Besiroglu et al.),1e+19,0.7370283008373685,0.7370283051483619,0.7370283027805672,0.7370283018867925,-1.0494239921499116e-09,0.35679999841166454,0.3568000019318911
Chinchilla form (Besiroglu et al.),1e+21,0.7370283037367079,0.7370283060777837,0.7370283044378064,0.7370283018867925,1.8499154430529074e-09,0.3568000048582261,0.35679999659447903
Chinchilla form (Besiroglu et al.),1e+24,0.7370282987808178,0.7370283009079718,0.7370282980313719,0.7370283018867925,-3.1059746996575655e-09,0.35680001960455143,0.35680000571780823
kappa family (m2 Chinchilla kappa-free),1e+19,0.7005533674115543,0.7005533733095425,0.7005533699716152,0.700553367104676,3.06878300548874e-10,0.4274429908700737,0.42744299937470687
kappa family (m2 Chinchilla kappa-free),1e+21,0.7005533667203087,0.7005533716427438,0.7005533682964091,0.700553367104676,-3.8436731575330896e-10,0.42744300487232434,0.4274430007831844
kappa family (m2 Chinchilla kappa-free),1e+24,0.700553364572473,0.700553370596103,0.7005533665658956,0.700553367104676,-2.5322030028362974e-09,0.42744299155200155,0.42744300515960054
