design,variant,M_bin,n_points,u_mean,delta_lin,lo_pct,hi_pct,se,n_draws,convexity,convexity_lo,convexity_hi,delta_kappa_full_inside,rotation_kappa_full,rotation_kappa_full_lo,rotation_kappa_full_hi,delta_chin_full_inside,rotation_chin_full,rotation_chin_full_lo,rotation_chin_full_hi,delta_chin_M100_inside,rotation_chin_M100,rotation_chin_M100_lo,rotation_chin_M100_hi
"Marin, three corpora pooled",primary,M>=256,24,,-0.546079,-0.585198,-0.452508,0.0338568,999,0.546079,0.452508,0.585198,-0.547559,-0.00147925,-0.0881698,0.0118666,-0.656392,-0.110313,-0.175851,-0.0783357,-1.1697,-0.623623,-0.694499,-0.573337
"Marin, three corpora pooled",corner_largestM,M<16,196,-1.42523,-0.0864791,-0.0926222,-0.0367585,0.0147631,999,0.0864791,0.0367585,0.0926222,-0.0580166,0.0284625,0.00288254,0.0538545,-0.063802,0.0226771,0.00191939,0.052944,-0.0586126,0.0278665,0.00218943,0.0551901
"Marin, three corpora pooled",corner_largestM,16-64,55,1.087,0.0318023,0.015611,0.0494816,0.00876551,999,-0.0318023,-0.0494816,-0.015611,0.0269254,-0.00487694,-0.0203522,0.0134442,-0.0178458,-0.0496482,-0.0646446,-0.0250508,-0.148384,-0.180186,-0.192962,-0.148805
"Marin, three corpora pooled",corner_largestM,64-256,27,2.14975,-0.0937759,-0.100208,-0.0326675,0.0176512,999,0.0937759,0.0326675,0.100208,-0.100156,-0.00637999,-0.0313722,0.00891567,-0.180666,-0.0868899,-0.117609,-0.0566983,-0.385997,-0.292221,-0.319834,-0.255187
"Marin, three corpora pooled",corner_largestM,"256-1,024",8,3.03849,-0.377076,-0.38766,-0.293169,0.023668,999,0.377076,0.293169,0.38766,-0.390338,-0.0132619,-0.0475856,0.00625858,-0.497837,-0.120761,-0.163057,-0.080497,-0.762892,-0.385816,-0.424472,-0.337898
"Marin, three corpora pooled",corner_largestM,M>=256,8,,-0.377076,-0.38766,-0.293169,0.023668,999,0.377076,0.293169,0.38766,-0.390338,-0.0132619,-0.0475856,0.00625858,-0.497837,-0.120761,-0.163057,-0.080497,-0.762892,-0.385816,-0.424472,-0.337898
"Marin, three corpora pooled",corner_M1000,M<16,171,-1.52214,-0.126545,-0.14774,-0.0712007,0.0195886,999,0.126545,0.0712007,0.14774,-0.078836,0.0477091,0.0297597,0.0827418,-0.0748044,0.0517407,0.0343375,0.0869147,-0.0650442,0.0615009,0.0350545,0.0945486
"Marin, three corpora pooled",corner_M1000,16-64,60,1.13885,0.0505939,0.0299117,0.0765567,0.0118088,999,-0.0505939,-0.0765567,-0.0299117,0.045333,-0.00526089,-0.0402889,0.00212238,-0.0285678,-0.0791617,-0.0979707,-0.0473652,-0.204123,-0.254717,-0.280799,-0.207673
"Marin, three corpora pooled",corner_M1000,64-256,42,2.33901,-0.101265,-0.0935608,-0.024707,0.0181532,999,0.101265,0.024707,0.0935608,-0.11682,-0.0155557,-0.0833989,-0.0117622,-0.232187,-0.130923,-0.178449,-0.0885452,-0.509523,-0.408258,-0.467313,-0.356794
"Marin, three corpora pooled",corner_M1000,"256-1,024",18,3.32799,-0.463348,-0.686813,-0.286083,0.111897,999,0.463348,0.286083,0.686813,-0.49091,-0.0275617,-0.121451,-0.0199209,-0.642277,-0.178929,-0.250221,-0.124231,-1.00904,-0.545688,-0.632017,-0.484597
"Marin, three corpora pooled",corner_M1000,M>=256,18,,-0.463348,-0.686813,-0.286083,0.111897,999,0.463348,0.286083,0.686813,-0.49091,-0.0275617,-0.121451,-0.0199209,-0.642277,-0.178929,-0.250221,-0.124231,-1.00904,-0.545688,-0.632017,-0.484597
