design,noise,rho,truth,noise_sd,R,R_target,B,bias_re,sd_re,mean_se_re,coverage_re,mcse_coverage_re,bias_fe,coverage_fe,coverage_budget,mean_k,rejection_drift_5pct
Chinchilla,budget,0.5,0.666932,0.0191294,200,200,149,0.000299775,0.0179242,0.0176368,0.93,0.0180416,0.000176399,0.885,0.902232,8.645,0.035
Chinchilla,size,0.5,0.666932,0.0191294,200,200,149,-0.00455373,0.0237245,0.0240425,0.915,0.0197199,-0.00313261,0.895,0.907192,8.32,0.045
Chinchilla,size_smooth,0.5,0.666932,0.0191294,200,200,149,-0.00822292,0.0184993,0.0192686,0.905,0.0207334,-0.00630248,0.835,0.852163,8.475,0.185
Llama 3,budget,0.5,0.692662,0.00199733,200,200,149,0.000162317,0.0109157,0.0111376,0.95,0.015411,0.000384409,0.9,0.906992,8.615,0.135
Llama 3,size,0.5,0.692662,0.00199733,200,200,149,0.00102282,0.0135962,0.0150308,0.95,0.015411,0.00149407,0.88,0.881252,8.515,0.07
Llama 3,size_smooth,0.5,0.692662,0.00199733,200,200,149,-0.000558412,0.0111515,0.011157,0.93,0.0180416,0.000314907,0.835,0.861159,8.655,0.19
"Marin, DCLM",budget,0.5,0.663344,0.0149956,200,200,149,0.00700574,0.0183285,0.0191864,0.935,0.017432,0.00365819,0.79,0.896024,6.755,0.085
"Marin, DCLM",size,0.5,0.663344,0.0149956,200,200,149,0.00302147,0.0218044,0.0248307,0.965,0.0129952,-0.00122228,0.865,0.931786,6.495,0.07
"Marin, DCLM",size_smooth,0.5,0.663344,0.0149956,200,200,149,0.00238822,0.0194056,0.0183636,0.915,0.0197199,-4.71417e-05,0.8,0.89281,6.695,0.135
