group,lnA,lnB,E,tilt_lnA_minus_lnB,Mstar_1e21_CE,L_ref,alpha_full,beta_full,a_full,sigma_star_full
C4,4.430350076480693,5.453322849234763,1.4880391044186263,-1.0229727727540707,12.14949623105202,2.2982475850810333,0.2590094541227977,0.23180323766780164,0.47228452227290474,0.8029507825264198
RedPajama,4.421386404214948,5.459270906884273,1.611448221451889,-1.0378845026693249,12.922896620838172,2.419767003975733,0.2092102568071026,0.2634971213620692,0.5574212155998319,0.8088300369293309
RefinedWeb,4.379940106642244,5.421468321519079,1.6541432398663856,-1.041528214876835,13.119246635653303,2.4309085633845604,0.2216414960919296,0.2599341747139095,0.5397576963947361,0.805939558293035
