period,n,median_w,share_ci_contains1,share_ci_above1,share_band_above1
2024+,26.0,3.141579079783539,0.07692307692307693,0.9230769230769231,0.6923076923076923
pre-2024,18.0,1.1433703186081159,0.5,0.3888888888888889,0.2777777777777778
