convention,n,sigma_chin,a_chin,alpha,beta,sigma_kappa,kappa,a_kappa,Mstar_1e+21_chin,Mstar_1e+23_chin,Mstar_1e+21_kappa,Mstar_1e+23_kappa
T (m2 reference reproduction),240,0.736789,0.5139,0.34731,0.367172,0.700553,0.774144,0.503607,21.3845,18.8149,22.6687,21.9279
N_F (T4),240,0.739824,0.519611,0.337879,0.365465,0.700299,0.776739,0.501077,17.9087,14.9494,20.6433,20.4395
