alpha,beta,ssr,tilt_range,tau_own,tau_ref,delta_ssr,lr_gaussian
0.25,0.5,0.0493047,645.183,inf,inf,0.0296493,1316.87
0.25,0.8,0.04801,32.0671,3.36319e+26,3.81115e+32,0.0283545,1259.37
0.25,1,0.0467632,34.2541,6.34164e+23,6.35596e+34,0.0271077,1203.99
0.25,1.0554,0.0463934,33.9523,3.90155e+22,3.13711e+34,0.0267379,1187.57
0.25,1.2,0.045424,4.99109,976.775,117784,0.0257685,1144.51
0.25,1.5,0.0435506,2.89538,27.3579,874.557,0.0238951,1061.3
0.35,0.04,0.0424836,2.62827,713758,468.163,0.0228282,1013.92
0.35,0.06,0.0379039,2.97178,1.97577e+06,1045.71,0.0182484,810.505
0.35,0.08,0.0392957,3.00808,1.19192e+06,1138.41,0.0196402,872.322
0.35,0.0941,0.0403258,3.0407,885352,1228.67,0.0206703,918.074
0.35,0.1,0.0407696,3.05648,793600,1274.87,0.0211141,937.787
0.35,0.12,0.042335,3.12193,588198,1485.85,0.0226795,1007.31
0.35,0.14,0.0440059,3.2129,495766,1838.21,0.0243504,1081.53
0.35,0.16,0.0458039,3.34511,497858,2504.53,0.0261484,1161.38
0.35,0.18,0.0477638,3.55244,663603,4068.02,0.0281083,1248.44
0.35,0.2,0.0499445,3.92864,1.60072e+06,9808.7,0.0302891,1345.29
0.35,0.3,0.110128,29.6295,3.92337e+39,1.27191e+30,0.0904723,4018.34
0.35,0.5,0.203028,802.111,inf,inf,0.183373,8144.52
0.35,0.8,0.203028,606.796,inf,inf,0.183373,8144.52
0.35,1,0.203028,606.796,inf,inf,0.183373,8144.52
0.35,1.0554,0.203028,606.796,inf,inf,0.183373,8144.52
0.35,1.2,0.203028,606.796,inf,inf,0.183373,8144.52
0.35,1.5,0.203028,606.796,7.85559e+284,inf,0.183373,8144.52
0.45,0.04,0.110688,0.461807,6.58586,2.94584,0.0910326,4043.22
0.45,0.06,0.0344695,0.983065,47.2361,9.97294,0.0148141,657.968
0.45,0.08,0.0316965,1.22821,103.003,17.6969,0.0120411,534.805
0.45,0.0941,0.0332148,1.26887,106.073,19.4632,0.0135594,602.241
0.45,0.1,0.0338794,1.28801,108.166,20.3542,0.0142239,631.757
0.45,0.12,0.0362625,1.36478,120.147,24.359,0.016607,737.603
0.45,0.14,0.0388513,1.46697,144.429,30.9376,0.0191958,852.583
0.45,0.16,0.0416529,1.61016,196.215,43.2483,0.0219974,977.019
0.45,0.18,0.0446774,1.82747,330.79,71.9051,0.0250219,1111.35
0.45,0.2,0.0479387,2.20893,894.882,175.522,0.0282833,1256.2
0.45,0.3,0.110099,57.3369,2.52886e+66,1.8028e+58,0.0904434,4017.05
0.45,0.5,0.615545,976.778,inf,inf,0.59589,26466.5
0.45,0.8,0.615545,713.438,inf,inf,0.59589,26466.5
0.45,1,0.615545,2.35331e+140,inf,inf,0.59589,26466.5
0.45,1.0554,0.615545,2810.77,inf,inf,0.59589,26466.5
0.45,1.2,0.615545,2810.77,inf,inf,0.59589,26466.5
0.45,1.5,0.615545,2810.77,inf,inf,0.59589,26466.5
0.55,0.04,0.268805,0.417715,4.12054,2.65712,0.249149,11066
0.55,0.06,0.0653451,0.524976,5.59142,3.415,0.0456896,2029.31
0.55,0.08,0.0258721,0.887737,16.7469,7.97933,0.00621663,276.112
0.55,0.0941,0.0274184,0.980534,21.003,9.91404,0.0077629,344.79
0.55,0.1,0.0281422,0.999342,21.6477,10.36,0.00848674,376.939
0.55,0.12,0.0308371,1.07453,24.7187,12.3525,0.0111817,496.635
0.55,0.14,0.0339056,1.17403,30.0533,15.5899,0.0142502,632.922
0.55,0.16,0.0373487,1.31245,40.3281,21.5521,0.0176932,785.844
0.55,0.18,0.0411671,1.52047,64.4358,35.0624,0.0215116,955.439
0.55,0.2,0.0453619,1.87906,150.027,81.129,0.0257064,1141.75
0.55,0.3,0.1101,198.602,8.81461e+202,6.09949e+201,0.0904442,4017.09
0.55,0.5,0.934497,274.121,5.76054e+226,3.27263e+278,0.914841,40632.8
0.55,0.8,1.2417,1665.72,inf,inf,1.22205,54277.4
