C,N_star,D_star,M_star,extrapolated
1e+19,227183231.32548425,7336222206.817905,32.2920937606849,False
1e+20,812943605.9005814,20501627106.35172,25.219002840473728,False
1e+21,2426968725.4673567,68672770653.26501,28.295696575175615,False
1e+22,6247613792.175253,266768517086.3255,42.699265025062275,True
1e+23,14222829050.474382,1171825001026.1335,82.39042998179389,True
