case,w_lab,w_hat,pred,relerr,lab_foc
lab believes Hoffmann,2.636063344297236,4.097786967795607,4.097787206070446,5.8147200165947766e-08,5.814719672425639e-08
lab factor-biased (chi=0.3),3.9313501971901124,2.9124158579590995,2.9124157799135424,2.6797531971212152e-08,2.679753285939057e-08
