family,n,mean_min,mean_max,Q_min,Q_max,p_Q_min,p_Q_max,lo_min,hi_max,argmin,argmax
"Chinchilla windows/order/frontier/centring grid, 137 runs, N_F (k >= 8 budgets)",11,0.685017,0.701663,4.41578,11.2977,0.0102206,0.219926,0.6353,0.735376,"Chinchilla N_F grid: 137 runs: order 2, h = inf, frontier auto, centre path","Chinchilla N_F grid: 137 runs: order 2, h = 1.25, frontier auto, centre path"
"Chinchilla grid, 132 runs (five highest-loss runs dropped), N_F (k >= 8 budgets)",12,0.674222,0.699926,4.66114,14.7703,0.00202388,0.198359,0.595859,0.752586,"Chinchilla N_F grid: 132 runs: order 2, h = 0.6, frontier auto, centre path","Chinchilla N_F grid: 132 runs: order 2, h = 1.25, frontier auto, centre path"
"Chinchilla R11-R13 (count-free N_F, T4-consistent membership, 132 runs)",3,0.69138,0.693782,5.77946,6.28743,0.0984333,0.122847,0.6493,0.73346,"Chinchilla R12: R12 T4-consistent profile membership (RE sigma*, N_F (147 runs))","Chinchilla R13: R13 five highest-loss runs dropped (RE sigma*, N_F (132 runs))"
"Chinchilla windows, samples and profile memberships: both grids and R11-R13 (k >= 8)",26,0.674222,0.701663,4.41578,14.7703,0.00202388,0.219926,0.595859,0.752586,"Chinchilla N_F grid: 132 runs: order 2, h = 0.6, frontier auto, centre path","Chinchilla N_F grid: 137 runs: order 2, h = 1.25, frontier auto, centre path"
Chinchilla grid incl. the h = 0.6 window with seven budgets (137 runs),12,0.674027,0.701663,4.41578,14.0552,0.00283093,0.219926,0.589433,0.758621,"Chinchilla N_F grid: 137 runs: order 2, h = 0.6, frontier auto, centre path","Chinchilla N_F grid: 137 runs: order 2, h = 1.25, frontier auto, centre path"
"Chinchilla only: counts and conventions (rb4 rows), windows, samples and memberships (grids k >= 8, R11-R13)",38,0.674222,0.701663,4.41578,14.8904,0.00191272,0.219926,0.595859,0.752586,"Chinchilla N_F grid: 132 runs: order 2, h = 0.6, frontier auto, centre path","Chinchilla N_F grid: 137 runs: order 2, h = 1.25, frontier auto, centre path"
"rb1's published variant rows (accounting, conventions, aggregation, estimators)",28,0.662912,0.699742,0.378037,46.479,4.48589e-10,0.944741,0.59798,0.751947,"Marin config N + Farseer at the CV bandwidth (R4's 'both', one per study)","FLOP-accounting elasticity eta = +0.1 for Meta only (unobserved; Chinchilla's accounting rebuilt, rb4)"
"All: rb1's rows, Chinchilla's grids (k >= 8) and R11-R13",54,0.662912,0.701663,0.378037,46.479,4.48589e-10,0.944741,0.595859,0.752586,"Marin config N + Farseer at the CV bandwidth (R4's 'both', one per study)","Chinchilla N_F grid: 137 runs: order 2, h = 1.25, frontier auto, centre path"
All plus Farseer's bandwidth range as uncertainty (T1.6),58,0.662912,0.701663,0.378037,46.479,4.48589e-10,0.944741,0.595859,0.752586,"Marin config N + Farseer at the CV bandwidth (R4's 'both', one per study)","Chinchilla N_F grid: 137 runs: order 2, h = 1.25, frontier auto, centre path"
