sample,n,n_dev,theta_c,theta_c_se,res_p9010,res_ce,dev_p9010,dev_ce,pooled_slope,res_ce_lo,res_ce_hi,theta_c_lo,theta_c_hi
all,104,23,4.756044977872121,1.0176485912713324,9.974718768839107,8.143920915176276,32.5303310861742,934.2894173017663,6.929925025935416,3.377576139260812,19.23859393370864,3.5693986648384244,6.583910520559767
Confident only,66,17,4.981430548275564,0.38776486894393497,6.297449696193732,3.5402062340099874,23.755275530895858,117.77379337516894,6.946774747683723,2.578052923938932,5.611546230308665,4.530293831869448,5.704900687384727
