period,n,s_k1_lo,s_k1_hi,s_k1,band_lo,band_hi,status
2019-2022,33,0.04454361353333482,0.1241896177857806,0.0712081929163152,0.02885155901556277,0.5217283457041747,"SUPERSEDED preliminary (m3 universe, kappa = 1 reference)"
2023,81,0.22223620418121756,0.5360261831086706,0.3509190412482262,0.12859180738591533,0.7797101807245391,"SUPERSEDED preliminary (m3 universe, kappa = 1 reference)"
2024,95,0.3853052037146078,0.6939073075283926,0.5361553705007681,0.2108068966927235,0.8518280901646129,"SUPERSEDED preliminary (m3 universe, kappa = 1 reference)"
2025,58,0.6786766939515392,0.850034398273046,0.7628902291019839,0.5122029001461044,0.9060169846753593,"SUPERSEDED preliminary (m3 universe, kappa = 1 reference)"
2026,4,0.6370564133125499,0.8359313462259439,0.7357646229654635,0.39344460604147613,0.9037936232795043,"SUPERSEDED preliminary (m3 universe, kappa = 1 reference)"
All 2019-2026,271,0.5558006602528441,0.7869610061443841,0.6673079290092709,0.3762268636465504,0.87758719362515,"SUPERSEDED preliminary (m3 universe, kappa = 1 reference)"
