convention,n,sigma_chin,se_sigma_chin,sigma_kappa,se_sigma_kappa,kappa,a_chin,qlr_kappa1,B
T (ra1 reproduction),137,0.691913,0.0133937,0.666932,0.0225945,0.810935,0.567648,7.81293,399
N_F (T4),137,0.689623,0.0149277,0.655998,0.0281754,0.771069,0.566992,12.3687,399
