dataset,step,a_step,a_tuned,delta_a_obs,slope_shift_obs,delta_a_pred_model,delta_a_pred_local,delta_a_pred_local_bw05,min_loss_tuned,n_budgets,tech5_E,tech5_alpha,tech5_beta,tech5_a
rw,2,0.7047124717051724,0.4961363762138621,0.2085760954913103,0.19861253389811948,0.17372153003899973,0.10880699707549996,0.14130219580786357,3.0973160553865133,11,3.130757011032141,0.6298123026919362,0.70846517753063,0.5293858620506762
rw,3,0.6017766697477046,0.4961363762138621,0.10564029353384252,0.10702603558468801,0.09766056086860747,0.05586070229240858,0.06645395926299817,3.0973160553865133,12,3.130757011032141,0.6298123026919362,0.70846517753063,0.5293858620506762
rw,4,0.5715089375242319,0.4961363762138621,0.07537256131036985,0.07527071694036393,0.06842018132093748,0.035497442894716645,0.045418877759664175,3.0973160553865133,12,3.130757011032141,0.6298123026919362,0.70846517753063,0.5293858620506762
owt2,2,0.6996713542566328,0.5171690017651958,0.1825023524914371,0.17860304964941848,0.19801380996373136,0.11229177000704783,0.15141159892662895,2.766619756305658,11,2.7612439169635445,0.6362353042692246,0.6485291512809086,0.5047844750680076
owt2,3,0.6020593630878439,0.5171690017651958,0.08489036132264816,0.08324913001040864,0.09357271826485689,0.051190222224174624,0.06048247255581086,2.766619756305658,12,2.7612439169635445,0.6362353042692246,0.6485291512809086,0.5047844750680076
owt2,4,0.5740672507607674,0.5171690017651958,0.05689824899557161,0.05201345148323854,0.06507963118314429,0.03221082109785157,0.039502478894501036,2.766619756305658,12,2.7612439169635445,0.6362353042692246,0.6485291512809086,0.5047844750680076
