key,label,group,a,a_global,d_elasticity,n_conv,source,gD_hat,gD5_hat,gD_4x,gD5_4x,gD_4.5x,gD5_4.5x,gD_5x,gD5_5x,a_lo,a_hi,gD_hat_lo,gD_hat_hi,Dstar_now_T,Mstar_now,data_multiple_obs,year_unique_opt,year_unique_obsOT,year_unique_OT5,year_effective_opt,year_effective_obsOT,year_effective_OT5,data_multiple_obs_withMoE,year_unique_obsOT_withMoE,year_effective_obsOT_withMoE
chin,"Chinchilla refit, kappa = 1 (reference)",Chinchilla,0.5138995166400605,0.5138995166400605,0.4861004833599395,total,m1 chin_n240_huber; pairs bootstrap B=400,2.1997011701016564,51.5013281589657,1.9618312710890564,29.060846732263823,2.0774324861618325,38.69319512140788,2.1866015768754257,49.98598848519207,0.48232976185614906,0.5582010562907261,2.0472073284625116,2.3152530579699677,47.80468201993195,14.589988229562481,1.4268791803556824,2027.906256576772,2027.4255607069788,2026.818109400101,2029.4790780692372,2028.9983821994442,2028.3909308925665,1.5523253964891168,2027.3116177431634,2028.8844392356289
besi,Besiroglu et al. (published),Chinchilla,0.5126121076233184,0.5126121076233184,0.48738789237668156,total,literature point estimate (sl.py),2.2042985564880255,52.041772665908745,1.9653357323405023,29.321335772839547,2.0814590463352545,39.069634809102865,2.191136923021179,50.50653633399023,,,,,48.89119868515317,15.260734766847955,1.4020026652987307,2027.8726365704333,2027.4170096136609,2026.7875527715746,2029.441030218425,2028.9854032616527,2028.3559464195664,1.5241102258469668,2027.304405875801,2028.8727995237928
hoff,Hoffmann et al. A3 (published),Chinchilla,0.45649735619291776,0.4564973561929178,0.5435026438070822,total,literature point estimate (sl.py),2.4143064538013936,82.02797239350231,2.1243261588333415,43.261939445193214,2.2647628277413947,59.58180297210429,2.3982367035041987,79.33415977304735,,,,,132.71428326663633,112.44739683471815,0.6394945948736426,2026.548215722729,2027.0851666612637,2025.5817278640934,2027.9451893204732,2028.4821402590078,2026.9787014618375,0.6722321055062772,2027.0252048620646,2028.4221784598087
chin_nls,"Chinchilla, NLS in levels",Chinchilla,0.5445761265805437,0.5445761265805437,0.45542387341945634,total,m1 chin_n240_nls_lev; pairs bootstrap,2.092945660576499,40.15963566865872,1.8801499750836936,23.49429764272337,1.9837574611041335,30.721531784483386,2.081266178373052,39.051537204554144,0.5072226857138691,0.5726601924842816,1.9997614850601726,2.223648923899318,28.978696507906516,5.361320462498718,2.0955849293907676,2028.7168984250397,2027.6443387213762,2027.5502710166998,2030.4031562225832,2029.3305965189197,2029.2365288142432,2.3207577125992076,2027.4963775266697,2029.1826353242132
chin245,"Chinchilla, all 245 runs",Chinchilla,0.5646443737941063,0.5646443737941063,0.43535562620589374,total,m1 chin_n245_huber; pairs bootstrap,2.0259268380795166,34.1286247730312,1.828564165172444,20.44330098148677,1.9247739974699707,26.417925730564264,2.015118192905602,33.227878952591745,0.503022737340205,0.6283845258954189,1.8269692706143075,2.238846952658284,20.25482774962995,2.6192152002838847,2.789111955388455,2029.3603315245282,2027.799672207554,2028.135934849258,2031.1300897405627,2029.5694304235885,2029.9056930652926,3.1132726514012945,2027.6323791289115,2029.4021373449461
farseer,"Farseer, kappa = 1 (non-emb. N)",Design sweeps,0.5262862914401026,0.5262862914401026,0.47371370855989736,nonemb,m2 farseer/all/huber; pairs B=400,2.1559545488289,46.579841322031925,1.9284308535137809,26.669836689821047,2.039086842850511,35.25158200903058,2.1434416871761375,45.24372610773074,0.482206296047632,0.5661590034889961,2.020956635312087,2.3157168212693904,43.4498134655665,12.05285429944247,1.4978526447879674,2028.0719129604072,2027.5103225585333,2026.9533830691994,2029.6886500071723,2029.1270596052984,2028.5701201159645,1.6413668026662742,2027.383145357708,2028.999882404473
farseer_emb,"Farseer, kappa = 1 (N incl. emb.)",Design sweeps,0.41107534815931157,0.41107534815931157,0.5889246518406884,total,m2 farseer/N_incl_emb/huber; pairs B=200,2.5988631230844814,118.55422433590512,2.2623925957450606,59.27067236604001,2.4248950794273627,83.84260458177289,2.580124522334207,114.341354406651,0.3775731315693435,0.44297199014831784,2.4678483005153304,2.743969378431636,189.29394807596665,228.76392150615337,0.5334910797206531,2026.1710276598155,2026.8643125249996,2025.2830951542005,2027.4544563711436,2028.1477412363276,2026.5665238655286,0.545243951357189,2026.84026822632,2028.123696937648
farseer_q,"Farseer, kappa free",Design sweeps,0.5206724642363436,0.5206724642363436,0.4793275357636564,nonemb,m2 farseer/all/huber_q; the wedge uses the inner aggregator (q cancels),2.175672164524847,48.749175758870145,1.9434972570403124,27.728071172876227,2.0563770321871515,36.77170122766301,2.162895662772388,47.334505970844376,0.5129030350889041,0.5263503927874771,2.1557304394106573,2.2032588042119756,46.45443838277912,13.777439162240956,1.431107327634999,2027.9633433591732,2027.4713390593038,2026.8587908583715,2029.5598773116228,2029.0678730117534,2028.4553248108211,1.5631066491268557,2027.3502394963145,2028.9467734487641
gadre_rw,Gadre et al. RefinedWeb,Design sweeps,0.5655649742397674,0.5655649742397674,0.43443502576023263,total,m2 gadre/RefinedWeb/huber; B=400,2.022904464699439,33.87480973529085,1.8262319976496753,20.313265233657088,1.922110695137986,26.23565892471785,2.0121347053142684,32.98262820201365,0.4587973509286858,0.6795559873852421,1.6814767856629687,2.405319208880865,9.298631659480767,0.5520166323227031,6.055698806582687,2030.5535643774026,2027.8070667840443,2029.3263800651694,2032.3273518786502,2029.5808542852922,2031.100167566417,6.761513333020402,2027.6389418414678,2029.4127293427155
gadre_c4,Gadre et al. C4,Design sweeps,0.5093775244848627,0.5093775244848627,0.49062247551513727,total,m2 gadre/C4/huber; B=400,2.215891817942947,53.4247833178616,1.9741682516519303,29.98615743152723,2.091610149390012,40.03166952035841,2.202573419266464,51.83844543956484,0.35689065162299677,0.6400427719084323,1.7927537085969842,2.8375683055734973,28.81081094852543,5.299379719718809,2.4085548409338866,2028.572688043282,2027.3957321413034,2027.495225331851,2030.1300660765116,2028.953110174533,2029.052603365081,2.613356285094428,2027.2864641542576,2028.8438421874873
