key,label,group,a,a_global,d_elasticity,n_conv,source,gD_hat,gD5_hat,gD_4x,gD5_4x,gD_4.5x,gD5_4.5x,gD_5x,gD5_5x,a_lo,a_hi,gD_hat_lo,gD_hat_hi,Dstar_now_T,Mstar_now,data_multiple_obs,year_unique_opt,year_unique_obsOT,year_unique_OT5,year_effective_opt,year_effective_obsOT,year_effective_OT5,data_multiple_obs_withMoE,year_unique_obsOT_withMoE,year_effective_obsOT_withMoE
gadre_rp,Gadre et al. RedPajama,Design sweeps,0.5289881222161921,0.5289881222161921,0.47101187778380793,total,m2 gadre/RedPajama/huber; B=400,2.146528624186241,45.57046090232418,1.9212213626786414,26.175020788306327,2.030817292125782,34.5425395508461,2.1341413190819574,44.27064722399157,0.48509688984402255,0.6627708964679879,1.7278761948500534,2.3048870369518095,20.17556381776466,2.598755576993255,3.192898580231284,2029.1529688510373,2027.5294320000773,2028.0275850323887,2030.7796126499563,2029.1560757989964,2029.654228831308,3.5043152752377122,2027.3992810153527,2029.0259248142718
olmo,OLMo ladder (AI2),Lab laws,0.3701326547720303,0.3701326547720303,0.6298673452279697,olmo,m2 olmo_ladder/all/huber; B=400,2.777279624923627,165.23347638444653,2.394517020507859,78.72082593232547,2.578916209717356,114.07386585041307,2.755867803535423,158.96148275829546,0.11301595925232755,0.8166063211321741,1.3463728712741223,4.214155861460639,518.9945692262901,1719.64856173194,0.22776198049751292,2025.1721472018219,2026.6931525743378,2024.3448272989865,2026.3679657015812,2027.8889710740973,2025.5406457987458,0.22873913127976203,2026.6887512877956,2027.8845697875552
meta_a2,"Llama 3 (Meta's IsoFLOP law, A2)",Lab laws,0.46322087290540415,0.4632208729054042,0.5367791270945959,total,m1 llama_3_A2A1_kappa1; stratified B=200,2.388124584139592,77.67565015272622,2.1046177875935355,41.292025133916745,2.241975399732372,56.64403921242244,2.372425092454469,75.15580725632311,0.44631121078475744,0.500576188299198,2.2477468815680592,2.454519973559203,90.10524606472485,51.83394075542376,0.9180339326869748,2027.017058866291,2027.1211346008172,2026.0377463047303,2028.4325694494978,2028.5366451840239,2027.453256887937,0.9689878775882428,2027.055397042765,2028.470907625972
meta_a3,"Llama 3 IsoFLOPs, primal (A3)",Lab laws,0.5268194506631989,0.5268194506631989,0.4731805493368011,total,m1 llama_3_A3_huber; stratified B=200,2.154091234532025,46.37890250824659,1.9270060467524033,26.57145811962315,2.0374523285972117,35.11052153055111,2.1416032173388824,45.05002674127632,0.4662044886526193,0.5606571980321308,2.0390692032066506,2.3765974142642308,32.323224070620704,6.670270091905403,2.0093928406962096,2028.4852042430462,2027.514075347062,2027.3653284683405,2030.1038866465951,2029.132757750611,2028.9840108718893,2.202601795887982,2027.386313864457,2029.004996268006
chin_q,"Chinchilla refit, kappa free",Chinchilla,0.5036073373884584,0.5036073373884584,0.4963926626115416,total,m2 chinchilla/all/huber_q; pairs B=200,2.236724699877271,55.98383796789222,1.9900233037195492,31.20978743302346,2.1098418324616395,41.807047207364796,2.2231234592427254,54.30226035870415,0.4815008480909371,0.534943283960486,2.125898043263293,2.3183674857332712,56.703415850243225,20.527332532263703,1.2508928117367921,2027.6545148086332,2027.358494044512,2026.5903848525707,2029.1926215110661,2028.896600746945,2028.1284915550038,1.3526486905060557,2027.2550759059943,2028.7931826084275
chin_a2,Chinchilla IsoFLOP argmins (A2),Chinchilla,0.4977457148047584,0.4977457148047584,0.5022542851952416,total,m1 A2 on n = 240,2.2580882556505433,58.7089833601401,2.006259982158374,32.503943390657035,2.128525140947761,43.691194763844535,2.244195462292965,56.92504721525124,,,,,58.328881061529195,21.721077474930873,1.243425766719656,2027.6061063245525,2027.3215794750122,2026.5551867421714,2029.125118588205,2028.8405917386647,2028.0741990058239,1.3399177239636801,2027.2239757712284,2028.742988034881
marin_comma,"Marin (Comma), A2",Lab laws,0.4049294587482616,0.4049294587482616,0.5950705412517384,total,m1 marin_202603__comma__llama_2_A2A1_kappa1,2.6248953648698197,124.61203256529441,2.281750555357474,61.85015958500278,2.4474144740024557,87.80871478263543,2.6057722741137757,120.13852455700022,,,,,182.77071428892847,213.2687837542393,0.5657213944190618,2026.2153633719468,2026.8370856279128,2025.3370897653429,2027.4848309902497,2028.1065532462158,2026.6065573836458,0.5759497720690966,2026.8175290466277,2028.0869966649307
marin_dclm,"Marin (DCLM), A2",Lab laws,0.42357907148571594,0.423579071485716,0.5764209285142841,total,m1 marin_202603__dclm__llama_2_A2A1_kappa1,2.546695108886784,107.12350426445614,2.223514568113391,54.350043511920816,2.3797172773722948,76.31797150971036,2.528721137951735,103.39622775581626,,,,,120.45006898014077,92.62499127933143,0.7991601167425156,2026.6685029827313,2026.9215417615071,2025.7602487872,2027.9813049179659,2028.2343436967417,2027.0730507224346,0.8231859375763284,2026.8881099687505,2028.2009119039851
marin_nemotron,"Marin (NEMOTRON), A2",Lab laws,0.42237348227196825,0.4223734822719683,0.5776265177280318,total,m1 marin_202603__nemotron__llama_2_A2A1_kappa1,2.5516791114646087,108.17584394824627,2.2272338385559403,54.80612302792719,2.3840363321751306,77.01305442468076,2.5336324318495107,104.40421876869414,,,,,126.18503406324155,101.65524059588215,0.766371786179256,2026.6162516120808,2026.9159131181395,2025.7099972322887,2027.926162988719,2028.2258244947775,2027.019908608927,0.7888183503951128,2026.883401961203,2028.193313337841
muenn,"Muennighoff et al., single epoch",Design sweeps,0.5351989283763525,0.5351989283763525,0.4648010716236475,authors' PARAMS_MAP,m2 datablations/single_epoch/huber,2.1250168282802995,43.33231266730975,1.9047506443072495,25.072096215440283,2.0119346786415,32.966237416166,2.1129149065066373,42.11240412354091,,,,,59.556797225179196,22.645230388174973,1.0564859502440607,2027.6521861255314,2027.5742441772927,2026.510723889944,2029.3020698687046,2029.2241279204661,2028.1606076331175,1.1637064155881414,2027.4371331568354,2029.0870169000088
farseer_eq3,Farseer Eq. 3 (own form; local at 1e22-1e23),Design sweeps,0.35727181514266704,0.3572718151406945,0.642728184857333,non-emb.,m2_farseer_eq3_Mstar.csv,2.8358129394552383,183.3951722791637,2.4375914920868227,86.06065101127248,2.629287600376328,125.65809357633573,2.8135051999384295,176.29443801541566,,,,,419.2236088595795,1122.0327633482975,0.29630560202938583,2025.4196913113449,2026.6439659003354,2024.6097388334542,2026.5904067186113,2027.8146813076016,2025.7804542407207,0.3000267316834794,2026.6314045194754,2027.8021199267416
deepseek,DeepSeek LLM (published law),Lab laws,0.5243,0.5243,0.4757,non-emb. FLOPs/token,bi2024deepseek eq. 4,2.162910548738277,47.33613487406068,1.9337482686749383,27.039564301200425,2.0451877971926464,35.782111445528955,2.150304833139474,45.97271529393437,,,,,39.524056558379236,9.973259014049495,1.6590711672725158,2028.1969624893252,2027.496419126287,2027.0834183549987,2029.8064930609485,2029.1059496979103,2028.692948926622,1.81593263039412,2027.371407785807,2028.9809383574302
kaplan,"Kaplan et al. (2020), historical",Historical,0.73,0.73,0.27,,kaplan2020scaling (N ~ C^0.73; growth only),1.5493970702226865,8.929222647211546,1.4539725173203106,6.498019170849885,1.5009539867671653,7.617928525147791,1.5442652584441634,8.782325024730138,,,,,,,,,,,,,,,,
ra1_chinchilla,Chinchilla (ra1 model-free A2 path),ra1 model-free A2,0.5016543281288446,0.5016543281288446,0.4983456718711554,,"ra1_modelfree_isoflop_budgets.csv; 9 budgets, C up to 3.0e+21",2.243820185183864,56.87746775052732,1.9954184840868359,31.63515410770223,2.116048556084588,42.42561487393318,2.2301222794591284,55.16242908527271,,,,,,,,,,,,,,,,
ra1_llama_3,Llama 3 (ra1 model-free A2 path),ra1 model-free A2,0.4958659981291548,0.4958659981291548,0.5041340018708452,,"ra1_modelfree_isoflop_budgets.csv; 8 budgets, C up to 1.0e+21",2.2649822790263774,59.610675393653366,2.011494793509839,32.93021483020904,2.134551505987794,44.313208186284676,2.250995078494314,57.7926657674315,,,,,,,,,,,,,,,,
ra1_marin_comma,"Marin, Comma (ra1 model-free A2 path)",ra1 model-free A2,0.35300929054970775,0.3530092905497078,0.6469907094502922,,"ra1_modelfree_isoflop_budgets.csv; 5 budgets, C up to 3.0e+20",2.855483816914981,189.844716958732,2.452038139033012,88.64129752540778,2.646198553540523,129.75142570033364,2.8328729596082907,182.44648258532294,,,,,,,,,,,,,,,,
ra1_marin_dclm,"Marin, DCLM (ra1 model-free A2 path)",ra1 model-free A2,0.41890666467415527,0.4189066646741552,0.5810933353258447,,"ra1_modelfree_isoflop_budgets.csv; 7 budgets, C up to 3.0e+20",2.566065633087434,111.25993486468846,2.2379637539965143,56.1390736582944,2.3965000274720145,79.04732750295183,2.5478086697772464,107.35791181007718,,,,,,,,,,,,,,,,
ra1_marin_nemotroncc,"Marin, Nemotron-CC (ra1 model-free A2 path)",ra1 model-free A2,0.42741582555063395,0.427415825550634,0.572584174449366,,"ra1_modelfree_isoflop_budgets.csv; 7 budgets, C up to 3.0e+20",2.5308983561419605,103.8421134774429,2.2117193783657685,52.92368983176535,2.3660240126201235,74.1473680273239,2.5131543528410973,100.25263920684354,,,,,,,,,,,,,,,,
ra1_porian_refinedweb,"Porian, RefinedWeb (ra1 model-free A2 path)",ra1 model-free A2,0.49963553793397875,0.4996355379339787,0.5003644620660213,,"ra1_modelfree_isoflop_budgets.csv; 12 budgets, C up to 2.6e+19",2.2511783190343735,57.81619243717722,2.001010758736221,32.08094247087094,2.122483525941128,43.07463839999259,2.2373799929298803,56.065893935849964,,,,,,,,,,,,,,,,
ra1_porian_openwebtext2,"Porian, OpenWebText2 (ra1 model-free A2 path)",ra1 model-free A2,0.506902243429014,0.506902243429014,0.493097756570986,,"ra1_modelfree_isoflop_budgets.csv; 12 budgets, C up to 2.6e+19",2.224804786423876,54.50791261091347,1.98095418336518,30.50507908347051,2.099411757596553,40.78384105134966,2.2113655573491884,52.881370892865725,,,,,,,,,,,,,,,,
