year,n,C_total,multiple_ref,multiple_ref_lo,multiple_ref_hi,band_lo,band_hi,multiple_trunc_ref,multiple_trunc_ref_lo,multiple_trunc_ref_hi,band_trunc_lo,band_trunc_hi,median_w_ref
2019,1,4.6386183e+21,1.7380105143961542,1.3233714186083847,2.447795964132149,0.85263167509638,3.8841982299552926,1.7380105143961542,1.3233714186083847,2.447795964132149,0.85263167509638,3.8841982299552926,2.738010514396154
2020,1,2e+21,1.010413954908171,0.7644168239654101,1.3977512695752734,0.5536814856366057,2.561468804213391,1.010413954908171,0.7644168239654101,1.3977512695752734,0.5536814856366057,2.561468804213391,2.010413954908171
2021,10,1.0678699790864e+23,0.6342592238447841,0.3782825834006377,1.0493415844900766,0.20485716794338532,2.583698284693855,0.6470990182475305,0.4030418845090806,1.05820924589877,0.2568137197446105,2.583698284693855,1.9284340238307474
2022,21,1.58884167487836e+24,-0.3969367831098777,-0.5033492295890778,-0.22677477532369808,-0.675127504532374,0.9942711592248512,0.032302845388092374,0.017935485183758988,0.07203029228153911,0.01102701577980609,0.9942711592248512,1.0680192861353355
2023,81,1.4077566432773893e+25,0.5258534502184868,0.1991733646057753,1.147693936107616,-0.18158073728291355,3.539480213935627,0.5406398639748532,0.2857374560482318,1.155294535407538,0.14756825849339922,3.539480213935627,1.9978822725722232
2024,95,1.2212499067743729e+26,1.1558943154728405,0.5961756451308786,2.2671206909827877,-0.04009726312135216,5.748970187736509,1.1558943154728405,0.6268236055191683,2.2671206909827877,0.26711721209538297,5.748970187736509,3.6578917699623608
2025,58,9.233900535879168e+25,3.217455890630981,2.112138942314759,5.668306374796556,1.0501343591802346,9.640338484730439,3.217455890630981,2.112138942314759,5.668306374796556,1.0501343591802346,9.640338484730439,5.01242186237803
2026,4,2.0311969177599927e+25,2.784504600492222,1.7552494862627537,5.095033249164115,0.6486643344097555,9.394637687103506,2.784504600492222,1.7552494862627537,5.095033249164115,0.6486643344097555,9.394637687103506,3.7741699032620355
all,271,2.5055579893768978e+26,2.0022243092544447,1.2271079854503097,3.690776561387281,0.43824922470733646,7.169123972970457,2.005782485353751,1.2512424943127838,3.6939906424991444,0.6031476153942237,7.169123972970457,2.8609703365191614
