sample,objective,sigma_star,obj,LR,LR_KB,kappa,E,a_share,kappa_at_bound
on-path band (n=41),huber,0.69,0.00010013515263393527,1.0676402596494898,0.4785994609944248,0.7298299797438329,1.7158176283753797,0.41608438152225774,False
on-path band (n=41),huber,0.7,0.00010016019445891096,1.0881442772266385,0.4847542687371226,0.7659695600056771,1.7131635437304427,0.4107247486592104,False
on-path band (n=41),huber,0.71,0.00010018362490308989,1.1073242692778005,0.4897512761440157,0.8049006797829396,1.7103033755152073,0.4050013682624735,False
on-path band (n=41),huber,0.72,0.00010020538011224765,1.1251289103838051,0.49355079169833177,0.8469947881042899,1.7072151632598105,0.39887718285250007,False
on-path band (n=41),huber,0.73,0.0001002253885702926,1.14150058401377,0.49610927143011374,0.892696939569962,1.703873959791779,0.3923103127572967,False
on-path band (n=41),huber,0.74,0.00010024356993809583,1.1563744295711755,0.497371041397791,0.942545612242488,1.7002508856083227,0.3852527661151113,False
on-path band (n=41),huber,0.75,0.00010025983373806352,1.169677262099935,0.4972790168621518,0.997199747929992,1.6963127593606098,0.3776495520486688,False
on-path band (n=41),huber,0.76,0.00010027407785175615,1.1813263374657854,0.4957392176946588,1.0574748508063905,1.692020813045913,0.36943715103828634,False
on-path band (n=41),huber,0.77,0.0001002861867944509,1.1912279329181814,0.4926838242176862,1.124395034747626,1.6873305768005036,0.3605425066658058,False
on-path band (n=41),huber,0.78,0.00010029602971686173,1.199275701582573,0.48800833865018917,1.1992649680798142,1.6821892072164237,0.3508799497718319,False
on-path band (n=41),huber,0.79,0.00010030345808145767,1.2053487569410837,0.48159123504015594,1.2837762740090968,1.67653494759259,0.34034946942648525,False
on-path band (n=41),huber,0.8,0.0001003083029418957,1.2093094275814236,0.4735450473706962,1.3801651770630141,1.6702943990175196,0.32883319107417497,False
on-path band (n=41),huber,0.82,0.00010030944451684535,1.2102426366026406,0.4731982844187072,1.6218497281936064,1.6556863968739846,0.3022552407671353,False
