period,n,C_total,s_ref,m_ref,s_ref_lo,s_ref_hi,s_ref_pairs_lo,s_ref_pairs_hi,B_wild,B_pairs,s_k1,s_k1_lo,s_k1_hi,median_model_s_ref,top_model,top_share_C,loo_min,loo_max,loo_most_influential,s_without_most_influential,n_clean,s_clean_ref,s_clean_ref_lo,s_clean_ref_hi,s_clean_labown,tech_min,tech_min_key,tech_max,tech_max_key,tech_median,n_tech,envelope_min,envelope_max,source
2019-2022,8,6.820352696558001e+23,0.039320427396036826,0.040929804814582575,0.031846301752491174,0.04880707599033985,0.03144836318880148,0.06043492795070969,399,200,0.03051468516194535,0.023743188592566494,0.05213099457154525,0.21816791591330353,OPT-175B,0.4618621851608538,0.02540423854509051,0.07068225441280557,OPT-175B,0.07068225441280557,,,,,,,,,,,,,,ra2_wedge final: clean open-weight universe (rebuilt with ra2 code) and clean verified sample
2023,53,1.2560591559023827e+25,0.3477812049731015,0.533227818064885,0.25160392236678986,0.45735615157842424,0.26444736184901746,0.5221646135511593,399,200,0.3295116529381815,0.20152888384584203,0.5230565285494109,0.5084827527461231,falcon-180B,0.300143018726818,0.33371233694482416,0.43243402104310036,falcon-180B,0.43243402104310036,24.0,0.2765747619447369,0.18810404181216706,0.3993579645758782,0.2727432333283492,0.007246671372526216,minicpm,0.5802231887213408,gadre_rw,0.21807419445901416,32.0,0.00689780357587165,0.6018185158291881,ra2_wedge final: clean open-weight universe (rebuilt with ra2 code) and clean verified sample
2024,56,9.79044113249029e+25,0.5352970422731679,1.1519122772354577,0.4119150866775835,0.6409354522741227,0.42644239382668236,0.7061604385312894,399,200,0.5012229145217472,0.3388822371513046,0.6746036770665015,0.8121664447968584,Llama-3.1-405B,0.3880098626568978,0.5197816283658364,0.6290024789261534,Llama-3.1-405B,0.6290024789261534,40.0,0.5847245285923777,0.4660980615197284,0.6793413127541056,0.5552945350456888,0.053989183245384494,minicpm,0.7389192234802766,muen_q,0.5117994364476001,32.0,0.04283209890335048,0.8140259943124444,ra2_wedge final: clean open-weight universe (rebuilt with ra2 code) and clean verified sample
2025,24,2.858678884723968e+25,0.8190952726708131,4.52777152241207,0.7605205562152382,0.8632721764097182,0.7640569094141764,0.8979510201993142,399,200,0.77252292628703,0.6933458547268178,0.8546711849685208,0.8494652618095685,Apertus-70B-2509,0.22227007857210015,0.8095595439831006,0.8423556467962684,Apertus-70B-2509,0.8423556467962684,13.0,0.8291467257178424,0.773109304991043,0.8721327901975464,0.8238572711071476,0.24037692695254803,marin_comma_a2,0.9555876690696404,muen_q,0.7684875852596136,32.0,0.20534503914947813,0.957602147121531,ra2_wedge final: clean open-weight universe (rebuilt with ra2 code) and clean verified sample
All 2019-2025,141,1.397338270008222e+26,0.64048314328921,1.781510745139944,0.542681069679232,0.7210434005453913,0.5516519355730979,0.7800057650595162,399,200,0.5906972486165303,0.46081590447025295,0.7318353853253371,0.6886179652946939,Llama-3.1-405B,0.27185884768944657,0.6254133482149965,0.7002981893558162,Llama-3.1-405B,0.7002981893558162,77.0,0.6575274933783338,0.5598258263894678,0.7356336966352088,0.6392482756710708,0.09953138428522519,olmo,0.8550458372858207,muen_q,0.5759293386527309,32.0,0.07315201101040986,0.8798552121568152,ra2_wedge final: clean open-weight universe (rebuilt with ra2 code) and clean verified sample
