mx,mz,hx,hz,loocv_rmse,conv
0.2,0.2,0.2367553382436686,0.33104510281456845,0.0008951265152297244,ne
0.2,0.3,0.2367553382436686,0.49656765422185256,0.0008640610551549277,ne
0.2,0.45,0.2367553382436686,0.7448514813327789,0.0008508131940249022,ne
0.2,0.6,0.2367553382436686,0.9931353084437051,0.0008652034751517488,ne
0.2,0.8,0.2367553382436686,1.3241804112582738,0.0009311784189921986,ne
0.2,1.0,0.2367553382436686,1.655225514072842,0.0010178964908234998,ne
0.3,0.2,0.35513300736550285,0.33104510281456845,0.0009968829521413078,ne
0.3,0.3,0.35513300736550285,0.49656765422185256,0.0009593611110253553,ne
0.3,0.45,0.35513300736550285,0.7448514813327789,0.0009429088383622465,ne
0.3,0.6,0.35513300736550285,0.9931353084437051,0.0009533119281985637,ne
0.3,0.8,0.35513300736550285,1.3241804112582738,0.0010083692694751402,ne
0.3,1.0,0.35513300736550285,1.655225514072842,0.0010835711452324723,ne
0.45,0.2,0.5326995110482543,0.33104510281456845,0.0010732986148482317,ne
0.45,0.3,0.5326995110482543,0.49656765422185256,0.0010402822510150777,ne
0.45,0.45,0.5326995110482543,0.7448514813327789,0.0010278382140938224,ne
0.45,0.6,0.5326995110482543,0.9931353084437051,0.0010395112220691045,ne
0.45,0.8,0.5326995110482543,1.3241804112582738,0.0010904003115153773,ne
0.45,1.0,0.5326995110482543,1.655225514072842,0.001160022655386394,ne
0.6,0.2,0.7102660147310057,0.33104510281456845,0.0011228031618354564,ne
0.6,0.3,0.7102660147310057,0.49656765422185256,0.0010967103608850606,ne
0.6,0.45,0.7102660147310057,0.7448514813327789,0.0010889366137142777,ne
0.6,0.6,0.7102660147310057,0.9931353084437051,0.0011040685707129267,ne
0.6,0.8,0.7102660147310057,1.3241804112582738,0.0011573217726253947,ne
0.6,1.0,0.7102660147310057,1.655225514072842,0.0012274893056072771,ne
0.8,0.2,0.9470213529746744,0.33104510281456845,0.0011867765434953625,ne
0.8,0.3,0.9470213529746744,0.49656765422185256,0.0011636615535517473,ne
0.8,0.45,0.9470213529746744,0.7448514813327789,0.001159811985484604,ne
0.8,0.6,0.9470213529746744,0.9931353084437051,0.0011793520777691581,ne
0.8,0.8,0.9470213529746744,1.3241804112582738,0.0012367078706673812,ne
0.8,1.0,0.9470213529746744,1.655225514072842,0.001308509123686223,ne
1.0,0.2,1.183776691218343,0.33104510281456845,0.0012204601155983237,ne
1.0,0.3,1.183776691218343,0.49656765422185256,0.0012000079327667257,ne
1.0,0.45,1.183776691218343,0.7448514813327789,0.0012015641069503835,ne
1.0,0.6,1.183776691218343,0.9931353084437051,0.001227254999875107,ne
1.0,0.8,1.183776691218343,1.3241804112582738,0.0012906108661859918,ne
1.0,1.0,1.183776691218343,1.655225514072842,0.001366116758308236,ne
0.2,0.2,0.20029903890912398,0.33104510281456845,0.0011429964362420987,emb
0.2,0.3,0.20029903890912398,0.49656765422185256,0.001067676922714442,emb
0.2,0.45,0.20029903890912398,0.7448514813327789,0.0010293784509141893,emb
0.2,0.6,0.20029903890912398,0.9931353084437051,0.001027153725259096,emb
0.2,0.8,0.20029903890912398,1.3241804112582738,0.0010711454908639993,emb
0.2,1.0,0.20029903890912398,1.655225514072842,0.0011397087533351672,emb
0.3,0.2,0.30044855836368595,0.33104510281456845,0.001296550024844885,emb
0.3,0.3,0.30044855836368595,0.49656765422185256,0.001215632678910397,emb
0.3,0.45,0.30044855836368595,0.7448514813327789,0.0011743273089699976,emb
0.3,0.6,0.30044855836368595,0.9931353084437051,0.0011682545887837052,emb
0.3,0.8,0.30044855836368595,1.3241804112582738,0.0012002533504480337,emb
0.3,1.0,0.30044855836368595,1.655225514072842,0.0012556191505233127,emb
0.45,0.2,0.45067283754552895,0.33104510281456845,0.0013370144695504834,emb
0.45,0.3,0.45067283754552895,0.49656765422185256,0.0012722302683702265,emb
0.45,0.45,0.45067283754552895,0.7448514813327789,0.0012403490687318314,emb
0.45,0.6,0.45067283754552895,0.9931353084437051,0.0012380608370913056,emb
0.45,0.8,0.45067283754552895,1.3241804112582738,0.001269754184068374,emb
0.45,1.0,0.45067283754552895,1.655225514072842,0.0013229800726231914,emb
0.6,0.2,0.6008971167273719,0.33104510281456845,0.0013744959930388839,emb
0.6,0.3,0.6008971167273719,0.49656765422185256,0.0013208328376590607,emb
0.6,0.45,0.6008971167273719,0.7448514813327789,0.0012959841192317395,emb
0.6,0.6,0.6008971167273719,0.9931353084437051,0.0012981007789186047,emb
0.6,0.8,0.6008971167273719,1.3241804112582738,0.0013336503868062826,emb
0.6,1.0,0.6008971167273719,1.655225514072842,0.0013891015706167325,emb
0.8,0.2,0.8011961556364959,0.33104510281456845,0.0014882724884078497,emb
0.8,0.3,0.8011961556364959,0.49656765422185256,0.0014400644551623833,emb
0.8,0.45,0.8011961556364959,0.7448514813327789,0.001421339337426689,emb
0.8,0.6,0.8011961556364959,0.9931353084437051,0.0014296177371352274,emb
0.8,0.8,0.8011961556364959,1.3241804112582738,0.0014701166537389758,emb
0.8,1.0,0.8011961556364959,1.655225514072842,0.001526766617195582,emb
1.0,0.2,1.0014951945456199,0.33104510281456845,0.0016138477365008172,emb
1.0,0.3,1.0014951945456199,0.49656765422185256,0.0015683499555503204,emb
