E,obj,sigma_kappa,kappa,fine,QLR,tech
0.04154788490132879,0.0023205240942306493,0.6570317303054479,0.20716234009410478,False,426.5718204273729,Chinchilla
0.09941815315675105,0.002299516411425546,0.6573616587703981,0.2122196987309392,False,422.20659582319195,Chinchilla
0.15728842141217328,0.0022775348889222955,0.6577111228758544,0.21753629252334447,False,417.59611137407904,Chinchilla
0.21515868966759555,0.0022545099672138724,0.6580817871421617,0.22313295567368316,False,412.7188174105694,Chinchilla
0.27302895792301773,0.0022303657125947018,0.658484206202396,0.22904017862662773,False,407.55062323710416,Chinchilla
0.33089922617844,0.00220501999745176,0.6589177946913981,0.23528209493907962,False,402.064707697036,Chinchilla
0.3887694944338623,0.002178380650085301,0.6593786747665658,0.24188261357647842,False,396.230404519822,Chinchilla
0.4466397626892845,0.002150352571983642,0.659723756637129,0.24871199552513137,False,390.01442177744036,Chinchilla
0.5045100309447067,0.0021202322900951984,0.6413164742682833,0.23382590134080988,False,383.24346392949815,Chinchilla
0.562380299200129,0.0020879443661552264,0.6423726927085902,0.24160537788200914,False,375.8775623083678,Chinchilla
0.6202505674555513,0.002053965115259713,0.6434436888290163,0.2498628355649134,False,368.0017714848711,Chinchilla
0.6781208357109736,0.002018186795182759,0.6446381870003205,0.2587684523442941,False,359.566901694587,Chinchilla
0.7359911039663958,0.0019804719587982324,0.6459793025987376,0.2684409737605391,False,350.5120363378819,Chinchilla
0.7938613722218181,0.0019406598346631326,0.6474948613594225,0.27898771521220406,False,340.76460763821393,Chinchilla
0.8517316404772403,0.001898489987132903,0.6501438156541984,0.29179389781485393,False,330.2193870179308,Chinchilla
0.9096019087326626,0.0018534963209093883,0.6533565984528742,0.3063342819635828,False,318.70655441745674,Chinchilla
0.9674721769880847,0.0018053426119141157,0.6568860372810444,0.32249521835480954,False,306.0713357629671,Chinchilla
1.025342445243507,0.0017536113831584748,0.6614206968813306,0.3417376584370414,False,292.11625860685484,Chinchilla
1.0832127134989293,0.0016976646878901888,0.6648261662006326,0.36111969688009327,False,276.5528752094614,Chinchilla
1.1410829817543515,0.0016375457524444323,0.6677631368236486,0.3808102170133491,False,259.24649196786123,Chinchilla
1.1989532500097737,0.0015733218696679415,0.6709005682313892,0.4024346668807974,False,240.04197810247658,Chinchilla
1.256823518265196,0.0015049351292335898,0.6733047551680255,0.4244394997892243,False,218.71105126940824,Chinchilla
1.3146937865206183,0.0014327883622009523,0.676379339700978,0.44986217941307316,False,195.12992592948098,Chinchilla
1.3725640547760407,0.0013571483639386694,0.6797912801483631,0.47858199563803183,False,169.09628970591478,Chinchilla
1.4304343230314627,0.0012778989856120984,0.6859044045005996,0.5172666247148417,False,140.2154599414532,Chinchilla
1.4883045912868849,0.0011980446463821684,0.6887158847874207,0.5524082232350942,False,109.24271814482682,Chinchilla
1.5461748595423073,0.0011244943704082277,0.6916623001799796,0.5919315968029628,False,78.83122358565817,Chinchilla
1.6040451277977297,0.0010548268443296097,0.6929030696092391,0.6310220506922749,False,48.131930191336544,Chinchilla
1.6619153960531516,0.0009987710431722287,0.6946838241004456,0.6756952276901305,False,21.920888203611224,Chinchilla
1.668592734698008,0.0009930869174970764,0.6948336400168338,0.6809257573934402,True,19.181347750262272,Chinchilla
1.6752700733428645,0.0009876033485271792,0.6950717610432015,0.6865602515247344,True,16.523567404196676,Chinchilla
1.681947411987721,0.0009823472651996925,0.6953673448157625,0.6924559264134409,True,13.962157015066216,Chinchilla
1.6886247506325773,0.0009773589881966096,0.6956094803116007,0.6983197162694651,True,11.518547797071516,Chinchilla
1.6953020892774338,0.0009727931246110477,0.6957538770022338,0.7039353181352276,True,9.27090925521454,Chinchilla
1.7019794279222902,0.0009686966544068923,0.6960532952808083,0.710169125285872,True,7.245342458817706,Chinchilla
1.7086567665671466,0.0009650856531332892,0.6963495934759137,0.7164966451576339,True,5.452707766515175,Chinchilla
1.715334105212003,0.0009620270778023785,0.6966412582645473,0.7229676894513648,True,3.929063230325688,Chinchilla
1.7197856643085738,0.0009603203930645793,0.6969080356767513,0.7275841112844651,False,3.0767626948653466,Chinchilla
1.7220114438568594,0.0009595623138183915,0.6970179034635473,0.7298112971139641,True,2.697699895063511,Chinchilla
1.7286887825017159,0.0009576490535150414,0.6973875991609189,0.7367366122962496,True,1.739677982490771,Chinchilla
1.7353661211465723,0.0009562693224601174,0.6978921241819042,0.7442172288478773,True,1.0476202339457377,Chinchilla
1.7420434597914287,0.0009552744763341313,0.698748024494602,0.7533524783673831,True,0.5479966481418749,Chinchilla
1.7487207984362851,0.000954551931209313,0.699612641541233,0.762739410912741,True,0.18479957945523365,Chinchilla
1.7553981370811416,0.0009541999589984212,0.7003807696421631,0.7718679178732817,True,0.007776401105292445,Chinchilla
1.7571362425912078,0.0009541845002869439,0.7005534219623522,0.7741442045647106,False,0.0,Chinchilla
1.762075475725998,0.0009543168638642928,0.7009596509161876,0.7802952349679755,True,0.06658053111488549,Chinchilla
1.7687528143708544,0.0009549303744176218,0.7015050856948233,0.7887111898063577,True,0.37506344503941774,Chinchilla
1.7754301530157108,0.0009560389834562265,0.701997904605583,0.7970344557927531,True,0.9319874962117087,Chinchilla
1.7776559325639962,0.0009565136634680482,0.7021612714896784,0.799826367545309,False,1.1702516932462077,Chinchilla
1.7821074916605673,0.000957623347685681,0.7024391633209229,0.805247279456384,True,1.7267933420752064,Chinchilla
1.7887848303054237,0.0009597084632761669,0.702719816844698,0.8127755634577928,True,2.7708023886823896,Chinchilla
1.79546216895028,0.0009621714710535238,0.7030325706152525,0.8204136629571067,True,4.0011023249617255,Chinchilla
1.8021395075951365,0.0009649877525760482,0.703335069722484,0.8280733914731253,True,5.40401296829978,Chinchilla
1.808816846239993,0.0009682357036214695,0.7033492711516469,0.8346678487927821,True,7.016881841426682,Chinchilla
1.8154941848848494,0.0009720636382471181,0.7031969939528899,0.8406281852601729,True,8.910827754310041,Chinchilla
1.8221715235297058,0.0009765011803862743,0.7030678123147077,0.8468277770586319,True,11.097076719420945,Chinchilla
1.8288488621745622,0.000981540221842858,0.7027841434193095,0.8523043667321989,True,13.567652914762723,Chinchilla
1.8355262008194186,0.0009871450911669818,0.7024722254876159,0.857796496989654,False,16.30079114325951,Chinchilla
1.8933964690748408,0.0010656268603529103,0.7028442706199919,0.9241439338307944,False,53.021499350062136,Chinchilla
1.9512667373302628,0.0012166491384642398,0.70734484992036,1.0218557472509509,False,116.63937685734956,Chinchilla
2.009137005585685,0.0014419990533378261,0.7110729059948199,1.1374450151977942,False,198.20573379619333,Chinchilla
