comparison,n,n_fam,mean,sd,sd_lo,sd_hi,sd_mad,sd_within_family_hw,n_within_families
"hardware-time reconstruction (independent of N, D)",27,12,0.016809191691379257,0.29215784945577616,0.1974616303832953,0.4089304854200832,0.29634013519236563,0.20805938552752018,6.0
m4 'independent' set (Hardware*/Reported* Epoch methods),14,8,0.07386353068143328,0.19450268999275758,0.033497211300431914,0.24368342188320868,0.0506083895316908,,
Epoch operation counting (Epoch's own 6ND),51,22,-0.00025895859105276066,0.12913756648972813,0.029184566035376353,0.20471140265771468,0.014523389784114642,,
developer-reported FLOP,5,3,-0.014841877278108798,0.03291189977672263,0.0,0.03807144575557431,0.025273972726760623,,
