sigma,scenario,e,g_w,g_DDstar,g_DDstar_lo,g_DDstar_hi,catchup_multiple,catchup_years,gD_epoch,gD5_epoch,gD5_epoch_vs_baseline,year_unique_epoch,year_effective_epoch,gD_hat,gD5_hat,gD5_hat_vs_baseline,year_unique_hat,year_effective_hat,gD_epoch_lo,gD_epoch_hi,gD_hat_lo,gD_hat_hi
0.6,baseline,0.7499999999999999,1.0,1.0,,,,,2.0388082145399964,35.22750406235848,1.0,2027.4464850231802,2029.1993393714079,2.236724699877271,55.983837967892185,1.0,2027.358494044512,2028.896600746945,,,,
0.6,trend,0.7499999999999999,1.8575361699154302,1.5911200900017186,0.9707923211251498,2.5831302112392516,,,3.243988709815122,359.249911852675,10.197995044347834,2027.1507728709328,2028.181922603018,3.5588976057777906,570.922902160137,10.197995044347842,2027.1187051088177,2028.0715913916472,1.9792593589223055,5.266507093901022,2.17139516311181,5.7777511464780265
0.6,catchup,0.7499999999999999,1.8575361699154302,,,,3.062054342914079,2.4095476615159663,,107.86853180416814,3.062054342914079,2027.1507728709328,2028.181922603018,,171.42555418258237,3.062054342914079,2027.1187051088177,2028.0715913916472,,,,
0.7,baseline,1.1666666666666665,1.0,1.0,,,,,2.0388082145399964,35.22750406235848,1.0,2027.4464850231802,2029.1993393714079,2.236724699877271,55.983837967892185,1.0,2027.358494044512,2028.896600746945,,,,
0.7,trend,1.1666666666666665,1.8575361699154302,2.059492235398512,0.9549360634544116,4.376394512091909,,,4.198909687311826,1305.216839700748,37.05107342803225,2027.072120332515,2027.9113134532465,4.606517152121306,2074.2612913314324,37.05107342803224,2027.0505761991997,2027.8371894679785,1.9469314905313417,8.922629081320743,2.1359290799320516,9.78878970160331
0.7,catchup,1.1666666666666665,1.8575361699154302,,,,5.701906050816606,2.4095476615159663,,200.8639185683284,5.701906050816606,2027.072120332515,2027.9113134532465,,319.2145844570609,5.701906050816605,2027.0505761991997,2027.8371894679785,,,,
0.74,baseline,1.423076923076923,1.0,1.0,,,,,2.0388082145399964,35.22750406235848,1.0,2027.4464850231802,2029.1993393714079,2.236724699877271,55.983837967892185,1.0,2027.358494044512,2028.896600746945,,,,
0.74,trend,1.423076923076923,1.8575361699154302,2.4138953360980966,0.9453073639215736,6.053704003938483,,,4.921469640276585,2887.1812709044266,81.95815592820998,2027.0367778848038,2027.7897154741054,5.399219321169159,4588.33212163215,81.95815592820999,2027.0193225157534,2027.729659146965,1.927300418828454,12.342341451623446,2.114392329859256,13.540469271355137
0.74,catchup,1.423076923076923,1.8575361699154302,,,,8.359461685565968,2.4095476615159663,,294.48297048740517,8.359461685565968,2027.0367778848038,2027.7897154741054,,467.99474850352806,8.359461685565968,2027.0193225157534,2027.729659146965,,,,
