level,outcome,spec,n,clusters,coef,se_crv1,t,p_wcr,B,p_floor,G_treated,G_untreated
model level (ra2 universe),lnw,year FE + ln C,186,67,0.5122090559534634,0.17950915047894717,2.8533868863333254,0.0117,9999,0.0001,55,23
model level (ra2 universe),s,year FE + ln C,186,67,0.29231887124765593,0.15758955336449854,1.8549381288716118,0.0994,9999,0.0001,55,23
"model level (ra2 universe), 2023+",lnw,year FE + ln C,150,60,0.7056503138397939,0.1704501533730681,4.139921847387964,0.0009,9999,0.0001,52,15
decision level (common-D families once),lnw,year FE + ln C,159,67,0.4506499031731253,0.16934467527647,2.6611400827182776,0.0179,9999,0.0001,55,23
decision level (common-D families once),s,year FE + ln C,159,67,0.26316533170999623,0.1593755427491232,1.6512278306355386,0.1389,9999,0.0001,55,23
"decision level (common-D families once), 2023+",lnw,year FE + ln C,123,60,0.6272040185487648,0.15418747572967584,4.067801328094831,0.0014,9999,0.0001,52,15
