basis,model,date,C,cost_usd,usd_per_flop
amortized,Llama 4 Behemoth (preview),2025-04-05,5.18400000000001e+25,44588963.624007165,8.601266131174206e-19
amortized,GPT-4.5,2025-02-27,3.8e+26,366010627.6281514,9.631858621793459e-19
amortized,Grok 3,2025-02-17,3.5000000000000006e+26,217835545.5267339,6.223872729335253e-19
amortized,Grok-2,2024-08-13,2.9599999999999996e+25,31602310.530835517,1.0676456260417406e-18
amortized,Llama 3.1-405B,2024-07-23,3.8e+25,52885433.95402246,1.3917219461584857e-18
amortized,Nemotron-4 340B,2024-06-14,1.7999999999999999e+25,21271017.96222655,1.1817232201236973e-18
cloud,Grok 3,2025-02-17,3.5000000000000006e+26,849737163.9529365,2.427820468436961e-18
cloud,Llama 3.1-405B,2024-07-23,3.8e+25,175966627.18329293,4.6307007153498136e-18
cloud,Nemotron-4 340B,2024-06-14,1.7999999999999999e+25,67898317.22964796,3.772128734980443e-18
