technology,slope_q25_unres,slope_q75_unres,slope_q90_unres,slope_q75_restricted
Hoffmann (alpha != beta),1.0032983252194938,0.4810170167535192,0.5466926482449623,0.9920129120392734
equal exponents (alpha = beta),1.002935145595922,0.48531397916176433,0.5634596787364599,0.9946526990483243
