dataset_label,key,estimator,n_obs,n_runs,E,se_E,alpha,se_alpha,beta,se_beta,a,se_a,gamma,se_gamma,sigma_star,se_sigma_star,sigma_star_lo,sigma_star_hi,sigma_min,sigma_max,Mstar_1e21,Mstar_1e21_lo,Mstar_1e21_hi,Mstar_1e23,Mstar_1e23_lo,Mstar_1e23_hi,Mstar_1e25,sd_offpath,B_boot,q_hat,se_q_hat,sigma_star_q,se_sigma_star_q,sigma_star_q_lo,sigma_star_q_hi
Chinchilla (Epoch digitization),chinchilla|all,huber,240,240,1.8172180990947069,0.02634656852569631,0.3473104990015325,0.015038225406230663,0.36717243255156723,0.021000101888569413,0.5138995157706987,0.019664567677311253,0.1784826972589673,0.00555202524574389,0.7367885709473568,0.0061602868250986995,0.7236943451725012,0.7473374412627171,0.7344235196509298,0.7400978229717065,21.38452480130818,15.084945850087383,28.643410944862687,18.814883817938675,8.606475214639328,33.829597100903214,16.554020085631027,1.3493184227859492,400,0.7741442167597321,0.05978964462079193,0.7005534249155089,0.014017833939527675,0.6696418738437432,0.7217574053351388
Farseer,farseer|all,huber,404,404,0.36867186889566866,0.01186994884289075,0.2805328164453021,0.028357451555530242,0.3116662510001588,0.01092596577290239,0.5262862914401026,0.022303119617346608,0.14764057559424507,0.009140421454035342,0.7715456830138219,0.010276624184123444,0.7504741781386203,0.7900652218062735,0.7661493873656159,0.7769868906020239,24.83750105926501,18.799885893206522,32.89951390784615,19.496772893737443,10.355003947132595,38.11707317245996,15.30444437075039,1.9671329460555753,400,0.47167751306777245,0.014016110011991913,0.7100137965003706,0.002554795763676535,0.7053685684639963,0.7157466531926118
Gadre et al.: C4,gadre|C4,huber,34,34,1.6200235289881637,0.26516995110480257,0.2525740605376423,0.04597319129823913,0.2622292212982498,0.05611310990411754,0.5093775244848627,0.07232072694881464,0.1286555497057541,0.015403237629116167,0.7952908342556049,0.019525246844528773,0.7484851654882765,0.8270929564034435,0.7937025920553522,0.7955076564045273,6.8588237678167845,1.2625058888036547,88.05957175863416,6.2912877045713715,0.3983899016830653,327.48826110498686,5.770712635512083,1.4580789950423096,400,0.3528673804026429,0.08037679574921888,0.6067287961698127,0.053845174659574335,0.471277214145208,0.6781840023618685
Gadre et al.: RedPajama,gadre|RedPajama,huber,35,35,1.7202448247971178,0.18593746296346125,0.2430844840250033,0.026770489441872988,0.2730054395853262,0.041756408546765225,0.5289881222161921,0.04461379223148137,0.12858880474427845,0.009107156666988482,0.7948841498996213,0.01303751966459686,0.7748919715983206,0.8243488407496522,0.7896884009524868,0.7959467951583606,5.768457505876663,1.2164755443810829,13.329280567943933,4.416794657590608,0.30672598203660306,12.97851421950256,3.381852952448195,1.473648619295586,400,0.3945600332861967,0.13904834424031196,0.6231797839540552,0.05892264535794375,0.5305379790155466,0.7456020678751417
Gadre et al.: RefinedWeb,gadre|RefinedWeb,huber,35,35,1.701339657327039,0.23742733845545314,0.22258715014767597,0.0354087418525919,0.2897728966928455,0.03830174905835825,0.5655649742397673,0.05489921766906819,0.1258874958393736,0.012307500800549523,0.796064243465083,0.01465881912368486,0.7624384473277072,0.8231875472635873,0.7838636187051601,0.7994661809200062,3.351168155397708,1.1557800247432877,18.867448175522398,1.8320457871581293,0.26376747895466063,24.820337289429087,1.0015587432811233,1.4653983655513654,400,0.3550655441592255,0.12049866030948406,0.594477159190701,0.06233703009044871,0.48941941898021507,0.7152631100176852
"Gadre et al.: 3 corpora, common exponents",gadre|CE,huber,104,104,,,0.24495101834784921,0.026725646624548943,0.2696082707372848,0.02877238807390878,0.5239595833876357,0.040100248018222186,0.12834443352391617,0.009175242535967127,0.7953680029265306,0.0114392348209481,0.779952907137681,0.8189656907512922,0.7911041373639927,0.7961631535928433,5.216530182758968,,,4.183534848708543,,,3.3550968205272045,1.4391693095545302,200,,,,,,
OLMo ladder,olmo_ladder|all,huber,30,30,1.857445220974247,0.5762035939372154,0.2672694736613109,0.11796456788848107,0.15705713365721477,0.041334652106568955,0.3701326547720304,0.17717735334779797,0.09892515982578426,0.021693520030414942,0.8249713524417156,0.03384090994405548,0.7631553978314599,0.8948837116173451,0.8193146375240125,0.833794324251547,48.309744290280214,5.928531430194479,297.7603395593111,159.773268474867,0.5968951020528035,7753.39440803394,528.4130084761802,0.9383966764815819,400,0.22275406938677725,0.0223853779937128,0.5441918103531439,0.02113592043870298,0.4972509234604683,0.576947040598519
Muennighoff et al.: single epoch,datablations|single_epoch,huber,33,33,1.9029351880840768,0.35996904363971144,0.3359415800487788,0.13134235600378047,0.3868226314778093,0.0772746171382309,0.5351989283763525,0.12647926369390108,0.17979557363916504,0.040763136821179734,0.734547630504754,0.030717718108340588,0.6573131892305816,0.7873965288765429,0.7307279251029503,0.746973181590634,59.630130389394886,9.262393729547142,280.5129969775303,43.11913554311948,1.0000479904528126,2057.7000937393104,31.179872286789017,1.9705900669225807,400,0.42215072114273333,0.10394354406567695,0.5107306168712504,0.05559833782603195,0.43485119966101665,0.6288150245644772
"DataDecide: 25 recipes, common exponents",datadecide|CE,huber,21888,1100,,,0.2844345096725089,0.023092374744482957,0.13092005004219043,0.01278916181257498,0.3152007049883295,0.036780929197542854,0.08965395797178463,0.004009060985532308,0.8280357813124708,0.004979515823356569,0.819626583645386,0.8377716810297834,0.805819177520933,0.8430452644144704,1178.0266241236995,,,6461.781757739418,,,35444.54991899186,0.7263895275283222,100,,,,,,
Chinchilla (Epoch digitization),chinchilla|all,nls,240,240,1.8645500958935615,0.026230109318355132,0.36025279950924094,0.012880119049901311,0.4058833607002397,0.022668463478096586,0.5297796681326999,0.016554073796339393,0.19085460856788175,0.006301545083957173,0.7230302068169121,0.0068924286446492705,0.7099934083853391,0.7375705433600556,0.7177074446791539,0.7309404234000401,20.832485920148265,16.253200417529584,26.435494357756813,15.835158853665982,9.625343342909149,26.645880855201835,12.0365978828441,1.3493184227859492,400,0.7741442167597321,0.05978964462079193,0.7005534249155089,0.014017833939527675,0.6696418738437432,0.7217574053351388
